,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1Pe9JpKgjGY,23,0,1,123.0,149.0,281.0,255.0,2,0.9221084117889404
1,1Pe9JpKgjGY,23,0,1,222.0,125.0,302.0,152.0,2,0.8741328120231628
2,1Pe9JpKgjGY,23,0,1,0.0,128.0,25.0,165.0,2,0.583291232585907
3,1Pe9JpKgjGY,23,0,1,41.0,124.0,101.0,153.0,7,0.533220112323761
4,1Pe9JpKgjGY,23,0,1,170.0,127.0,200.0,140.0,2,0.4959031939506531
5,1Pe9JpKgjGY,23,0,1,138.0,129.0,164.0,141.0,2,0.47412580251693726
6,1Pe9JpKgjGY,23,0,2,123.0,149.0,281.0,255.0,2,0.9228323101997375
7,1Pe9JpKgjGY,23,0,2,222.0,125.0,302.0,152.0,2,0.8751264810562134
8,1Pe9JpKgjGY,23,0,2,45.0,125.0,101.0,153.0,7,0.5505878925323486
9,1Pe9JpKgjGY,23,0,2,138.0,129.0,157.0,141.0,2,0.5441114902496338
10,1Pe9JpKgjGY,23,0,2,170.0,127.0,199.0,140.0,2,0.5350214242935181
11,1Pe9JpKgjGY,23,0,2,0.0,127.0,25.0,165.0,2,0.5303901433944702
12,1Pe9JpKgjGY,23,0,2,98.0,127.0,125.0,144.0,2,0.4158470332622528
13,1Pe9JpKgjGY,23,0,3,131.0,134.0,339.0,260.0,2,0.901335597038269
14,1Pe9JpKgjGY,23,0,3,207.0,112.0,294.0,139.0,2,0.8527106046676636
15,1Pe9JpKgjGY,23,0,3,85.0,113.0,114.0,129.0,2,0.6085225343704224
16,1Pe9JpKgjGY,23,0,3,34.0,112.0,87.0,139.0,7,0.588470458984375
17,1Pe9JpKgjGY,23,0,3,128.0,114.0,147.0,127.0,2,0.5504831075668335
18,1Pe9JpKgjGY,23,0,3,365.0,100.0,479.0,168.0,7,0.44916874170303345
19,1Pe9JpKgjGY,23,0,4,85.0,111.0,165.0,138.0,2,0.8461062908172607
20,1Pe9JpKgjGY,23,0,4,70.0,109.0,104.0,131.0,2,0.5237517356872559
21,1Pe9JpKgjGY,23,0,4,238.0,111.0,367.0,164.0,7,0.5030155777931213
22,1Pe9JpKgjGY,23,0,4,11.0,134.0,445.0,291.0,2,0.4600062966346741
23,1Pe9JpKgjGY,23,0,4,26.0,113.0,59.0,126.0,2,0.422227680683136
24,1Pe9JpKgjGY,23,0,5,3.0,147.0,453.0,303.0,2,0.7308003902435303
25,1Pe9JpKgjGY,23,0,6,11.0,157.0,389.0,312.0,2,0.446597695350647
26,1Pe9JpKgjGY,23,0,7,29.0,128.0,378.0,298.0,2,0.6135194301605225
27,1Pe9JpKgjGY,23,0,8,32.0,132.0,345.0,299.0,2,0.49699002504348755
28,1Pe9JpKgjGY,23,0,9,65.0,122.0,345.0,284.0,2,0.6403974294662476
29,1Pe9JpKgjGY,23,0,10,75.0,111.0,347.0,265.0,2,0.502809464931488
30,1Pe9JpKgjGY,23,0,11,92.0,109.0,372.0,257.0,2,0.5672987699508667
31,1Pe9JpKgjGY,23,0,12,87.0,104.0,370.0,255.0,2,0.5178226828575134
32,1Pe9JpKgjGY,23,0,12,367.0,159.0,387.0,173.0,2,0.4947057068347931
33,1Pe9JpKgjGY,23,0,14,68.0,109.0,354.0,262.0,2,0.48668935894966125
34,1Pe9JpKgjGY,23,0,14,453.0,161.0,475.0,173.0,2,0.42320433259010315
35,1Pe9JpKgjGY,23,0,15,448.0,160.0,476.0,178.0,2,0.5905565619468689
36,1Pe9JpKgjGY,23,0,15,387.0,158.0,411.0,178.0,2,0.4379214942455292
37,1Pe9JpKgjGY,23,0,15,67.0,111.0,347.0,263.0,2,0.4252779185771942
38,1Pe9JpKgjGY,23,0,16,153.0,147.0,338.0,267.0,2,0.801441490650177
39,1Pe9JpKgjGY,23,0,17,222.0,191.0,332.0,256.0,2,0.8487476706504822
