,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1PoIx6LWSLs,3,0,3,158.0,94.0,225.0,139.0,8,0.6978263258934021
1,1PoIx6LWSLs,3,0,5,45.0,133.0,160.0,159.0,8,0.7350042462348938
2,1PoIx6LWSLs,3,0,6,32.0,137.0,153.0,163.0,8,0.5797176361083984
3,1PoIx6LWSLs,3,0,7,13.0,137.0,146.0,165.0,8,0.6036010980606079
4,1PoIx6LWSLs,3,0,8,115.0,134.0,266.0,159.0,8,0.4892732799053192
5,1PoIx6LWSLs,3,0,9,77.0,114.0,244.0,144.0,8,0.6033145189285278
6,1PoIx6LWSLs,3,0,10,50.0,132.0,233.0,168.0,8,0.6859095692634583
7,1PoIx6LWSLs,3,0,11,0.0,128.0,121.0,196.0,8,0.4775494337081909
8,1PoIx6LWSLs,3,0,12,52.0,131.0,256.0,170.0,8,0.7444478273391724
9,1PoIx6LWSLs,3,0,13,3.0,145.0,211.0,190.0,8,0.7250075936317444
10,1PoIx6LWSLs,3,0,14,0.0,121.0,210.0,180.0,8,0.6154546737670898
11,1PoIx6LWSLs,3,0,15,115.0,103.0,340.0,166.0,8,0.7130536437034607
12,1PoIx6LWSLs,3,0,16,47.0,136.0,268.0,186.0,8,0.7099392414093018
13,1PoIx6LWSLs,3,0,17,12.0,122.0,225.0,164.0,8,0.7074342966079712
14,1PoIx6LWSLs,3,0,18,22.0,75.0,227.0,114.0,8,0.6284394860267639
15,1PoIx6LWSLs,3,0,19,2.0,63.0,198.0,112.0,8,0.7848206758499146
