,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1RGxleB_Ezk,0,0,1,64.0,38.0,100.0,99.0,0,0.5788166522979736
1,1RGxleB_Ezk,0,0,1,106.0,66.0,146.0,93.0,2,0.46147534251213074
2,1RGxleB_Ezk,0,0,2,78.0,38.0,102.0,97.0,0,0.5737645030021667
3,1RGxleB_Ezk,0,0,2,103.0,66.0,159.0,92.0,2,0.5122765898704529
4,1RGxleB_Ezk,0,0,8,7.0,46.0,29.0,76.0,28,0.6562997102737427
5,1RGxleB_Ezk,0,0,9,42.0,21.0,88.0,86.0,0,0.567000687122345
6,1RGxleB_Ezk,0,0,10,78.0,2.0,123.0,66.0,0,0.6869465708732605
7,1RGxleB_Ezk,0,0,19,62.0,47.0,102.0,111.0,0,0.7163074016571045
8,1RGxleB_Ezk,0,0,19,37.0,68.0,63.0,101.0,28,0.4368654191493988
9,1RGxleB_Ezk,0,1,1,48.0,6.0,90.0,120.0,0,0.8108008503913879
10,1RGxleB_Ezk,0,1,2,48.0,5.0,90.0,120.0,0,0.7695791125297546
11,1RGxleB_Ezk,0,1,3,47.0,11.0,91.0,126.0,0,0.8388680219650269
12,1RGxleB_Ezk,0,1,4,60.0,16.0,101.0,128.0,0,0.8232380747795105
13,1RGxleB_Ezk,0,1,4,22.0,47.0,64.0,120.0,0,0.5808166265487671
14,1RGxleB_Ezk,0,1,5,49.0,12.0,89.0,126.0,0,0.7602956891059875
15,1RGxleB_Ezk,0,1,7,80.0,47.0,136.0,88.0,22,0.4364352822303772
