,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1So7HE3-iCU,15,0,1,343.0,137.0,482.0,219.0,6,0.8088136911392212
1,1So7HE3-iCU,15,0,2,342.0,134.0,485.0,219.0,6,0.7993879318237305
2,1So7HE3-iCU,15,0,3,349.0,94.0,635.0,270.0,6,0.8313948512077332
3,1So7HE3-iCU,15,0,4,361.0,78.0,640.0,326.0,6,0.6364933252334595
4,1So7HE3-iCU,15,0,5,371.0,85.0,637.0,304.0,6,0.8260848522186279
5,1So7HE3-iCU,15,0,7,478.0,51.0,640.0,335.0,6,0.5553137063980103
6,1So7HE3-iCU,15,0,7,176.0,115.0,186.0,136.0,9,0.5019833445549011
7,1So7HE3-iCU,15,0,8,80.0,80.0,98.0,114.0,9,0.6962100267410278
8,1So7HE3-iCU,15,0,9,586.0,1.0,639.0,96.0,9,0.6917658448219299
9,1So7HE3-iCU,15,0,10,585.0,2.0,639.0,95.0,9,0.4409904479980469
10,1So7HE3-iCU,15,0,12,583.0,1.0,638.0,95.0,9,0.4147554039955139
11,1So7HE3-iCU,15,0,13,586.0,1.0,639.0,91.0,9,0.4343138635158539
12,1So7HE3-iCU,15,0,14,588.0,1.0,640.0,89.0,9,0.6393358111381531
13,1So7HE3-iCU,15,0,15,584.0,0.0,640.0,89.0,9,0.724175214767456
14,1So7HE3-iCU,15,0,15,310.0,126.0,317.0,137.0,9,0.4785214960575104
15,1So7HE3-iCU,15,0,16,425.0,43.0,449.0,117.0,9,0.502750039100647
16,1So7HE3-iCU,15,0,16,314.0,107.0,321.0,122.0,9,0.4952988028526306
17,1So7HE3-iCU,15,0,16,586.0,1.0,640.0,90.0,9,0.45269209146499634
18,1So7HE3-iCU,15,0,17,316.0,89.0,325.0,107.0,9,0.6962873339653015
19,1So7HE3-iCU,15,0,17,585.0,0.0,639.0,90.0,9,0.6743693351745605
20,1So7HE3-iCU,15,0,18,320.0,42.0,335.0,71.0,9,0.7147167921066284
21,1So7HE3-iCU,15,0,18,583.0,3.0,637.0,86.0,9,0.6211153864860535
22,1So7HE3-iCU,15,0,18,234.0,100.0,252.0,139.0,9,0.5253404974937439
23,1So7HE3-iCU,15,0,19,582.0,0.0,640.0,90.0,9,0.5559194087982178
24,1So7HE3-iCU,15,1,1,318.0,152.0,341.0,180.0,6,0.6417295336723328
25,1So7HE3-iCU,15,1,2,317.0,153.0,341.0,181.0,6,0.6348385810852051
26,1So7HE3-iCU,15,1,3,322.0,146.0,354.0,189.0,6,0.6864092946052551
27,1So7HE3-iCU,15,1,4,314.0,132.0,404.0,216.0,6,0.6893625259399414
28,1So7HE3-iCU,15,1,4,558.0,70.0,582.0,112.0,0,0.5276685953140259
29,1So7HE3-iCU,15,1,4,314.0,134.0,404.0,217.0,5,0.5170610547065735
30,1So7HE3-iCU,15,1,5,318.0,1.0,637.0,358.0,6,0.6382837295532227
31,1So7HE3-iCU,15,1,6,319.0,0.0,638.0,348.0,6,0.7688236236572266
32,1So7HE3-iCU,15,1,7,347.0,0.0,638.0,357.0,6,0.7850214242935181
33,1So7HE3-iCU,15,1,9,316.0,89.0,326.0,109.0,9,0.5692738890647888
34,1So7HE3-iCU,15,1,10,320.0,44.0,337.0,69.0,74,0.7023124098777771
35,1So7HE3-iCU,15,1,12,563.0,3.0,620.0,86.0,9,0.5580960512161255
36,1So7HE3-iCU,15,1,15,560.0,1.0,638.0,88.0,9,0.4858243763446808
37,1So7HE3-iCU,15,1,16,563.0,2.0,625.0,84.0,9,0.46585237979888916
38,1So7HE3-iCU,15,1,17,559.0,0.0,619.0,83.0,9,0.542762279510498
39,1So7HE3-iCU,15,2,5,338.0,109.0,474.0,215.0,6,0.8039363026618958
40,1So7HE3-iCU,15,2,6,344.0,30.0,637.0,346.0,6,0.7672158479690552
41,1So7HE3-iCU,15,2,7,354.0,35.0,638.0,353.0,6,0.8224526643753052
42,1So7HE3-iCU,15,2,7,318.0,120.0,326.0,140.0,9,0.4526410400867462
43,1So7HE3-iCU,15,2,8,369.0,0.0,639.0,359.0,6,0.8520599007606506
44,1So7HE3-iCU,15,2,8,317.0,121.0,327.0,146.0,9,0.5334994196891785
45,1So7HE3-iCU,15,2,9,311.0,113.0,324.0,143.0,9,0.6941395998001099
46,1So7HE3-iCU,15,2,10,279.0,80.0,295.0,121.0,9,0.5067517757415771
47,1So7HE3-iCU,15,2,11,112.0,191.0,162.0,256.0,7,0.4067705273628235
48,1So7HE3-iCU,15,2,11,164.0,2.0,196.0,89.0,9,0.40410277247428894
49,1So7HE3-iCU,15,2,17,216.0,153.0,232.0,198.0,0,0.5261164903640747
50,1So7HE3-iCU,15,2,18,502.0,156.0,516.0,190.0,0,0.7170732021331787
51,1So7HE3-iCU,15,2,18,96.0,139.0,134.0,213.0,0,0.6551867723464966
52,1So7HE3-iCU,15,2,18,481.0,152.0,497.0,182.0,0,0.46903473138809204
