,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1YZMLxvSyAc,2,0,1,0.0,8.0,216.0,320.0,0,0.5826594829559326
1,1YZMLxvSyAc,2,0,2,0.0,11.0,216.0,320.0,0,0.5838654041290283
2,1YZMLxvSyAc,2,0,3,141.0,0.0,415.0,314.0,0,0.7131991386413574
3,1YZMLxvSyAc,2,0,3,432.0,35.0,470.0,123.0,0,0.6990389823913574
4,1YZMLxvSyAc,2,0,3,0.0,115.0,72.0,166.0,19,0.5353723168373108
5,1YZMLxvSyAc,2,0,3,529.0,43.0,559.0,114.0,0,0.5075806975364685
6,1YZMLxvSyAc,2,0,3,380.0,7.0,469.0,41.0,25,0.4918002486228943
7,1YZMLxvSyAc,2,0,4,109.0,5.0,366.0,319.0,0,0.7518714070320129
8,1YZMLxvSyAc,2,0,4,542.0,57.0,567.0,118.0,0,0.6154958009719849
9,1YZMLxvSyAc,2,0,4,451.0,41.0,489.0,143.0,0,0.4995492100715637
10,1YZMLxvSyAc,2,0,4,6.0,148.0,91.0,190.0,19,0.4923343062400818
11,1YZMLxvSyAc,2,0,11,278.0,153.0,362.0,315.0,0,0.6197076439857483
12,1YZMLxvSyAc,2,0,14,71.0,0.0,202.0,310.0,0,0.8373988270759583
13,1YZMLxvSyAc,2,0,14,364.0,33.0,568.0,313.0,0,0.6795366406440735
14,1YZMLxvSyAc,2,0,14,342.0,0.0,385.0,22.0,0,0.5814725756645203
15,1YZMLxvSyAc,2,0,14,313.0,37.0,330.0,51.0,14,0.40455999970436096
16,1YZMLxvSyAc,2,0,15,212.0,5.0,330.0,217.0,0,0.8749863505363464
17,1YZMLxvSyAc,2,0,15,0.0,25.0,76.0,305.0,0,0.7916913628578186
18,1YZMLxvSyAc,2,0,15,398.0,0.0,431.0,51.0,0,0.7678884863853455
19,1YZMLxvSyAc,2,0,15,491.0,20.0,539.0,90.0,0,0.7330520749092102
20,1YZMLxvSyAc,2,0,15,318.0,0.0,351.0,58.0,0,0.6229388117790222
21,1YZMLxvSyAc,2,0,15,205.0,0.0,248.0,128.0,0,0.5915512442588806
22,1YZMLxvSyAc,2,0,15,41.0,0.0,83.0,43.0,0,0.5570651292800903
23,1YZMLxvSyAc,2,0,15,120.0,0.0,149.0,46.0,0,0.5337222218513489
24,1YZMLxvSyAc,2,0,15,472.0,0.0,510.0,66.0,0,0.5247302055358887
25,1YZMLxvSyAc,2,0,15,334.0,1.0,367.0,60.0,0,0.5150757431983948
26,1YZMLxvSyAc,2,0,15,167.0,0.0,192.0,40.0,1,0.5133981704711914
27,1YZMLxvSyAc,2,0,15,369.0,0.0,391.0,45.0,0,0.44500067830085754
28,1YZMLxvSyAc,2,0,15,148.0,0.0,175.0,39.0,0,0.4351254105567932
29,1YZMLxvSyAc,2,0,15,294.0,0.0,311.0,27.0,0,0.427077054977417
30,1YZMLxvSyAc,2,0,15,409.0,76.0,568.0,318.0,0,0.4257814884185791
31,1YZMLxvSyAc,2,0,16,89.0,0.0,207.0,241.0,0,0.9015462398529053
32,1YZMLxvSyAc,2,0,16,206.0,0.0,346.0,200.0,0,0.8315423727035522
33,1YZMLxvSyAc,2,0,16,360.0,26.0,568.0,316.0,0,0.7938467264175415
34,1YZMLxvSyAc,2,0,16,339.0,0.0,380.0,38.0,0,0.7259685397148132
35,1YZMLxvSyAc,2,0,16,373.0,0.0,406.0,41.0,0,0.7217357754707336
36,1YZMLxvSyAc,2,0,16,38.0,0.0,67.0,38.0,0,0.5124156475067139
37,1YZMLxvSyAc,2,0,16,301.0,0.0,330.0,44.0,0,0.47063013911247253
38,1YZMLxvSyAc,2,0,17,220.0,45.0,332.0,250.0,0,0.9019389152526855
39,1YZMLxvSyAc,2,0,17,381.0,8.0,568.0,314.0,0,0.8862263560295105
40,1YZMLxvSyAc,2,0,17,138.0,2.0,184.0,102.0,0,0.7937188744544983
41,1YZMLxvSyAc,2,0,17,326.0,8.0,358.0,95.0,0,0.7645856738090515
42,1YZMLxvSyAc,2,0,17,0.0,0.0,112.0,310.0,0,0.7624514698982239
43,1YZMLxvSyAc,2,0,17,184.0,42.0,207.0,81.0,1,0.564670205116272
44,1YZMLxvSyAc,2,0,17,294.0,11.0,320.0,89.0,0,0.5177043080329895
45,1YZMLxvSyAc,2,0,17,207.0,220.0,326.0,254.0,31,0.4748102128505707
46,1YZMLxvSyAc,2,0,17,303.0,12.0,332.0,88.0,0,0.4308886229991913
47,1YZMLxvSyAc,2,0,17,366.0,15.0,381.0,58.0,0,0.40401703119277954
