,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1ZWYQsNioxs,2,0,1,248.0,0.0,570.0,643.0,0,0.7727774977684021
1,1ZWYQsNioxs,2,0,1,2.0,0.0,276.0,711.0,0,0.6077224612236023
2,1ZWYQsNioxs,2,0,1,499.0,0.0,950.0,715.0,0,0.5348709225654602
3,1ZWYQsNioxs,2,0,2,245.0,0.0,571.0,653.0,0,0.7695395350456238
4,1ZWYQsNioxs,2,0,2,2.0,0.0,277.0,703.0,0,0.6743804812431335
5,1ZWYQsNioxs,2,0,2,506.0,0.0,939.0,714.0,0,0.5794140100479126
6,1ZWYQsNioxs,2,0,3,1070.0,445.0,1280.0,715.0,0,0.8458658456802368
7,1ZWYQsNioxs,2,0,3,891.0,456.0,1091.0,715.0,0,0.766249418258667
8,1ZWYQsNioxs,2,0,3,668.0,0.0,904.0,716.0,0,0.6603132486343384
9,1ZWYQsNioxs,2,0,3,11.0,3.0,785.0,720.0,0,0.6591909527778625
10,1ZWYQsNioxs,2,0,5,1165.0,130.0,1280.0,580.0,0,0.7191232442855835
11,1ZWYQsNioxs,2,0,5,757.0,306.0,968.0,713.0,0,0.5082218050956726
12,1ZWYQsNioxs,2,0,5,841.0,3.0,1120.0,416.0,0,0.49113011360168457
13,1ZWYQsNioxs,2,0,5,1210.0,64.0,1240.0,109.0,0,0.46072494983673096
14,1ZWYQsNioxs,2,0,5,544.0,66.0,575.0,103.0,0,0.4344344735145569
15,1ZWYQsNioxs,2,0,6,774.0,135.0,1118.0,710.0,0,0.9034719467163086
16,1ZWYQsNioxs,2,0,6,669.0,126.0,843.0,562.0,0,0.8904117345809937
17,1ZWYQsNioxs,2,0,6,910.0,380.0,1116.0,714.0,1,0.7778147459030151
18,1ZWYQsNioxs,2,0,6,369.0,153.0,430.0,327.0,0,0.7640918493270874
19,1ZWYQsNioxs,2,0,6,3.0,403.0,430.0,718.0,1,0.7277738451957703
20,1ZWYQsNioxs,2,0,7,868.0,272.0,1040.0,586.0,0,0.8435682058334351
21,1ZWYQsNioxs,2,0,7,400.0,145.0,645.0,720.0,0,0.8334962725639343
22,1ZWYQsNioxs,2,0,7,695.0,238.0,823.0,500.0,0,0.7039923071861267
23,1ZWYQsNioxs,2,0,7,928.0,400.0,1031.0,618.0,1,0.6919382810592651
24,1ZWYQsNioxs,2,0,7,664.0,228.0,732.0,412.0,0,0.6490260362625122
25,1ZWYQsNioxs,2,0,7,535.0,426.0,749.0,716.0,1,0.594531774520874
26,1ZWYQsNioxs,2,0,7,782.0,363.0,831.0,524.0,1,0.532009482383728
27,1ZWYQsNioxs,2,0,8,281.0,263.0,369.0,479.0,0,0.8522403240203857
28,1ZWYQsNioxs,2,0,8,633.0,253.0,778.0,641.0,0,0.8249825239181519
29,1ZWYQsNioxs,2,0,8,896.0,305.0,1025.0,520.0,0,0.784267008304596
30,1ZWYQsNioxs,2,0,8,740.0,398.0,854.0,655.0,1,0.7252850532531738
31,1ZWYQsNioxs,2,0,8,599.0,262.0,638.0,349.0,0,0.6904250979423523
32,1ZWYQsNioxs,2,0,8,1237.0,297.0,1279.0,483.0,0,0.5016450881958008
33,1ZWYQsNioxs,2,0,8,655.0,317.0,742.0,425.0,24,0.4913443922996521
34,1ZWYQsNioxs,2,0,8,941.0,389.0,1015.0,538.0,1,0.4782353937625885
35,1ZWYQsNioxs,2,0,9,897.0,301.0,996.0,498.0,0,0.8572776913642883
36,1ZWYQsNioxs,2,0,9,691.0,301.0,812.0,611.0,0,0.8041109442710876
37,1ZWYQsNioxs,2,0,9,624.0,284.0,702.0,482.0,0,0.7397048473358154
38,1ZWYQsNioxs,2,0,9,537.0,272.0,596.0,438.0,0,0.7389809489250183
39,1ZWYQsNioxs,2,0,9,466.0,273.0,502.0,366.0,0,0.6846101880073547
40,1ZWYQsNioxs,2,0,9,581.0,361.0,627.0,441.0,1,0.6518898606300354
41,1ZWYQsNioxs,2,0,9,789.0,409.0,851.0,619.0,1,0.5962971448898315
42,1ZWYQsNioxs,2,0,9,956.0,382.0,1017.0,507.0,1,0.585227906703949
43,1ZWYQsNioxs,2,0,9,1139.0,286.0,1175.0,330.0,0,0.5313078165054321
44,1ZWYQsNioxs,2,0,10,309.0,213.0,413.0,506.0,0,0.8444383144378662
45,1ZWYQsNioxs,2,0,10,441.0,244.0,608.0,637.0,0,0.7693491578102112
46,1ZWYQsNioxs,2,0,10,691.0,262.0,771.0,510.0,0,0.7531033754348755
47,1ZWYQsNioxs,2,0,10,378.0,345.0,447.0,511.0,1,0.690277636051178
48,1ZWYQsNioxs,2,0,10,114.0,204.0,204.0,443.0,0,0.6247516870498657
49,1ZWYQsNioxs,2,0,10,531.0,397.0,647.0,648.0,1,0.6210002899169922
50,1ZWYQsNioxs,2,0,10,741.0,351.0,842.0,516.0,1,0.5778278112411499
51,1ZWYQsNioxs,2,0,10,508.0,209.0,537.0,252.0,0,0.5066930651664734
52,1ZWYQsNioxs,2,0,10,772.0,223.0,823.0,294.0,0,0.4168446958065033
53,1ZWYQsNioxs,2,0,11,314.0,147.0,493.0,589.0,0,0.9162291884422302
54,1ZWYQsNioxs,2,0,11,426.0,338.0,564.0,594.0,1,0.8488350510597229
55,1ZWYQsNioxs,2,0,11,3.0,118.0,149.0,492.0,0,0.8177577257156372
56,1ZWYQsNioxs,2,0,11,588.0,174.0,804.0,705.0,0,0.7897728681564331
57,1ZWYQsNioxs,2,0,11,894.0,146.0,939.0,187.0,0,0.7566646337509155
58,1ZWYQsNioxs,2,0,11,814.0,326.0,962.0,567.0,1,0.7374933362007141
59,1ZWYQsNioxs,2,0,11,714.0,399.0,864.0,714.0,1,0.7359909415245056
60,1ZWYQsNioxs,2,0,11,141.0,120.0,185.0,219.0,0,0.6585673093795776
61,1ZWYQsNioxs,2,0,11,99.0,307.0,223.0,526.0,1,0.6211001873016357
62,1ZWYQsNioxs,2,0,11,796.0,137.0,837.0,209.0,0,0.612098753452301
63,1ZWYQsNioxs,2,0,11,1022.0,152.0,1083.0,266.0,0,0.611106276512146
64,1ZWYQsNioxs,2,0,11,817.0,173.0,907.0,365.0,0,0.5769136548042297
65,1ZWYQsNioxs,2,0,11,1176.0,126.0,1280.0,198.0,2,0.4268666207790375
66,1ZWYQsNioxs,2,0,12,261.0,192.0,476.0,705.0,0,0.8410765528678894
67,1ZWYQsNioxs,2,0,12,734.0,210.0,965.0,535.0,0,0.7711034417152405
68,1ZWYQsNioxs,2,0,12,493.0,190.0,535.0,274.0,0,0.5076614618301392
