,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1al3dj9GMQc,4,0,1,60.0,164.0,151.0,236.0,2,0.8254829049110413
1,1al3dj9GMQc,4,0,1,0.0,149.0,41.0,237.0,2,0.5750682950019836
2,1al3dj9GMQc,4,0,1,0.0,67.0,59.0,227.0,5,0.5300426483154297
3,1al3dj9GMQc,4,0,1,135.0,156.0,166.0,189.0,2,0.5214408040046692
4,1al3dj9GMQc,4,0,1,139.0,156.0,165.0,172.0,2,0.43482083082199097
5,1al3dj9GMQc,4,0,2,61.0,164.0,160.0,236.0,2,0.7452327013015747
6,1al3dj9GMQc,4,0,2,0.0,67.0,60.0,235.0,5,0.5496751070022583
7,1al3dj9GMQc,4,0,2,140.0,157.0,164.0,171.0,2,0.5029074549674988
8,1al3dj9GMQc,4,0,2,140.0,157.0,166.0,187.0,2,0.4322454631328583
9,1al3dj9GMQc,4,0,5,174.0,61.0,226.0,145.0,0,0.4049144983291626
10,1al3dj9GMQc,4,0,6,2.0,25.0,320.0,233.0,6,0.5352053046226501
11,1al3dj9GMQc,4,0,6,0.0,142.0,20.0,174.0,0,0.4209328889846802
12,1al3dj9GMQc,4,0,7,125.0,76.0,169.0,152.0,0,0.6380487680435181
13,1al3dj9GMQc,4,0,7,0.0,30.0,320.0,232.0,6,0.41210585832595825
14,1al3dj9GMQc,4,0,8,45.0,82.0,80.0,154.0,0,0.6748098134994507
15,1al3dj9GMQc,4,0,8,1.0,16.0,311.0,234.0,6,0.5718101263046265
16,1al3dj9GMQc,4,0,8,231.0,31.0,300.0,114.0,0,0.48282358050346375
17,1al3dj9GMQc,4,0,9,115.0,61.0,167.0,138.0,0,0.5769345164299011
18,1al3dj9GMQc,4,0,9,254.0,84.0,283.0,126.0,0,0.511520266532898
19,1al3dj9GMQc,4,0,10,209.0,171.0,320.0,238.0,28,0.43118199706077576
20,1al3dj9GMQc,4,0,10,142.0,62.0,194.0,126.0,0,0.4300827980041504
21,1al3dj9GMQc,4,0,11,106.0,59.0,152.0,138.0,0,0.6773451566696167
22,1al3dj9GMQc,4,0,11,0.0,11.0,320.0,231.0,6,0.4424811601638794
23,1al3dj9GMQc,4,0,12,101.0,62.0,142.0,98.0,0,0.4263853430747986
24,1al3dj9GMQc,4,0,13,164.0,177.0,313.0,238.0,28,0.4805779457092285
25,1al3dj9GMQc,4,0,15,153.0,23.0,320.0,197.0,5,0.5516873598098755
26,1al3dj9GMQc,4,0,16,2.0,191.0,123.0,239.0,2,0.7703456282615662
27,1al3dj9GMQc,4,0,16,121.0,213.0,165.0,240.0,2,0.5825931429862976
28,1al3dj9GMQc,4,0,17,70.0,171.0,163.0,239.0,2,0.8317286372184753
29,1al3dj9GMQc,4,0,17,0.0,178.0,51.0,239.0,2,0.704554557800293
30,1al3dj9GMQc,4,0,17,30.0,178.0,79.0,215.0,2,0.677532434463501
31,1al3dj9GMQc,4,0,17,157.0,184.0,177.0,228.0,2,0.6389516592025757
32,1al3dj9GMQc,4,0,17,209.0,167.0,320.0,238.0,2,0.5694106221199036
33,1al3dj9GMQc,4,0,17,174.0,194.0,191.0,214.0,2,0.5431567430496216
34,1al3dj9GMQc,4,0,17,173.0,179.0,192.0,216.0,2,0.41134971380233765
35,1al3dj9GMQc,4,0,18,0.0,174.0,60.0,238.0,2,0.8554041385650635
36,1al3dj9GMQc,4,0,18,42.0,171.0,97.0,210.0,2,0.7965145707130432
37,1al3dj9GMQc,4,0,18,99.0,167.0,168.0,227.0,2,0.7892223596572876
38,1al3dj9GMQc,4,0,19,0.0,162.0,56.0,239.0,2,0.9032350778579712
39,1al3dj9GMQc,4,0,19,123.0,161.0,180.0,216.0,2,0.8489542603492737
40,1al3dj9GMQc,4,0,19,186.0,174.0,211.0,198.0,2,0.8345116376876831
41,1al3dj9GMQc,4,0,19,31.0,161.0,94.0,210.0,2,0.7337059378623962
42,1al3dj9GMQc,4,0,19,176.0,174.0,189.0,197.0,2,0.4102524220943451
