,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1cx0R5d1500,19,0,1,226.0,13.0,275.0,61.0,41,0.8882330656051636
1,1cx0R5d1500,19,0,1,286.0,39.0,366.0,65.0,65,0.40448200702667236
2,1cx0R5d1500,19,0,2,226.0,12.0,275.0,61.0,41,0.8928495049476624
3,1cx0R5d1500,19,0,2,287.0,40.0,364.0,65.0,65,0.49198323488235474
4,1cx0R5d1500,19,0,3,203.0,24.0,252.0,71.0,41,0.8523517847061157
5,1cx0R5d1500,19,0,3,265.0,49.0,338.0,74.0,65,0.7500837445259094
6,1cx0R5d1500,19,0,4,220.0,8.0,275.0,58.0,41,0.869452953338623
7,1cx0R5d1500,19,0,4,285.0,33.0,358.0,59.0,65,0.43198466300964355
8,1cx0R5d1500,19,0,5,249.0,32.0,321.0,58.0,2,0.43010348081588745
9,1cx0R5d1500,19,0,6,205.0,1.0,255.0,45.0,41,0.8074091672897339
10,1cx0R5d1500,19,0,7,211.0,1.0,265.0,42.0,41,0.816386342048645
11,1cx0R5d1500,19,0,7,275.0,24.0,350.0,44.0,2,0.41243797540664673
12,1cx0R5d1500,19,0,8,218.0,2.0,272.0,38.0,41,0.7029951214790344
13,1cx0R5d1500,19,0,9,180.0,10.0,230.0,60.0,41,0.8909920454025269
14,1cx0R5d1500,19,0,10,236.0,1.0,287.0,37.0,41,0.7735759019851685
15,1cx0R5d1500,19,0,11,244.0,0.0,295.0,36.0,41,0.4936506748199463
16,1cx0R5d1500,19,0,13,230.0,5.0,258.0,87.0,39,0.6068377494812012
17,1cx0R5d1500,19,0,13,211.0,41.0,257.0,88.0,41,0.4988422393798828
18,1cx0R5d1500,19,0,14,234.0,15.0,285.0,61.0,41,0.8985140323638916
19,1cx0R5d1500,19,0,14,298.0,44.0,369.0,67.0,65,0.5231679081916809
20,1cx0R5d1500,19,0,16,398.0,3.0,452.0,49.0,41,0.4943353831768036
21,1cx0R5d1500,19,0,18,75.0,97.0,128.0,147.0,41,0.8470032811164856
22,1cx0R5d1500,19,0,19,135.0,99.0,185.0,148.0,41,0.8302001953125
23,1cx0R5d1500,19,0,19,196.0,112.0,270.0,144.0,65,0.5380301475524902
