,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1eYjW82dcK4,5,0,1,414.0,315.0,669.0,537.0,21,0.7965055108070374
1,1eYjW82dcK4,5,0,2,414.0,314.0,668.0,536.0,21,0.7926816344261169
2,1eYjW82dcK4,5,0,3,387.0,273.0,623.0,545.0,21,0.8577903509140015
3,1eYjW82dcK4,5,0,3,629.0,0.0,983.0,375.0,14,0.4145904779434204
4,1eYjW82dcK4,5,0,4,350.0,309.0,699.0,575.0,21,0.8373897671699524
5,1eYjW82dcK4,5,0,5,301.0,223.0,655.0,604.0,21,0.8153714537620544
6,1eYjW82dcK4,5,0,6,283.0,226.0,722.0,630.0,21,0.8698705434799194
7,1eYjW82dcK4,5,0,7,366.0,35.0,689.0,569.0,14,0.5258805155754089
8,1eYjW82dcK4,5,0,7,668.0,9.0,1044.0,494.0,14,0.48946893215179443
9,1eYjW82dcK4,5,0,8,384.0,34.0,847.0,562.0,21,0.767060399055481
10,1eYjW82dcK4,5,0,9,381.0,45.0,889.0,542.0,21,0.6483498811721802
11,1eYjW82dcK4,5,0,12,582.0,126.0,872.0,566.0,21,0.44096413254737854
12,1eYjW82dcK4,5,0,13,591.0,179.0,759.0,351.0,21,0.5157867670059204
13,1eYjW82dcK4,5,0,14,611.0,364.0,880.0,572.0,21,0.605995237827301
14,1eYjW82dcK4,5,0,14,609.0,365.0,881.0,573.0,15,0.5670794248580933
15,1eYjW82dcK4,5,0,14,586.0,65.0,781.0,328.0,21,0.4928096830844879
16,1eYjW82dcK4,5,0,17,547.0,387.0,957.0,697.0,15,0.6288240551948547
17,1eYjW82dcK4,5,0,17,723.0,47.0,963.0,420.0,10,0.4239169657230377
