,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1oTE0Bs8Uxc,4,0,1,982.0,268.0,1279.0,628.0,5,0.7548843026161194
1,1oTE0Bs8Uxc,4,0,2,981.0,268.0,1278.0,631.0,5,0.7321747541427612
2,1oTE0Bs8Uxc,4,0,3,740.0,297.0,1276.0,593.0,5,0.8294613361358643
3,1oTE0Bs8Uxc,4,0,3,372.0,329.0,599.0,531.0,5,0.4561108648777008
4,1oTE0Bs8Uxc,4,0,4,622.0,309.0,1087.0,511.0,5,0.7928045988082886
5,1oTE0Bs8Uxc,4,0,5,606.0,292.0,981.0,475.0,5,0.7047010660171509
6,1oTE0Bs8Uxc,4,0,6,582.0,290.0,912.0,467.0,5,0.7557291984558105
7,1oTE0Bs8Uxc,4,0,6,360.0,284.0,586.0,464.0,5,0.7307208180427551
8,1oTE0Bs8Uxc,4,0,6,298.0,317.0,354.0,458.0,0,0.6636215448379517
9,1oTE0Bs8Uxc,4,0,7,566.0,265.0,816.0,442.0,5,0.7169107794761658
10,1oTE0Bs8Uxc,4,0,7,971.0,349.0,1047.0,395.0,2,0.4606029689311981
11,1oTE0Bs8Uxc,4,0,7,207.0,262.0,579.0,451.0,5,0.40849679708480835
12,1oTE0Bs8Uxc,4,0,8,350.0,230.0,818.0,461.0,5,0.8241775035858154
13,1oTE0Bs8Uxc,4,0,9,258.0,278.0,797.0,529.0,5,0.857215404510498
14,1oTE0Bs8Uxc,4,0,9,856.0,353.0,884.0,417.0,0,0.42199084162712097
15,1oTE0Bs8Uxc,4,0,10,2.0,239.0,803.0,589.0,5,0.816719114780426
16,1oTE0Bs8Uxc,4,0,12,0.0,140.0,1231.0,592.0,5,0.726235568523407
17,1oTE0Bs8Uxc,4,0,13,13.0,77.0,1241.0,578.0,5,0.662294864654541
18,1oTE0Bs8Uxc,4,0,15,12.0,51.0,1114.0,478.0,6,0.43770307302474976
19,1oTE0Bs8Uxc,4,0,16,0.0,108.0,1136.0,492.0,6,0.5279718637466431
20,1oTE0Bs8Uxc,4,0,17,1.0,173.0,1070.0,514.0,5,0.6784225702285767
21,1oTE0Bs8Uxc,4,0,18,45.0,199.0,955.0,505.0,5,0.7458259463310242
22,1oTE0Bs8Uxc,4,0,19,104.0,201.0,930.0,495.0,5,0.5650734305381775
