,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1oyjAtaWDZA,16,0,1,207.0,131.0,279.0,189.0,7,0.7453855872154236
1,1oyjAtaWDZA,16,0,1,310.0,139.0,442.0,199.0,7,0.714381992816925
2,1oyjAtaWDZA,16,0,1,38.0,190.0,48.0,227.0,0,0.6297833919525146
3,1oyjAtaWDZA,16,0,1,151.0,133.0,209.0,186.0,7,0.5525587201118469
4,1oyjAtaWDZA,16,0,1,306.0,124.0,318.0,138.0,74,0.4680306315422058
5,1oyjAtaWDZA,16,0,2,207.0,130.0,276.0,189.0,7,0.7477344870567322
6,1oyjAtaWDZA,16,0,2,312.0,139.0,443.0,198.0,7,0.6970470547676086
7,1oyjAtaWDZA,16,0,2,37.0,190.0,47.0,227.0,0,0.65863436460495
8,1oyjAtaWDZA,16,0,2,148.0,133.0,210.0,187.0,7,0.6308078169822693
9,1oyjAtaWDZA,16,0,2,306.0,124.0,318.0,138.0,74,0.5323829650878906
10,1oyjAtaWDZA,16,0,2,276.0,147.0,302.0,172.0,7,0.41153833270072937
11,1oyjAtaWDZA,16,0,3,308.0,135.0,445.0,201.0,7,0.7802848219871521
12,1oyjAtaWDZA,16,0,3,198.0,122.0,278.0,196.0,7,0.7587627172470093
13,1oyjAtaWDZA,16,0,3,150.0,133.0,203.0,190.0,7,0.5892828106880188
14,1oyjAtaWDZA,16,0,3,40.0,194.0,50.0,231.0,0,0.5422419905662537
15,1oyjAtaWDZA,16,0,4,192.0,116.0,286.0,194.0,7,0.773163914680481
16,1oyjAtaWDZA,16,0,4,316.0,137.0,450.0,198.0,7,0.6588555574417114
17,1oyjAtaWDZA,16,0,5,192.0,124.0,300.0,206.0,7,0.8124542832374573
18,1oyjAtaWDZA,16,0,5,325.0,144.0,468.0,211.0,7,0.6192251443862915
19,1oyjAtaWDZA,16,0,5,64.0,201.0,73.0,238.0,0,0.5331618189811707
20,1oyjAtaWDZA,16,0,6,184.0,121.0,306.0,210.0,7,0.8333032727241516
21,1oyjAtaWDZA,16,0,6,368.0,149.0,476.0,210.0,7,0.5837560892105103
22,1oyjAtaWDZA,16,0,7,179.0,121.0,312.0,214.0,7,0.7659854292869568
23,1oyjAtaWDZA,16,0,7,369.0,151.0,480.0,211.0,7,0.5566511750221252
24,1oyjAtaWDZA,16,0,7,80.0,202.0,89.0,236.0,0,0.4248413145542145
25,1oyjAtaWDZA,16,0,8,174.0,116.0,307.0,218.0,7,0.8373026847839355
26,1oyjAtaWDZA,16,0,8,342.0,145.0,480.0,212.0,7,0.6626970171928406
27,1oyjAtaWDZA,16,0,8,80.0,201.0,90.0,239.0,0,0.488953560590744
28,1oyjAtaWDZA,16,0,8,345.0,133.0,357.0,148.0,74,0.4314291179180145
29,1oyjAtaWDZA,16,0,9,167.0,107.0,301.0,222.0,7,0.8277122378349304
30,1oyjAtaWDZA,16,0,9,357.0,146.0,480.0,207.0,7,0.6992519497871399
31,1oyjAtaWDZA,16,0,9,55.0,132.0,159.0,194.0,7,0.4925433099269867
32,1oyjAtaWDZA,16,0,10,172.0,103.0,297.0,227.0,7,0.8424530625343323
33,1oyjAtaWDZA,16,0,10,346.0,143.0,480.0,206.0,7,0.7663437128067017
34,1oyjAtaWDZA,16,0,10,78.0,198.0,89.0,234.0,0,0.5920338034629822
35,1oyjAtaWDZA,16,0,11,177.0,96.0,293.0,235.0,7,0.833845317363739
36,1oyjAtaWDZA,16,0,11,342.0,143.0,480.0,208.0,7,0.7139772176742554
37,1oyjAtaWDZA,16,0,12,168.0,87.0,317.0,243.0,7,0.8575448393821716
38,1oyjAtaWDZA,16,0,12,352.0,146.0,471.0,209.0,7,0.6843364834785461
39,1oyjAtaWDZA,16,0,12,332.0,133.0,344.0,147.0,74,0.4063877463340759
40,1oyjAtaWDZA,16,0,13,160.0,86.0,347.0,251.0,7,0.8700037002563477
41,1oyjAtaWDZA,16,0,13,355.0,151.0,456.0,211.0,7,0.6320456266403198
42,1oyjAtaWDZA,16,0,13,53.0,202.0,62.0,240.0,0,0.4942544102668762
43,1oyjAtaWDZA,16,0,14,138.0,80.0,381.0,258.0,7,0.8810936808586121
44,1oyjAtaWDZA,16,0,14,30.0,202.0,40.0,238.0,0,0.671876847743988
45,1oyjAtaWDZA,16,0,14,367.0,154.0,433.0,208.0,2,0.5192583799362183
46,1oyjAtaWDZA,16,0,14,367.0,153.0,433.0,209.0,7,0.45134904980659485
47,1oyjAtaWDZA,16,0,15,133.0,71.0,424.0,272.0,7,0.8798332214355469
48,1oyjAtaWDZA,16,0,15,425.0,167.0,447.0,229.0,0,0.7581179738044739
49,1oyjAtaWDZA,16,0,15,3.0,200.0,13.0,237.0,0,0.7056186199188232
50,1oyjAtaWDZA,16,0,15,0.0,129.0,86.0,195.0,7,0.5904772877693176
51,1oyjAtaWDZA,16,0,15,413.0,157.0,474.0,198.0,5,0.433309942483902
52,1oyjAtaWDZA,16,0,16,122.0,55.0,478.0,287.0,7,0.62925785779953
53,1oyjAtaWDZA,16,0,17,21.0,53.0,480.0,289.0,7,0.7338880300521851
54,1oyjAtaWDZA,16,0,18,26.0,37.0,479.0,291.0,7,0.4990330934524536
55,1oyjAtaWDZA,16,0,18,405.0,121.0,433.0,151.0,0,0.47674939036369324
56,1oyjAtaWDZA,16,0,19,1.0,141.0,107.0,212.0,7,0.6196237206459045
57,1oyjAtaWDZA,16,0,19,29.0,41.0,480.0,297.0,7,0.5088163018226624
58,1oyjAtaWDZA,16,0,20,111.0,35.0,442.0,290.0,7,0.40029558539390564
59,1oyjAtaWDZA,16,0,21,245.0,52.0,478.0,277.0,7,0.6386899948120117
