,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1pO8E8pHk8M,21,0,1,216.0,6.0,384.0,262.0,0,0.4186754822731018
1,1pO8E8pHk8M,21,0,2,202.0,0.0,383.0,278.0,0,0.54682856798172
2,1pO8E8pHk8M,21,0,3,232.0,57.0,354.0,283.0,0,0.927222728729248
3,1pO8E8pHk8M,21,0,4,269.0,44.0,362.0,284.0,0,0.9087167382240295
4,1pO8E8pHk8M,21,0,5,286.0,10.0,384.0,284.0,0,0.9134735465049744
5,1pO8E8pHk8M,21,0,6,256.0,23.0,384.0,284.0,0,0.9400942921638489
6,1pO8E8pHk8M,21,0,7,248.0,22.0,373.0,285.0,0,0.9200685024261475
7,1pO8E8pHk8M,21,0,8,237.0,18.0,383.0,281.0,0,0.9179412722587585
8,1pO8E8pHk8M,21,0,9,273.0,9.0,384.0,280.0,0,0.740338146686554
9,1pO8E8pHk8M,21,0,10,281.0,10.0,384.0,282.0,0,0.7128387093544006
10,1pO8E8pHk8M,21,0,11,312.0,6.0,384.0,281.0,0,0.812154233455658
11,1pO8E8pHk8M,21,0,12,262.0,58.0,343.0,284.0,0,0.9165318012237549
12,1pO8E8pHk8M,21,0,12,269.0,1.0,384.0,65.0,25,0.6657971739768982
13,1pO8E8pHk8M,21,0,12,336.0,184.0,369.0,214.0,16,0.523225724697113
14,1pO8E8pHk8M,21,0,13,253.0,112.0,333.0,286.0,0,0.8378784656524658
15,1pO8E8pHk8M,21,0,13,265.0,28.0,384.0,105.0,25,0.5387569665908813
16,1pO8E8pHk8M,21,0,14,263.0,100.0,331.0,285.0,0,0.8921999335289001
17,1pO8E8pHk8M,21,0,14,265.0,27.0,384.0,103.0,25,0.6938607692718506
18,1pO8E8pHk8M,21,0,15,275.0,84.0,357.0,286.0,0,0.8067435026168823
19,1pO8E8pHk8M,21,0,15,279.0,12.0,384.0,82.0,25,0.7418631315231323
20,1pO8E8pHk8M,21,0,16,260.0,76.0,345.0,285.0,0,0.9012438654899597
21,1pO8E8pHk8M,21,0,16,340.0,78.0,384.0,274.0,0,0.8098251819610596
22,1pO8E8pHk8M,21,0,16,279.0,11.0,384.0,80.0,25,0.7544878721237183
23,1pO8E8pHk8M,21,0,17,248.0,76.0,339.0,286.0,0,0.920271635055542
24,1pO8E8pHk8M,21,0,17,346.0,80.0,384.0,280.0,0,0.7445187568664551
25,1pO8E8pHk8M,21,0,17,276.0,12.0,384.0,74.0,25,0.7336469292640686
26,1pO8E8pHk8M,21,0,18,253.0,75.0,334.0,285.0,0,0.919231116771698
27,1pO8E8pHk8M,21,0,18,336.0,85.0,384.0,285.0,0,0.8816912770271301
28,1pO8E8pHk8M,21,0,18,273.0,12.0,384.0,76.0,25,0.7939910888671875
29,1pO8E8pHk8M,21,0,19,234.0,67.0,322.0,283.0,0,0.928920328617096
30,1pO8E8pHk8M,21,0,19,319.0,76.0,381.0,279.0,0,0.9057279229164124
31,1pO8E8pHk8M,21,0,19,251.0,3.0,384.0,67.0,25,0.8288860321044922
