,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1v21Befu5fE,0,0,2,0.0,235.0,23.0,281.0,2,0.5410569906234741
1,1v21Befu5fE,0,0,2,336.0,115.0,388.0,252.0,0,0.4887130558490753
2,1v21Befu5fE,0,0,4,266.0,43.0,311.0,90.0,0,0.5287425518035889
3,1v21Befu5fE,0,0,4,333.0,114.0,397.0,253.0,0,0.4502090811729431
4,1v21Befu5fE,0,0,5,269.0,43.0,308.0,87.0,0,0.534396767616272
5,1v21Befu5fE,0,0,6,343.0,113.0,388.0,252.0,0,0.7059298753738403
6,1v21Befu5fE,0,0,6,268.0,42.0,310.0,92.0,0,0.4564923346042633
7,1v21Befu5fE,0,0,7,0.0,103.0,40.0,243.0,0,0.780886709690094
8,1v21Befu5fE,0,0,7,343.0,110.0,392.0,249.0,0,0.6297237873077393
9,1v21Befu5fE,0,0,7,250.0,153.0,293.0,301.0,0,0.6011256575584412
10,1v21Befu5fE,0,0,7,110.0,134.0,158.0,253.0,0,0.49873086810112
11,1v21Befu5fE,0,0,8,168.0,241.0,253.0,299.0,63,0.6534814834594727
12,1v21Befu5fE,0,0,8,227.0,146.0,276.0,285.0,0,0.47801893949508667
13,1v21Befu5fE,0,0,8,0.0,235.0,26.0,281.0,2,0.43073853850364685
14,1v21Befu5fE,0,0,9,222.0,140.0,271.0,267.0,0,0.5397285223007202
15,1v21Befu5fE,0,0,10,187.0,121.0,244.0,253.0,0,0.8231541514396667
16,1v21Befu5fE,0,0,10,9.0,99.0,69.0,239.0,0,0.744286298751831
17,1v21Befu5fE,0,0,10,117.0,129.0,171.0,253.0,0,0.7403496503829956
18,1v21Befu5fE,0,0,10,271.0,45.0,309.0,90.0,0,0.5080122947692871
19,1v21Befu5fE,0,0,10,340.0,113.0,398.0,264.0,0,0.4230460524559021
20,1v21Befu5fE,0,0,12,123.0,133.0,165.0,255.0,0,0.6295881271362305
21,1v21Befu5fE,0,0,12,166.0,245.0,253.0,299.0,56,0.46442168951034546
22,1v21Befu5fE,0,0,12,272.0,51.0,311.0,90.0,0,0.4041644036769867
23,1v21Befu5fE,0,0,13,111.0,138.0,180.0,260.0,0,0.6543921232223511
24,1v21Befu5fE,0,0,13,14.0,106.0,75.0,244.0,0,0.5423367023468018
25,1v21Befu5fE,0,0,13,170.0,250.0,253.0,306.0,56,0.5362054109573364
26,1v21Befu5fE,0,0,13,279.0,56.0,312.0,98.0,0,0.516338586807251
27,1v21Befu5fE,0,0,13,345.0,124.0,399.0,286.0,0,0.4920598268508911
28,1v21Befu5fE,0,0,13,258.0,253.0,339.0,305.0,56,0.4145581126213074
29,1v21Befu5fE,0,0,14,174.0,251.0,257.0,307.0,56,0.7515803575515747
30,1v21Befu5fE,0,0,14,15.0,109.0,78.0,246.0,0,0.7376220226287842
31,1v21Befu5fE,0,0,14,121.0,141.0,179.0,262.0,0,0.6682624220848083
32,1v21Befu5fE,0,0,14,261.0,253.0,341.0,307.0,56,0.6142539978027344
33,1v21Befu5fE,0,0,15,117.0,138.0,173.0,265.0,0,0.787117063999176
34,1v21Befu5fE,0,0,15,15.0,110.0,77.0,250.0,0,0.7140396237373352
35,1v21Befu5fE,0,0,15,346.0,125.0,401.0,270.0,0,0.5855783820152283
36,1v21Befu5fE,0,0,16,6.0,111.0,71.0,251.0,0,0.7756499648094177
37,1v21Befu5fE,0,0,16,127.0,141.0,177.0,265.0,0,0.711648166179657
38,1v21Befu5fE,0,0,16,84.0,256.0,182.0,304.0,28,0.5979058146476746
