,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1wIGd0H1CUo,0,0,1,162.0,44.0,223.0,177.0,0,0.4891054332256317
1,1wIGd0H1CUo,0,0,2,156.0,42.0,223.0,176.0,0,0.48053035140037537
2,1wIGd0H1CUo,0,0,3,165.0,42.0,225.0,177.0,0,0.4697878956794739
3,1wIGd0H1CUo,0,0,4,167.0,43.0,228.0,176.0,0,0.655465304851532
4,1wIGd0H1CUo,0,0,6,12.0,20.0,155.0,175.0,0,0.4901353716850281
5,1wIGd0H1CUo,0,0,7,12.0,16.0,157.0,174.0,0,0.6059650182723999
6,1wIGd0H1CUo,0,0,8,15.0,14.0,160.0,175.0,0,0.6270540952682495
7,1wIGd0H1CUo,0,0,9,13.0,11.0,164.0,175.0,0,0.4937947392463684
8,1wIGd0H1CUo,0,0,10,26.0,12.0,165.0,176.0,0,0.6729511618614197
9,1wIGd0H1CUo,0,0,12,144.0,7.0,238.0,173.0,0,0.6570179462432861
10,1wIGd0H1CUo,0,0,12,57.0,61.0,132.0,177.0,0,0.6496924757957458
11,1wIGd0H1CUo,0,0,12,125.0,86.0,180.0,175.0,0,0.4042400121688843
12,1wIGd0H1CUo,0,0,13,147.0,24.0,214.0,176.0,0,0.6868299245834351
13,1wIGd0H1CUo,0,0,13,107.0,99.0,171.0,179.0,0,0.6418542861938477
14,1wIGd0H1CUo,0,0,13,42.0,49.0,129.0,176.0,0,0.5913065075874329
15,1wIGd0H1CUo,0,0,14,144.0,24.0,211.0,175.0,0,0.8053685426712036
16,1wIGd0H1CUo,0,0,14,37.0,54.0,124.0,176.0,0,0.69068843126297
17,1wIGd0H1CUo,0,0,14,101.0,105.0,168.0,178.0,0,0.4781475365161896
18,1wIGd0H1CUo,0,0,15,34.0,57.0,116.0,177.0,0,0.8225908875465393
19,1wIGd0H1CUo,0,0,15,97.0,111.0,165.0,178.0,0,0.7560238242149353
20,1wIGd0H1CUo,0,0,15,145.0,29.0,208.0,177.0,0,0.6988343596458435
21,1wIGd0H1CUo,0,0,15,107.0,33.0,155.0,113.0,0,0.5069082975387573
22,1wIGd0H1CUo,0,0,16,136.0,31.0,205.0,178.0,0,0.7884273529052734
23,1wIGd0H1CUo,0,0,16,93.0,106.0,160.0,178.0,0,0.7815430164337158
24,1wIGd0H1CUo,0,0,16,25.0,58.0,117.0,178.0,0,0.6358974575996399
25,1wIGd0H1CUo,0,0,17,132.0,33.0,203.0,176.0,0,0.7869695425033569
26,1wIGd0H1CUo,0,0,17,22.0,61.0,111.0,177.0,0,0.6796323657035828
27,1wIGd0H1CUo,0,0,17,87.0,114.0,158.0,179.0,0,0.676231324672699
28,1wIGd0H1CUo,0,0,18,166.0,18.0,240.0,177.0,0,0.4074445962905884
