,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1xs-ibIaMMU,0,0,1,54.0,57.0,97.0,142.0,0,0.801147997379303
1,1xs-ibIaMMU,0,0,2,53.0,58.0,97.0,142.0,0,0.8145378828048706
2,1xs-ibIaMMU,0,0,2,167.0,55.0,192.0,95.0,0,0.677146852016449
3,1xs-ibIaMMU,0,0,2,154.0,80.0,168.0,96.0,56,0.4977496266365051
4,1xs-ibIaMMU,0,0,3,52.0,65.0,94.0,143.0,0,0.8746166825294495
5,1xs-ibIaMMU,0,0,4,58.0,68.0,99.0,143.0,0,0.6879135966300964
6,1xs-ibIaMMU,0,0,4,162.0,46.0,192.0,101.0,0,0.680722177028656
7,1xs-ibIaMMU,0,0,4,150.0,85.0,165.0,101.0,56,0.5022428035736084
8,1xs-ibIaMMU,0,0,5,44.0,63.0,84.0,142.0,0,0.7920987010002136
9,1xs-ibIaMMU,0,0,5,157.0,45.0,192.0,101.0,0,0.6914751529693604
10,1xs-ibIaMMU,0,0,6,52.0,68.0,95.0,142.0,0,0.8358242511749268
11,1xs-ibIaMMU,0,0,6,158.0,48.0,192.0,86.0,0,0.5124241709709167
12,1xs-ibIaMMU,0,0,7,48.0,64.0,90.0,143.0,0,0.7502728700637817
13,1xs-ibIaMMU,0,0,7,162.0,43.0,192.0,96.0,0,0.6709844470024109
14,1xs-ibIaMMU,0,0,7,149.0,81.0,163.0,97.0,56,0.5073205232620239
15,1xs-ibIaMMU,0,0,8,52.0,66.0,96.0,143.0,0,0.8043127655982971
16,1xs-ibIaMMU,0,0,8,160.0,45.0,192.0,99.0,0,0.7657821178436279
17,1xs-ibIaMMU,0,0,8,61.0,53.0,79.0,73.0,0,0.6340788006782532
18,1xs-ibIaMMU,0,0,9,48.0,67.0,90.0,143.0,0,0.8181178569793701
19,1xs-ibIaMMU,0,0,9,158.0,48.0,192.0,101.0,0,0.7590641975402832
20,1xs-ibIaMMU,0,0,10,48.0,70.0,90.0,142.0,0,0.7299700379371643
21,1xs-ibIaMMU,0,0,10,156.0,49.0,192.0,102.0,0,0.6991942524909973
22,1xs-ibIaMMU,0,0,10,53.0,56.0,69.0,77.0,0,0.46545717120170593
23,1xs-ibIaMMU,0,0,11,50.0,59.0,91.0,142.0,0,0.5285950303077698
24,1xs-ibIaMMU,0,0,11,153.0,34.0,186.0,88.0,0,0.4403289258480072
25,1xs-ibIaMMU,0,0,12,52.0,59.0,92.0,142.0,0,0.7569455504417419
26,1xs-ibIaMMU,0,0,12,163.0,32.0,192.0,88.0,0,0.5287193655967712
27,1xs-ibIaMMU,0,0,13,69.0,61.0,112.0,142.0,0,0.7826380729675293
28,1xs-ibIaMMU,0,0,13,74.0,48.0,90.0,69.0,0,0.5354757905006409
29,1xs-ibIaMMU,0,0,14,61.0,62.0,99.0,142.0,0,0.8501530885696411
30,1xs-ibIaMMU,0,0,15,73.0,60.0,115.0,143.0,0,0.6859922409057617
31,1xs-ibIaMMU,0,0,16,66.0,60.0,109.0,142.0,0,0.6707574129104614
32,1xs-ibIaMMU,0,0,17,68.0,60.0,107.0,142.0,0,0.7107144594192505
33,1xs-ibIaMMU,0,0,18,70.0,64.0,113.0,143.0,0,0.7359309792518616
34,1xs-ibIaMMU,0,0,19,60.0,39.0,99.0,142.0,10,0.7321667075157166
