,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1zw-YXeVNG8,9,0,1,38.0,489.0,137.0,654.0,58,0.5088502168655396
1,1zw-YXeVNG8,9,0,1,204.0,486.0,365.0,669.0,58,0.4702063500881195
2,1zw-YXeVNG8,9,0,2,208.0,487.0,357.0,621.0,58,0.5163391828536987
3,1zw-YXeVNG8,9,0,2,39.0,488.0,136.0,654.0,58,0.45131716132164
4,1zw-YXeVNG8,9,0,3,63.0,439.0,189.0,654.0,0,0.8070334196090698
5,1zw-YXeVNG8,9,0,3,500.0,475.0,672.0,674.0,58,0.5298073887825012
6,1zw-YXeVNG8,9,0,4,391.0,410.0,481.0,627.0,0,0.8354831337928772
7,1zw-YXeVNG8,9,0,4,268.0,1.0,342.0,36.0,32,0.4985211193561554
8,1zw-YXeVNG8,9,0,5,625.0,399.0,700.0,603.0,0,0.7241613864898682
9,1zw-YXeVNG8,9,0,6,888.0,389.0,944.0,599.0,0,0.4770147502422333
10,1zw-YXeVNG8,9,0,6,154.0,424.0,247.0,522.0,0,0.4040715992450714
11,1zw-YXeVNG8,9,0,7,223.0,416.0,309.0,533.0,0,0.744633674621582
12,1zw-YXeVNG8,9,0,7,484.0,426.0,586.0,523.0,0,0.7085375785827637
13,1zw-YXeVNG8,9,0,7,147.0,427.0,219.0,527.0,0,0.5235663056373596
14,1zw-YXeVNG8,9,0,8,248.0,411.0,329.0,563.0,0,0.7754040360450745
15,1zw-YXeVNG8,9,0,8,557.0,430.0,632.0,542.0,0,0.692734956741333
16,1zw-YXeVNG8,9,0,8,74.0,418.0,147.0,570.0,0,0.5006137490272522
17,1zw-YXeVNG8,9,0,8,446.0,443.0,542.0,545.0,0,0.40863946080207825
18,1zw-YXeVNG8,9,0,9,0.0,266.0,117.0,709.0,0,0.8817610144615173
19,1zw-YXeVNG8,9,0,9,897.0,392.0,959.0,511.0,0,0.6918671727180481
20,1zw-YXeVNG8,9,0,9,786.0,401.0,886.0,514.0,0,0.690520703792572
21,1zw-YXeVNG8,9,0,9,599.0,377.0,662.0,524.0,0,0.4970526695251465
22,1zw-YXeVNG8,9,0,9,175.0,448.0,233.0,568.0,0,0.49303001165390015
23,1zw-YXeVNG8,9,0,9,417.0,385.0,484.0,536.0,0,0.44106805324554443
24,1zw-YXeVNG8,9,0,9,600.0,389.0,666.0,531.0,56,0.43247348070144653
25,1zw-YXeVNG8,9,0,10,387.0,238.0,546.0,711.0,0,0.8778212666511536
26,1zw-YXeVNG8,9,0,10,237.0,261.0,412.0,694.0,0,0.8055148720741272
27,1zw-YXeVNG8,9,0,11,796.0,244.0,960.0,700.0,0,0.906075119972229
28,1zw-YXeVNG8,9,0,11,674.0,268.0,798.0,693.0,0,0.8469780087471008
29,1zw-YXeVNG8,9,0,11,109.0,391.0,142.0,512.0,0,0.632432758808136
30,1zw-YXeVNG8,9,0,12,528.0,352.0,639.0,561.0,58,0.44053107500076294
31,1zw-YXeVNG8,9,0,13,151.0,522.0,169.0,566.0,0,0.4112604260444641
32,1zw-YXeVNG8,9,0,15,182.0,635.0,265.0,712.0,16,0.5023037791252136
33,1zw-YXeVNG8,9,0,19,408.0,210.0,802.0,716.0,0,0.5677871704101562
