,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,1zw6Jb-2c4c,0,0,3,733.0,596.0,1265.0,720.0,8,0.41570398211479187
1,1zw6Jb-2c4c,0,0,4,1080.0,623.0,1280.0,695.0,8,0.45439156889915466
2,1zw6Jb-2c4c,0,0,4,616.0,560.0,1118.0,717.0,8,0.4426419138908386
3,1zw6Jb-2c4c,0,0,5,771.0,572.0,1246.0,720.0,8,0.43658486008644104
4,1zw6Jb-2c4c,0,0,6,537.0,434.0,869.0,719.0,0,0.8789400458335876
5,1zw6Jb-2c4c,0,0,6,187.0,378.0,336.0,632.0,0,0.8710054159164429
6,1zw6Jb-2c4c,0,0,6,2.0,467.0,207.0,714.0,0,0.8674032092094421
7,1zw6Jb-2c4c,0,0,6,0.0,340.0,205.0,613.0,0,0.8581449389457703
8,1zw6Jb-2c4c,0,0,6,408.0,342.0,574.0,707.0,0,0.8280335664749146
9,1zw6Jb-2c4c,0,0,6,549.0,355.0,677.0,587.0,0,0.791591227054596
10,1zw6Jb-2c4c,0,0,6,242.0,547.0,472.0,715.0,0,0.72535640001297
11,1zw6Jb-2c4c,0,0,7,792.0,441.0,1142.0,715.0,0,0.904857337474823
12,1zw6Jb-2c4c,0,0,7,0.0,59.0,189.0,711.0,0,0.8835291862487793
13,1zw6Jb-2c4c,0,0,7,224.0,483.0,470.0,719.0,0,0.872978687286377
14,1zw6Jb-2c4c,0,0,7,436.0,391.0,578.0,629.0,0,0.8647286295890808
15,1zw6Jb-2c4c,0,0,7,240.0,360.0,453.0,613.0,0,0.8559874296188354
16,1zw6Jb-2c4c,0,0,7,657.0,354.0,826.0,713.0,0,0.7927392721176147
17,1zw6Jb-2c4c,0,0,7,787.0,367.0,924.0,582.0,0,0.7550556659698486
18,1zw6Jb-2c4c,0,0,7,166.0,405.0,244.0,717.0,0,0.7470508813858032
19,1zw6Jb-2c4c,0,0,7,551.0,562.0,760.0,717.0,0,0.7304744720458984
20,1zw6Jb-2c4c,0,0,8,1.0,391.0,174.0,710.0,0,0.898977518081665
21,1zw6Jb-2c4c,0,0,8,149.0,491.0,459.0,719.0,0,0.877679169178009
22,1zw6Jb-2c4c,0,0,8,141.0,407.0,283.0,622.0,0,0.8079695701599121
23,1zw6Jb-2c4c,0,0,9,312.0,560.0,516.0,657.0,8,0.41301509737968445
24,1zw6Jb-2c4c,0,0,9,862.0,595.0,1099.0,694.0,8,0.40819433331489563
25,1zw6Jb-2c4c,0,0,10,369.0,586.0,630.0,672.0,8,0.4297620952129364
26,1zw6Jb-2c4c,0,0,10,1187.0,551.0,1279.0,607.0,8,0.40493425726890564
27,1zw6Jb-2c4c,0,0,11,323.0,576.0,587.0,676.0,8,0.6302977800369263
28,1zw6Jb-2c4c,0,0,13,994.0,476.0,1091.0,544.0,8,0.49170053005218506
29,1zw6Jb-2c4c,0,0,13,901.0,498.0,1001.0,547.0,8,0.41365739703178406
30,1zw6Jb-2c4c,0,0,14,994.0,291.0,1240.0,613.0,8,0.5539983510971069
31,1zw6Jb-2c4c,0,0,15,1110.0,431.0,1277.0,619.0,8,0.7231963872909546
32,1zw6Jb-2c4c,0,0,15,804.0,282.0,1045.0,628.0,8,0.6948562264442444
33,1zw6Jb-2c4c,0,0,15,7.0,571.0,269.0,650.0,8,0.4482171833515167
34,1zw6Jb-2c4c,0,0,15,1053.0,440.0,1100.0,475.0,8,0.422538697719574
35,1zw6Jb-2c4c,0,0,16,972.0,454.0,1160.0,636.0,8,0.8238028883934021
36,1zw6Jb-2c4c,0,0,16,690.0,311.0,940.0,633.0,8,0.6735808253288269
37,1zw6Jb-2c4c,0,0,17,815.0,452.0,1006.0,620.0,8,0.5856818556785583
38,1zw6Jb-2c4c,0,0,17,547.0,310.0,804.0,623.0,8,0.5235753655433655
39,1zw6Jb-2c4c,0,0,17,1061.0,382.0,1200.0,469.0,8,0.5169374942779541
40,1zw6Jb-2c4c,0,0,17,382.0,560.0,550.0,626.0,8,0.4067648947238922
