,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2-07Czu5DyU,13,0,2,0.0,50.0,318.0,190.0,4,0.4197600483894348
1,2-07Czu5DyU,13,0,3,0.0,34.0,320.0,174.0,4,0.49897029995918274
2,2-07Czu5DyU,13,1,1,4.0,35.0,310.0,143.0,4,0.548437774181366
3,2-07Czu5DyU,13,1,2,4.0,36.0,315.0,142.0,4,0.593994677066803
4,2-07Czu5DyU,13,1,3,11.0,33.0,318.0,146.0,4,0.5852553844451904
5,2-07Czu5DyU,13,1,4,3.0,49.0,308.0,161.0,4,0.4931291937828064
6,2-07Czu5DyU,13,1,5,6.0,38.0,318.0,157.0,4,0.6443043947219849
7,2-07Czu5DyU,13,1,6,7.0,38.0,317.0,162.0,4,0.60417640209198
8,2-07Czu5DyU,13,1,7,0.0,32.0,314.0,154.0,4,0.7065483927726746
9,2-07Czu5DyU,13,1,8,0.0,48.0,305.0,169.0,4,0.7512558102607727
10,2-07Czu5DyU,13,1,9,0.0,41.0,308.0,172.0,4,0.633258044719696
11,2-07Czu5DyU,13,1,10,0.0,42.0,306.0,183.0,4,0.5954955816268921
12,2-07Czu5DyU,13,1,14,0.0,45.0,282.0,180.0,4,0.5800220966339111
13,2-07Czu5DyU,13,1,15,0.0,74.0,316.0,181.0,4,0.556067705154419
14,2-07Czu5DyU,13,1,16,0.0,66.0,320.0,169.0,4,0.7443574070930481
15,2-07Czu5DyU,13,1,17,0.0,54.0,311.0,171.0,4,0.6910544037818909
16,2-07Czu5DyU,13,1,18,2.0,44.0,320.0,176.0,4,0.6669262051582336
17,2-07Czu5DyU,13,1,19,0.0,38.0,320.0,190.0,4,0.618710458278656
