,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2-NsGcrDVaY,13,0,1,0.0,119.0,428.0,262.0,4,0.411128431558609
1,2-NsGcrDVaY,13,0,2,0.0,102.0,425.0,256.0,4,0.4270445704460144
2,2-NsGcrDVaY,13,0,3,0.0,103.0,427.0,252.0,4,0.5392232537269592
3,2-NsGcrDVaY,13,0,4,2.0,119.0,441.0,262.0,4,0.4689406156539917
4,2-NsGcrDVaY,13,0,5,0.0,106.0,426.0,244.0,4,0.5550992488861084
5,2-NsGcrDVaY,13,0,6,0.0,104.0,430.0,247.0,4,0.5275447368621826
6,2-NsGcrDVaY,13,0,7,1.0,104.0,425.0,245.0,4,0.590809166431427
7,2-NsGcrDVaY,13,0,8,2.0,107.0,419.0,248.0,4,0.5636250376701355
8,2-NsGcrDVaY,13,0,9,2.0,119.0,424.0,254.0,4,0.5007001161575317
9,2-NsGcrDVaY,13,0,10,0.0,113.0,412.0,268.0,4,0.620699405670166
10,2-NsGcrDVaY,13,0,11,1.0,111.0,425.0,258.0,4,0.5306355953216553
11,2-NsGcrDVaY,13,0,12,2.0,118.0,429.0,260.0,4,0.5154597163200378
12,2-NsGcrDVaY,13,0,13,2.0,108.0,420.0,268.0,4,0.49080178141593933
13,2-NsGcrDVaY,13,0,15,5.0,129.0,422.0,261.0,4,0.5654918551445007
14,2-NsGcrDVaY,13,0,17,1.0,105.0,422.0,251.0,4,0.49461913108825684
15,2-NsGcrDVaY,13,0,18,0.0,101.0,424.0,252.0,4,0.4107593894004822
16,2-NsGcrDVaY,13,0,19,0.0,100.0,427.0,246.0,4,0.537047266960144
17,2-NsGcrDVaY,13,1,5,0.0,1.0,480.0,337.0,4,0.4496278464794159
18,2-NsGcrDVaY,13,1,10,12.0,105.0,470.0,240.0,4,0.41261667013168335
19,2-NsGcrDVaY,13,1,12,3.0,70.0,438.0,211.0,4,0.40779078006744385
20,2-NsGcrDVaY,13,1,13,2.0,95.0,403.0,237.0,4,0.4039508104324341
21,2-NsGcrDVaY,13,2,6,0.0,108.0,425.0,267.0,4,0.5424320101737976
22,2-NsGcrDVaY,13,2,7,0.0,87.0,451.0,248.0,4,0.4400365948677063
23,2-NsGcrDVaY,13,2,8,0.0,77.0,473.0,255.0,4,0.41070500016212463
24,2-NsGcrDVaY,13,2,12,0.0,72.0,445.0,256.0,4,0.4049636721611023
25,2-NsGcrDVaY,13,2,13,4.0,70.0,475.0,259.0,4,0.457141637802124
26,2-NsGcrDVaY,13,2,14,0.0,60.0,475.0,268.0,4,0.42203035950660706
27,2-NsGcrDVaY,13,2,15,0.0,67.0,474.0,258.0,4,0.5537689924240112
28,2-NsGcrDVaY,13,2,16,0.0,66.0,473.0,268.0,4,0.5230627655982971
29,2-NsGcrDVaY,13,2,19,0.0,76.0,477.0,260.0,4,0.5535368919372559
