,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,20Qzw7imyh8,0,0,1,5.0,256.0,142.0,351.0,32,0.5651158690452576
1,20Qzw7imyh8,0,0,2,6.0,256.0,142.0,351.0,32,0.5912715792655945
2,20Qzw7imyh8,0,0,3,12.0,9.0,476.0,360.0,0,0.6229032278060913
3,20Qzw7imyh8,0,0,4,13.0,9.0,477.0,359.0,0,0.5738505125045776
4,20Qzw7imyh8,0,0,6,346.0,37.0,475.0,348.0,50,0.414629727602005
5,20Qzw7imyh8,0,0,7,12.0,8.0,474.0,360.0,0,0.5321263670921326
6,20Qzw7imyh8,0,0,9,11.0,11.0,480.0,360.0,0,0.5544753074645996
7,20Qzw7imyh8,0,0,10,14.0,16.0,480.0,360.0,0,0.5971463918685913
8,20Qzw7imyh8,0,0,11,12.0,9.0,480.0,356.0,0,0.5435285568237305
9,20Qzw7imyh8,0,0,13,11.0,1.0,477.0,356.0,0,0.473440021276474
10,20Qzw7imyh8,0,0,13,124.0,3.0,208.0,99.0,50,0.4270145297050476
11,20Qzw7imyh8,0,0,15,299.0,244.0,353.0,292.0,51,0.4960973858833313
12,20Qzw7imyh8,0,0,16,321.0,147.0,366.0,271.0,0,0.7970716953277588
13,20Qzw7imyh8,0,0,18,215.0,86.0,307.0,245.0,50,0.4185764193534851
14,20Qzw7imyh8,0,0,19,221.0,105.0,293.0,231.0,50,0.5571984052658081
