,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,28K67OolOgE,6,0,1,491.0,143.0,520.0,160.0,19,0.5466784834861755
1,28K67OolOgE,6,0,1,491.0,143.0,520.0,160.0,17,0.4750138819217682
2,28K67OolOgE,6,0,2,491.0,143.0,520.0,160.0,19,0.5484865307807922
3,28K67OolOgE,6,0,2,491.0,143.0,521.0,160.0,17,0.5483991503715515
4,28K67OolOgE,6,0,3,492.0,143.0,521.0,161.0,19,0.6699987053871155
5,28K67OolOgE,6,0,4,464.0,131.0,588.0,232.0,19,0.9140564799308777
6,28K67OolOgE,6,0,4,305.0,194.0,438.0,269.0,19,0.8901281952857971
7,28K67OolOgE,6,0,4,30.0,215.0,171.0,294.0,19,0.8900554180145264
8,28K67OolOgE,6,0,4,374.0,143.0,446.0,199.0,19,0.8800340890884399
9,28K67OolOgE,6,0,4,164.0,242.0,267.0,286.0,19,0.8174166679382324
10,28K67OolOgE,6,0,4,274.0,141.0,308.0,183.0,19,0.7473404407501221
11,28K67OolOgE,6,0,4,246.0,131.0,282.0,158.0,19,0.7421721816062927
12,28K67OolOgE,6,0,4,303.0,139.0,336.0,185.0,19,0.7296223640441895
13,28K67OolOgE,6,0,4,93.0,137.0,137.0,162.0,19,0.7003148198127747
14,28K67OolOgE,6,0,4,241.0,211.0,314.0,266.0,19,0.662160336971283
15,28K67OolOgE,6,0,4,101.0,202.0,160.0,224.0,19,0.6469669342041016
16,28K67OolOgE,6,0,4,154.0,136.0,177.0,157.0,19,0.5235589742660522
17,28K67OolOgE,6,0,4,0.0,135.0,9.0,162.0,17,0.47851672768592834
18,28K67OolOgE,6,0,4,438.0,134.0,468.0,155.0,19,0.4656866192817688
19,28K67OolOgE,6,0,5,306.0,195.0,438.0,269.0,19,0.8848643898963928
20,28K67OolOgE,6,0,5,32.0,215.0,170.0,295.0,19,0.8827163577079773
21,28K67OolOgE,6,0,5,466.0,131.0,598.0,232.0,19,0.8790118098258972
22,28K67OolOgE,6,0,5,374.0,144.0,448.0,198.0,19,0.8737276792526245
23,28K67OolOgE,6,0,5,166.0,242.0,265.0,286.0,19,0.7719132304191589
24,28K67OolOgE,6,0,5,230.0,210.0,314.0,265.0,19,0.7668934464454651
25,28K67OolOgE,6,0,5,249.0,131.0,282.0,159.0,19,0.7546862363815308
26,28K67OolOgE,6,0,5,101.0,137.0,143.0,162.0,19,0.7497876882553101
27,28K67OolOgE,6,0,5,277.0,141.0,310.0,183.0,19,0.6899169683456421
28,28K67OolOgE,6,0,5,103.0,201.0,160.0,224.0,19,0.6444087028503418
29,28K67OolOgE,6,0,5,303.0,139.0,336.0,184.0,19,0.6229645609855652
30,28K67OolOgE,6,0,5,153.0,136.0,176.0,157.0,19,0.5969865322113037
31,28K67OolOgE,6,0,5,204.0,134.0,222.0,172.0,19,0.5448836088180542
32,28K67OolOgE,6,0,5,0.0,136.0,10.0,163.0,17,0.4851583242416382
33,28K67OolOgE,6,0,5,423.0,135.0,450.0,156.0,19,0.40057045221328735
34,28K67OolOgE,6,0,6,465.0,130.0,589.0,232.0,19,0.9020966291427612
35,28K67OolOgE,6,0,6,304.0,196.0,438.0,269.0,19,0.8864824771881104
36,28K67OolOgE,6,0,6,32.0,209.0,169.0,294.0,19,0.865654468536377
37,28K67OolOgE,6,0,6,375.0,143.0,450.0,198.0,19,0.8531238436698914
38,28K67OolOgE,6,0,6,227.0,208.0,314.0,263.0,19,0.7936491966247559
39,28K67OolOgE,6,0,6,165.0,232.0,265.0,289.0,19,0.7683389782905579
40,28K67OolOgE,6,0,6,105.0,137.0,146.0,162.0,19,0.7522678375244141
41,28K67OolOgE,6,0,6,248.0,131.0,282.0,158.0,19,0.7456666231155396
42,28K67OolOgE,6,0,6,280.0,140.0,309.0,183.0,19,0.6871857047080994
43,28K67OolOgE,6,0,6,303.0,139.0,336.0,184.0,19,0.6558064818382263
44,28K67OolOgE,6,0,6,205.0,135.0,221.0,170.0,19,0.5597794651985168
45,28K67OolOgE,6,0,6,391.0,134.0,417.0,146.0,19,0.5172630548477173
46,28K67OolOgE,6,0,6,154.0,136.0,176.0,157.0,19,0.511154055595398
47,28K67OolOgE,6,0,6,104.0,201.0,159.0,225.0,19,0.5013530254364014
48,28K67OolOgE,6,0,6,444.0,136.0,467.0,156.0,19,0.4260239601135254
49,28K67OolOgE,6,0,7,180.0,3.0,634.0,334.0,17,0.8027756810188293
50,28K67OolOgE,6,0,7,159.0,1.0,364.0,242.0,17,0.5272496342658997
51,28K67OolOgE,6,0,8,172.0,0.0,638.0,336.0,17,0.8115858435630798
52,28K67OolOgE,6,0,9,176.0,0.0,639.0,335.0,17,0.8397150039672852
53,28K67OolOgE,6,0,9,144.0,0.0,340.0,238.0,17,0.5448696613311768
54,28K67OolOgE,6,0,10,197.0,1.0,637.0,330.0,17,0.5991638898849487
55,28K67OolOgE,6,0,11,175.0,3.0,634.0,329.0,19,0.6031143069267273
56,28K67OolOgE,6,0,11,175.0,3.0,634.0,329.0,17,0.41603708267211914
57,28K67OolOgE,6,0,12,183.0,0.0,628.0,337.0,17,0.5986103415489197
58,28K67OolOgE,6,0,13,154.0,139.0,275.0,266.0,17,0.8966773152351379
59,28K67OolOgE,6,0,13,291.0,67.0,466.0,358.0,17,0.8607934713363647
60,28K67OolOgE,6,0,13,271.0,141.0,307.0,261.0,17,0.6454127430915833
61,28K67OolOgE,6,0,13,0.0,141.0,58.0,280.0,19,0.5700276494026184
62,28K67OolOgE,6,0,13,1.0,141.0,58.0,278.0,17,0.5128190517425537
63,28K67OolOgE,6,0,14,230.0,37.0,452.0,358.0,17,0.8497586250305176
64,28K67OolOgE,6,0,14,430.0,151.0,500.0,231.0,17,0.7420082688331604
65,28K67OolOgE,6,0,14,180.0,145.0,262.0,263.0,17,0.7205870747566223
66,28K67OolOgE,6,0,14,40.0,147.0,111.0,283.0,17,0.6266919374465942
67,28K67OolOgE,6,0,14,41.0,147.0,111.0,282.0,19,0.6118694543838501
68,28K67OolOgE,6,0,14,0.0,157.0,51.0,260.0,19,0.5470976233482361
69,28K67OolOgE,6,0,15,557.0,168.0,631.0,251.0,19,0.8260331153869629
70,28K67OolOgE,6,0,15,191.0,13.0,496.0,359.0,17,0.8144668936729431
71,28K67OolOgE,6,0,15,177.0,167.0,240.0,301.0,17,0.8118424415588379
72,28K67OolOgE,6,0,15,100.0,161.0,182.0,282.0,17,0.7927379012107849
73,28K67OolOgE,6,0,15,477.0,166.0,585.0,291.0,19,0.7225117683410645
74,28K67OolOgE,6,0,15,28.0,139.0,95.0,273.0,17,0.46343424916267395
75,28K67OolOgE,6,0,16,460.0,172.0,524.0,309.0,19,0.8338790535926819
76,28K67OolOgE,6,0,16,591.0,174.0,640.0,302.0,19,0.8305853605270386
77,28K67OolOgE,6,0,16,48.0,170.0,128.0,291.0,17,0.7472241520881653
78,28K67OolOgE,6,0,16,273.0,19.0,474.0,355.0,0,0.6831507086753845
79,28K67OolOgE,6,0,16,284.0,22.0,484.0,359.0,17,0.6146064400672913
80,28K67OolOgE,6,0,17,199.0,49.0,474.0,357.0,17,0.9060426950454712
81,28K67OolOgE,6,0,17,32.0,188.0,103.0,308.0,19,0.8111355304718018
82,28K67OolOgE,6,0,17,439.0,187.0,503.0,316.0,19,0.7401041984558105
83,28K67OolOgE,6,0,17,97.0,188.0,224.0,296.0,19,0.70806884765625
84,28K67OolOgE,6,0,17,440.0,187.0,503.0,317.0,17,0.40852034091949463
85,28K67OolOgE,6,0,19,6.0,34.0,429.0,360.0,17,0.6620965600013733
86,28K67OolOgE,6,0,19,610.0,174.0,640.0,246.0,19,0.5948566198348999
87,28K67OolOgE,6,0,19,565.0,189.0,617.0,239.0,19,0.5683637857437134
88,28K67OolOgE,6,0,19,588.0,177.0,627.0,204.0,19,0.4490874707698822
89,28K67OolOgE,6,0,19,551.0,178.0,587.0,210.0,19,0.41553810238838196
