,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2ClbyVxrLhs,14,0,1,431.0,54.0,490.0,263.0,0,0.8673952221870422
1,2ClbyVxrLhs,14,0,1,433.0,251.0,490.0,275.0,36,0.7673404812812805
2,2ClbyVxrLhs,14,0,1,102.0,96.0,171.0,235.0,0,0.7384179830551147
3,2ClbyVxrLhs,14,0,1,159.0,179.0,266.0,257.0,2,0.4879014194011688
4,2ClbyVxrLhs,14,0,1,55.0,234.0,163.0,289.0,36,0.4162801206111908
5,2ClbyVxrLhs,14,0,2,433.0,56.0,490.0,262.0,0,0.8449503183364868
6,2ClbyVxrLhs,14,0,2,109.0,96.0,170.0,235.0,0,0.739618718624115
7,2ClbyVxrLhs,14,0,2,432.0,250.0,490.0,274.0,36,0.7194384932518005
8,2ClbyVxrLhs,14,0,3,94.0,39.0,237.0,206.0,0,0.7573042511940002
9,2ClbyVxrLhs,14,0,3,0.0,107.0,107.0,258.0,0,0.7414811253547668
10,2ClbyVxrLhs,14,0,3,97.0,218.0,228.0,249.0,36,0.4004843235015869
11,2ClbyVxrLhs,14,0,4,189.0,51.0,269.0,258.0,0,0.8919386863708496
12,2ClbyVxrLhs,14,0,4,200.0,249.0,284.0,270.0,36,0.7386127710342407
13,2ClbyVxrLhs,14,0,5,196.0,26.0,309.0,275.0,0,0.9069070816040039
14,2ClbyVxrLhs,14,0,5,274.0,257.0,311.0,276.0,36,0.6515308618545532
15,2ClbyVxrLhs,14,0,6,208.0,31.0,303.0,282.0,0,0.9030384421348572
16,2ClbyVxrLhs,14,0,6,221.0,277.0,271.0,299.0,36,0.7559916377067566
17,2ClbyVxrLhs,14,0,7,233.0,24.0,321.0,277.0,0,0.9010286927223206
18,2ClbyVxrLhs,14,0,7,264.0,270.0,315.0,294.0,36,0.7594668865203857
19,2ClbyVxrLhs,14,0,8,165.0,81.0,300.0,269.0,0,0.8359978795051575
20,2ClbyVxrLhs,14,0,8,190.0,262.0,270.0,283.0,36,0.8008369207382202
21,2ClbyVxrLhs,14,0,9,104.0,43.0,233.0,232.0,0,0.8903753161430359
22,2ClbyVxrLhs,14,0,9,27.0,135.0,58.0,183.0,0,0.5921368598937988
23,2ClbyVxrLhs,14,0,9,96.0,129.0,123.0,163.0,0,0.5180705189704895
24,2ClbyVxrLhs,14,0,10,46.0,154.0,65.0,209.0,0,0.877345621585846
25,2ClbyVxrLhs,14,0,10,113.0,6.0,273.0,328.0,0,0.8539454340934753
26,2ClbyVxrLhs,14,0,10,132.0,323.0,178.0,345.0,36,0.6924835443496704
27,2ClbyVxrLhs,14,0,10,131.0,144.0,153.0,184.0,0,0.5143899917602539
28,2ClbyVxrLhs,14,0,10,128.0,304.0,183.0,346.0,36,0.4373348355293274
29,2ClbyVxrLhs,14,0,11,198.0,2.0,351.0,357.0,0,0.8306459784507751
30,2ClbyVxrLhs,14,0,11,356.0,168.0,401.0,192.0,2,0.4836995601654053
31,2ClbyVxrLhs,14,0,12,251.0,30.0,347.0,269.0,0,0.8857455253601074
32,2ClbyVxrLhs,14,0,12,0.0,134.0,50.0,161.0,2,0.7573249340057373
33,2ClbyVxrLhs,14,0,12,223.0,148.0,238.0,177.0,0,0.5484034419059753
34,2ClbyVxrLhs,14,0,12,317.0,245.0,351.0,272.0,36,0.509784996509552
35,2ClbyVxrLhs,14,0,13,223.0,41.0,306.0,228.0,0,0.8988589644432068
36,2ClbyVxrLhs,14,0,13,241.0,217.0,304.0,238.0,36,0.7629347443580627
37,2ClbyVxrLhs,14,0,14,208.0,0.0,336.0,275.0,0,0.8962777853012085
38,2ClbyVxrLhs,14,0,14,227.0,266.0,348.0,297.0,36,0.8494594693183899
39,2ClbyVxrLhs,14,0,14,6.0,88.0,158.0,159.0,2,0.6562612652778625
40,2ClbyVxrLhs,14,0,14,20.0,79.0,93.0,120.0,2,0.45825809240341187
41,2ClbyVxrLhs,14,0,15,199.0,0.0,305.0,290.0,0,0.9387407302856445
42,2ClbyVxrLhs,14,0,15,207.0,279.0,329.0,307.0,36,0.8068545460700989
43,2ClbyVxrLhs,14,0,15,393.0,73.0,487.0,131.0,2,0.7129778861999512
44,2ClbyVxrLhs,14,0,15,452.0,96.0,490.0,164.0,2,0.5663642883300781
45,2ClbyVxrLhs,14,0,15,64.0,153.0,87.0,213.0,39,0.5337947010993958
46,2ClbyVxrLhs,14,0,16,235.0,29.0,304.0,266.0,0,0.872546911239624
47,2ClbyVxrLhs,14,0,16,239.0,258.0,305.0,279.0,36,0.8068157434463501
48,2ClbyVxrLhs,14,0,17,211.0,35.0,277.0,241.0,0,0.9028118252754211
49,2ClbyVxrLhs,14,0,17,225.0,229.0,270.0,250.0,36,0.712077260017395
50,2ClbyVxrLhs,14,0,18,196.0,42.0,265.0,261.0,0,0.877819299697876
51,2ClbyVxrLhs,14,0,18,216.0,249.0,269.0,266.0,36,0.7953349947929382
