,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2I7dzXCIUow,9,0,1,142.0,59.0,345.0,353.0,0,0.7061170339584351
1,2I7dzXCIUow,9,0,1,96.0,220.0,153.0,327.0,58,0.40034088492393494
2,2I7dzXCIUow,9,0,2,143.0,41.0,346.0,355.0,0,0.7840054035186768
3,2I7dzXCIUow,9,0,3,118.0,35.0,324.0,351.0,0,0.860334575176239
4,2I7dzXCIUow,9,0,3,93.0,245.0,125.0,287.0,58,0.40370479226112366
5,2I7dzXCIUow,9,0,4,119.0,48.0,325.0,356.0,0,0.8390242457389832
6,2I7dzXCIUow,9,0,4,240.0,141.0,266.0,178.0,67,0.42342278361320496
7,2I7dzXCIUow,9,0,5,131.0,55.0,330.0,355.0,0,0.8388316035270691
8,2I7dzXCIUow,9,0,6,115.0,57.0,310.0,360.0,0,0.8042798638343811
9,2I7dzXCIUow,9,0,6,39.0,238.0,122.0,341.0,58,0.40323200821876526
10,2I7dzXCIUow,9,0,7,125.0,64.0,320.0,360.0,0,0.8660145401954651
11,2I7dzXCIUow,9,0,7,31.0,240.0,135.0,352.0,58,0.5515740513801575
12,2I7dzXCIUow,9,0,8,137.0,26.0,326.0,338.0,0,0.7542248368263245
13,2I7dzXCIUow,9,0,8,61.0,210.0,148.0,310.0,58,0.6064912676811218
14,2I7dzXCIUow,9,0,9,146.0,105.0,340.0,355.0,0,0.8420351147651672
15,2I7dzXCIUow,9,0,10,171.0,65.0,356.0,358.0,0,0.8532507419586182
16,2I7dzXCIUow,9,0,10,92.0,232.0,178.0,339.0,58,0.5391579866409302
