,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2K2gLrhP9AU,13,0,2,193.0,45.0,311.0,156.0,14,0.4709396958351135
1,2K2gLrhP9AU,13,0,14,201.0,65.0,269.0,229.0,0,0.7986387610435486
2,2K2gLrhP9AU,13,0,14,279.0,79.0,302.0,176.0,0,0.6011266708374023
3,2K2gLrhP9AU,13,0,14,295.0,77.0,318.0,192.0,0,0.5764632821083069
4,2K2gLrhP9AU,13,0,15,288.0,82.0,311.0,131.0,0,0.6335169672966003
5,2K2gLrhP9AU,13,0,17,265.0,86.0,320.0,237.0,0,0.43028900027275085
6,2K2gLrhP9AU,13,1,1,282.0,130.0,311.0,224.0,0,0.469234436750412
7,2K2gLrhP9AU,13,1,7,75.0,77.0,238.0,154.0,4,0.532006561756134
8,2K2gLrhP9AU,13,1,8,127.0,75.0,236.0,130.0,4,0.507870078086853
9,2K2gLrhP9AU,13,1,10,225.0,114.0,241.0,157.0,0,0.43845513463020325
10,2K2gLrhP9AU,13,1,11,212.0,130.0,234.0,182.0,0,0.5501354336738586
11,2K2gLrhP9AU,13,1,12,104.0,145.0,119.0,186.0,0,0.5295405387878418
12,2K2gLrhP9AU,13,1,13,236.0,129.0,247.0,162.0,0,0.48054030537605286
13,2K2gLrhP9AU,13,2,1,129.0,93.0,201.0,125.0,4,0.7970943450927734
14,2K2gLrhP9AU,13,2,2,122.0,94.0,201.0,126.0,4,0.8120909333229065
15,2K2gLrhP9AU,13,2,3,119.0,88.0,206.0,124.0,4,0.7851576805114746
16,2K2gLrhP9AU,13,2,4,122.0,99.0,222.0,132.0,4,0.8208213448524475
17,2K2gLrhP9AU,13,2,6,96.0,79.0,212.0,117.0,4,0.5602440237998962
18,2K2gLrhP9AU,13,2,8,134.0,91.0,234.0,122.0,4,0.6478196978569031
19,2K2gLrhP9AU,13,2,9,112.0,80.0,205.0,113.0,14,0.4024903476238251
20,2K2gLrhP9AU,13,2,10,119.0,109.0,207.0,160.0,4,0.880756676197052
21,2K2gLrhP9AU,13,2,11,115.0,94.0,195.0,141.0,4,0.9150635004043579
22,2K2gLrhP9AU,13,2,12,120.0,77.0,192.0,121.0,4,0.8832327723503113
23,2K2gLrhP9AU,13,2,13,50.0,60.0,222.0,158.0,4,0.4720942974090576
24,2K2gLrhP9AU,13,2,17,69.0,62.0,225.0,149.0,14,0.4778764545917511
25,2K2gLrhP9AU,13,2,18,97.0,59.0,210.0,156.0,4,0.7137765884399414
26,2K2gLrhP9AU,13,2,19,95.0,86.0,226.0,132.0,4,0.7108501195907593
27,2K2gLrhP9AU,13,3,8,126.0,40.0,215.0,157.0,47,0.5803112983703613
28,2K2gLrhP9AU,13,3,9,108.0,64.0,174.0,162.0,47,0.42831823229789734
29,2K2gLrhP9AU,13,3,17,252.0,67.0,272.0,88.0,0,0.591250479221344
30,2K2gLrhP9AU,13,3,19,129.0,75.0,147.0,96.0,0,0.6040574908256531
