,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2KvppRPm3lM,14,0,1,455.0,83.0,692.0,413.0,0,0.9224856495857239
1,2KvppRPm3lM,14,0,2,455.0,83.0,692.0,413.0,0,0.9224451780319214
2,2KvppRPm3lM,14,0,3,517.0,19.0,710.0,586.0,0,0.8698028326034546
3,2KvppRPm3lM,14,0,3,522.0,554.0,744.0,627.0,36,0.7398617267608643
4,2KvppRPm3lM,14,0,4,665.0,564.0,862.0,678.0,36,0.8875576257705688
5,2KvppRPm3lM,14,0,4,635.0,0.0,865.0,630.0,0,0.8688778877258301
6,2KvppRPm3lM,14,0,5,684.0,90.0,878.0,559.0,0,0.8096587657928467
7,2KvppRPm3lM,14,0,5,1046.0,303.0,1231.0,393.0,5,0.5089394450187683
8,2KvppRPm3lM,14,0,6,713.0,192.0,896.0,596.0,0,0.8662800788879395
9,2KvppRPm3lM,14,0,6,795.0,569.0,902.0,627.0,36,0.7388871312141418
10,2KvppRPm3lM,14,0,7,807.0,127.0,1063.0,537.0,0,0.8227723240852356
11,2KvppRPm3lM,14,0,7,849.0,459.0,1059.0,577.0,36,0.6646324992179871
12,2KvppRPm3lM,14,0,7,850.0,515.0,1022.0,581.0,36,0.6402785181999207
13,2KvppRPm3lM,14,0,7,1155.0,325.0,1279.0,416.0,2,0.47278913855552673
14,2KvppRPm3lM,14,0,8,673.0,573.0,877.0,649.0,36,0.8574352264404297
15,2KvppRPm3lM,14,0,8,626.0,194.0,928.0,596.0,0,0.8524061441421509
16,2KvppRPm3lM,14,0,9,622.0,100.0,941.0,635.0,0,0.8446228504180908
17,2KvppRPm3lM,14,0,9,677.0,573.0,892.0,659.0,36,0.8442273736000061
18,2KvppRPm3lM,14,0,10,573.0,5.0,778.0,598.0,0,0.8721804618835449
19,2KvppRPm3lM,14,0,10,575.0,554.0,830.0,622.0,36,0.6998069286346436
20,2KvppRPm3lM,14,0,10,1176.0,369.0,1280.0,525.0,13,0.49453476071357727
21,2KvppRPm3lM,14,0,10,641.0,78.0,776.0,263.0,24,0.4113151729106903
22,2KvppRPm3lM,14,0,11,416.0,40.0,648.0,642.0,0,0.828617513179779
23,2KvppRPm3lM,14,0,11,505.0,598.0,675.0,718.0,36,0.5244739651679993
24,2KvppRPm3lM,14,0,12,536.0,1.0,788.0,524.0,0,0.8959503173828125
25,2KvppRPm3lM,14,0,12,639.0,479.0,725.0,578.0,36,0.5870160460472107
26,2KvppRPm3lM,14,0,13,551.0,21.0,816.0,571.0,0,0.9319737553596497
27,2KvppRPm3lM,14,0,13,564.0,526.0,703.0,616.0,36,0.8118106126785278
28,2KvppRPm3lM,14,0,13,49.0,261.0,117.0,382.0,0,0.6181997656822205
29,2KvppRPm3lM,14,0,13,258.0,230.0,393.0,332.0,0,0.5463583469390869
30,2KvppRPm3lM,14,0,14,528.0,53.0,713.0,629.0,0,0.8817447423934937
31,2KvppRPm3lM,14,0,14,562.0,575.0,695.0,645.0,36,0.8112356662750244
32,2KvppRPm3lM,14,0,15,477.0,69.0,711.0,570.0,0,0.8865052461624146
33,2KvppRPm3lM,14,0,15,564.0,515.0,688.0,608.0,36,0.7622482180595398
34,2KvppRPm3lM,14,0,16,602.0,4.0,873.0,419.0,0,0.8943003416061401
35,2KvppRPm3lM,14,0,16,674.0,415.0,830.0,507.0,36,0.7437145113945007
36,2KvppRPm3lM,14,0,16,665.0,339.0,799.0,420.0,36,0.7260907888412476
37,2KvppRPm3lM,14,0,17,350.0,0.0,525.0,617.0,0,0.8312672972679138
38,2KvppRPm3lM,14,0,17,327.0,564.0,448.0,649.0,36,0.7505596280097961
39,2KvppRPm3lM,14,0,18,376.0,150.0,521.0,508.0,0,0.8464687466621399
40,2KvppRPm3lM,14,0,18,1025.0,403.0,1215.0,477.0,13,0.6493746638298035
41,2KvppRPm3lM,14,0,18,439.0,499.0,492.0,537.0,36,0.6168063879013062
42,2KvppRPm3lM,14,0,19,587.0,216.0,991.0,699.0,0,0.7964462041854858
43,2KvppRPm3lM,14,0,20,646.0,265.0,1051.0,693.0,0,0.8463423252105713
