,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2MQNSXZ6S1Q,21,0,1,21.0,155.0,299.0,353.0,25,0.7452763319015503
1,2MQNSXZ6S1Q,21,0,1,92.0,120.0,111.0,163.0,0,0.5305353999137878
2,2MQNSXZ6S1Q,21,0,1,339.0,126.0,358.0,178.0,0,0.4784134030342102
3,2MQNSXZ6S1Q,21,0,1,267.0,134.0,359.0,349.0,0,0.4489697813987732
4,2MQNSXZ6S1Q,21,0,1,270.0,111.0,307.0,181.0,0,0.4477493464946747
5,2MQNSXZ6S1Q,21,0,1,136.0,127.0,158.0,158.0,0,0.44140541553497314
6,2MQNSXZ6S1Q,21,0,1,76.0,122.0,95.0,167.0,0,0.43535980582237244
7,2MQNSXZ6S1Q,21,0,2,22.0,154.0,298.0,352.0,25,0.7686069011688232
8,2MQNSXZ6S1Q,21,0,2,338.0,125.0,359.0,181.0,0,0.4923776686191559
9,2MQNSXZ6S1Q,21,0,2,306.0,121.0,336.0,179.0,0,0.4792826771736145
10,2MQNSXZ6S1Q,21,0,2,111.0,110.0,130.0,140.0,0,0.47726303339004517
11,2MQNSXZ6S1Q,21,0,2,271.0,112.0,307.0,179.0,0,0.4285332262516022
12,2MQNSXZ6S1Q,21,0,2,136.0,127.0,158.0,158.0,0,0.4229896068572998
13,2MQNSXZ6S1Q,21,0,3,37.0,175.0,327.0,359.0,25,0.8305352330207825
14,2MQNSXZ6S1Q,21,0,3,292.0,130.0,326.0,214.0,0,0.7504156231880188
15,2MQNSXZ6S1Q,21,0,3,356.0,140.0,377.0,203.0,0,0.7270218133926392
16,2MQNSXZ6S1Q,21,0,3,26.0,121.0,77.0,200.0,0,0.641857385635376
17,2MQNSXZ6S1Q,21,0,3,100.0,138.0,125.0,190.0,0,0.6244114637374878
18,2MQNSXZ6S1Q,21,0,3,408.0,143.0,438.0,205.0,0,0.6035724878311157
19,2MQNSXZ6S1Q,21,0,3,83.0,140.0,104.0,201.0,0,0.5190585851669312
20,2MQNSXZ6S1Q,21,0,3,234.0,130.0,277.0,194.0,0,0.5102354884147644
21,2MQNSXZ6S1Q,21,0,3,378.0,123.0,415.0,205.0,0,0.5021505951881409
22,2MQNSXZ6S1Q,21,0,3,330.0,137.0,357.0,200.0,0,0.4903671145439148
23,2MQNSXZ6S1Q,21,0,4,437.0,115.0,468.0,177.0,0,0.6534113883972168
24,2MQNSXZ6S1Q,21,0,4,77.0,156.0,356.0,357.0,25,0.5978464484214783
25,2MQNSXZ6S1Q,21,0,4,310.0,99.0,345.0,169.0,0,0.5180599689483643
26,2MQNSXZ6S1Q,21,0,4,408.0,92.0,442.0,178.0,0,0.49408212304115295
27,2MQNSXZ6S1Q,21,0,4,373.0,112.0,402.0,175.0,0,0.4610648453235626
28,2MQNSXZ6S1Q,21,0,4,348.0,111.0,376.0,172.0,0,0.4017512798309326
29,2MQNSXZ6S1Q,21,0,5,52.0,136.0,325.0,353.0,25,0.7211403250694275
30,2MQNSXZ6S1Q,21,0,5,295.0,86.0,329.0,154.0,0,0.4665813148021698
31,2MQNSXZ6S1Q,21,0,5,86.0,96.0,132.0,163.0,0,0.40371882915496826
32,2MQNSXZ6S1Q,21,0,6,15.0,135.0,299.0,353.0,25,0.7722981572151184
33,2MQNSXZ6S1Q,21,0,6,374.0,75.0,405.0,161.0,0,0.6207142472267151
34,2MQNSXZ6S1Q,21,0,6,340.0,87.0,368.0,161.0,0,0.45889464020729065
35,2MQNSXZ6S1Q,21,0,6,195.0,63.0,257.0,157.0,0,0.4584081470966339
36,2MQNSXZ6S1Q,21,0,6,315.0,92.0,337.0,159.0,0,0.43559208512306213
37,2MQNSXZ6S1Q,21,0,6,57.0,97.0,86.0,162.0,0,0.4352179765701294
38,2MQNSXZ6S1Q,21,0,7,4.0,143.0,296.0,352.0,25,0.8520218133926392
39,2MQNSXZ6S1Q,21,0,7,267.0,94.0,307.0,163.0,0,0.6045935750007629
40,2MQNSXZ6S1Q,21,0,7,141.0,97.0,173.0,146.0,0,0.5580648183822632
41,2MQNSXZ6S1Q,21,0,7,302.0,99.0,339.0,161.0,0,0.4999726712703705
42,2MQNSXZ6S1Q,21,0,7,363.0,83.0,402.0,166.0,0,0.48508724570274353
43,2MQNSXZ6S1Q,21,0,7,341.0,101.0,366.0,165.0,0,0.47445765137672424
44,2MQNSXZ6S1Q,21,0,7,111.0,109.0,137.0,149.0,0,0.44339001178741455
45,2MQNSXZ6S1Q,21,0,7,206.0,71.0,251.0,161.0,0,0.4236549139022827
46,2MQNSXZ6S1Q,21,0,8,7.0,133.0,308.0,352.0,25,0.8028689026832581
47,2MQNSXZ6S1Q,21,0,8,374.0,100.0,399.0,166.0,0,0.7227464914321899
48,2MQNSXZ6S1Q,21,0,8,338.0,167.0,480.0,277.0,25,0.6665173172950745
49,2MQNSXZ6S1Q,21,0,8,300.0,82.0,332.0,155.0,0,0.6241374015808105
50,2MQNSXZ6S1Q,21,0,8,77.0,93.0,105.0,144.0,0,0.5204619765281677
51,2MQNSXZ6S1Q,21,0,8,117.0,76.0,140.0,113.0,0,0.5089033842086792
52,2MQNSXZ6S1Q,21,0,8,400.0,80.0,445.0,168.0,0,0.48221153020858765
53,2MQNSXZ6S1Q,21,0,8,341.0,96.0,368.0,163.0,0,0.47524774074554443
54,2MQNSXZ6S1Q,21,0,8,258.0,82.0,291.0,126.0,0,0.4348943531513214
55,2MQNSXZ6S1Q,21,0,9,23.0,131.0,309.0,351.0,25,0.8252567052841187
56,2MQNSXZ6S1Q,21,0,9,337.0,93.0,370.0,163.0,0,0.602683961391449
57,2MQNSXZ6S1Q,21,0,9,350.0,167.0,480.0,282.0,25,0.5948225259780884
58,2MQNSXZ6S1Q,21,0,9,286.0,85.0,343.0,167.0,0,0.42870861291885376
