,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2OFpjzfgYNo,23,0,1,138.0,49.0,232.0,97.0,2,0.6422780752182007
1,2OFpjzfgYNo,23,0,1,222.0,52.0,386.0,111.0,2,0.4926244020462036
2,2OFpjzfgYNo,23,0,1,15.0,52.0,444.0,310.0,2,0.46596989035606384
3,2OFpjzfgYNo,23,0,2,138.0,49.0,232.0,98.0,2,0.6055293083190918
4,2OFpjzfgYNo,23,0,2,12.0,53.0,444.0,310.0,2,0.5500160455703735
5,2OFpjzfgYNo,23,0,2,226.0,50.0,385.0,112.0,2,0.4583628475666046
6,2OFpjzfgYNo,23,0,3,0.0,45.0,427.0,322.0,2,0.7340532541275024
7,2OFpjzfgYNo,23,0,3,178.0,44.0,377.0,109.0,2,0.6022804975509644
8,2OFpjzfgYNo,23,0,3,276.0,49.0,376.0,110.0,2,0.507249116897583
9,2OFpjzfgYNo,23,0,4,218.0,48.0,406.0,121.0,2,0.6149415969848633
10,2OFpjzfgYNo,23,0,4,0.0,47.0,434.0,334.0,2,0.4839978516101837
11,2OFpjzfgYNo,23,0,4,0.0,48.0,432.0,334.0,7,0.4726216495037079
12,2OFpjzfgYNo,23,0,5,257.0,55.0,401.0,127.0,2,0.6660029888153076
13,2OFpjzfgYNo,23,0,5,0.0,47.0,436.0,357.0,2,0.5325706601142883
14,2OFpjzfgYNo,23,0,5,0.0,48.0,434.0,353.0,7,0.48482924699783325
15,2OFpjzfgYNo,23,0,6,234.0,48.0,427.0,127.0,2,0.6450584530830383
16,2OFpjzfgYNo,23,0,6,0.0,53.0,451.0,355.0,7,0.5207090973854065
17,2OFpjzfgYNo,23,0,6,1.0,53.0,457.0,358.0,2,0.47748592495918274
18,2OFpjzfgYNo,23,0,6,198.0,47.0,432.0,131.0,7,0.40912482142448425
19,2OFpjzfgYNo,23,0,7,211.0,56.0,407.0,133.0,2,0.6379241943359375
20,2OFpjzfgYNo,23,0,7,0.0,67.0,426.0,360.0,2,0.5869039297103882
21,2OFpjzfgYNo,23,0,7,0.0,63.0,422.0,360.0,7,0.4491208493709564
22,2OFpjzfgYNo,23,0,8,0.0,48.0,480.0,356.0,2,0.8149070143699646
23,2OFpjzfgYNo,23,0,8,264.0,42.0,483.0,132.0,2,0.6853749752044678
24,2OFpjzfgYNo,23,0,9,0.0,25.0,522.0,354.0,2,0.8210227489471436
25,2OFpjzfgYNo,23,0,9,239.0,13.0,401.0,112.0,2,0.791594922542572
26,2OFpjzfgYNo,23,0,9,377.0,23.0,505.0,113.0,2,0.5517542958259583
27,2OFpjzfgYNo,23,0,10,276.0,1.0,441.0,82.0,2,0.8693332076072693
28,2OFpjzfgYNo,23,0,10,419.0,0.0,567.0,83.0,2,0.8085249662399292
29,2OFpjzfgYNo,23,0,10,0.0,3.0,572.0,355.0,2,0.7735441327095032
30,2OFpjzfgYNo,23,0,11,449.0,0.0,589.0,57.0,2,0.8526629209518433
31,2OFpjzfgYNo,23,0,11,317.0,0.0,455.0,56.0,2,0.8211669325828552
32,2OFpjzfgYNo,23,0,11,2.0,4.0,613.0,360.0,2,0.5732349157333374
33,2OFpjzfgYNo,23,0,12,533.0,1.0,640.0,50.0,2,0.7916293144226074
34,2OFpjzfgYNo,23,0,12,384.0,0.0,540.0,46.0,2,0.6735077500343323
35,2OFpjzfgYNo,23,0,12,0.0,7.0,635.0,356.0,2,0.6368050575256348
36,2OFpjzfgYNo,23,0,13,0.0,18.0,640.0,360.0,2,0.5148429274559021
37,2OFpjzfgYNo,23,0,17,44.0,23.0,359.0,304.0,61,0.43545299768447876
38,2OFpjzfgYNo,23,0,19,49.0,18.0,360.0,298.0,61,0.42998671531677246
39,2OFpjzfgYNo,23,1,1,117.0,83.0,446.0,287.0,2,0.802506685256958
40,2OFpjzfgYNo,23,1,2,117.0,84.0,445.0,288.0,2,0.7516069412231445
41,2OFpjzfgYNo,23,1,3,101.0,92.0,437.0,292.0,2,0.617588222026825
42,2OFpjzfgYNo,23,1,3,102.0,92.0,433.0,291.0,7,0.432504802942276
43,2OFpjzfgYNo,23,1,4,121.0,87.0,460.0,293.0,2,0.6742710471153259
44,2OFpjzfgYNo,23,1,5,116.0,77.0,458.0,288.0,7,0.4667467176914215
45,2OFpjzfgYNo,23,1,5,114.0,78.0,456.0,285.0,2,0.4278464913368225
46,2OFpjzfgYNo,23,1,6,110.0,81.0,473.0,291.0,7,0.6551651954650879
47,2OFpjzfgYNo,23,1,7,113.0,84.0,479.0,291.0,7,0.5779251456260681
48,2OFpjzfgYNo,23,1,8,129.0,91.0,482.0,294.0,2,0.5438941717147827
49,2OFpjzfgYNo,23,1,8,125.0,92.0,484.0,297.0,7,0.44980502128601074
50,2OFpjzfgYNo,23,1,9,114.0,80.0,479.0,290.0,2,0.5729650855064392
51,2OFpjzfgYNo,23,1,9,114.0,80.0,482.0,289.0,7,0.4965369999408722
52,2OFpjzfgYNo,23,1,10,99.0,83.0,474.0,297.0,2,0.5236753821372986
53,2OFpjzfgYNo,23,1,10,99.0,83.0,474.0,297.0,7,0.4549753963947296
54,2OFpjzfgYNo,23,1,11,104.0,84.0,492.0,297.0,7,0.5912789702415466
55,2OFpjzfgYNo,23,1,11,106.0,84.0,491.0,296.0,2,0.4915976822376251
56,2OFpjzfgYNo,23,1,12,103.0,84.0,493.0,297.0,7,0.6732211709022522
57,2OFpjzfgYNo,23,1,13,97.0,80.0,493.0,297.0,7,0.5352938175201416
58,2OFpjzfgYNo,23,1,13,97.0,80.0,493.0,297.0,2,0.4853777289390564
59,2OFpjzfgYNo,23,1,13,140.0,65.0,204.0,94.0,2,0.42433223128318787
60,2OFpjzfgYNo,23,1,14,101.0,78.0,516.0,304.0,7,0.6218838691711426
61,2OFpjzfgYNo,23,1,14,156.0,62.0,223.0,92.0,2,0.4849238693714142
62,2OFpjzfgYNo,23,1,14,101.0,80.0,516.0,301.0,2,0.4790903329849243
63,2OFpjzfgYNo,23,1,15,102.0,81.0,523.0,306.0,7,0.6294112205505371
64,2OFpjzfgYNo,23,1,15,178.0,63.0,242.0,90.0,2,0.40959233045578003
65,2OFpjzfgYNo,23,1,16,85.0,91.0,517.0,310.0,7,0.7422000169754028
66,2OFpjzfgYNo,23,1,16,183.0,71.0,249.0,103.0,2,0.4253029525279999
67,2OFpjzfgYNo,23,1,17,92.0,95.0,515.0,316.0,7,0.6764453053474426
68,2OFpjzfgYNo,23,1,18,85.0,79.0,518.0,301.0,7,0.6368895769119263
69,2OFpjzfgYNo,23,1,19,75.0,78.0,520.0,315.0,7,0.5643357634544373
70,2OFpjzfgYNo,23,1,19,75.0,78.0,520.0,315.0,2,0.4111236333847046
71,2OFpjzfgYNo,23,2,1,45.0,63.0,580.0,300.0,7,0.5138337016105652
72,2OFpjzfgYNo,23,2,1,46.0,65.0,588.0,282.0,2,0.48960980772972107
73,2OFpjzfgYNo,23,2,2,45.0,63.0,579.0,299.0,7,0.5142177939414978
74,2OFpjzfgYNo,23,2,2,46.0,66.0,588.0,281.0,2,0.46991780400276184
75,2OFpjzfgYNo,23,2,3,38.0,67.0,590.0,298.0,7,0.624373197555542
76,2OFpjzfgYNo,23,2,4,14.0,64.0,559.0,286.0,7,0.6142576336860657
77,2OFpjzfgYNo,23,2,5,30.0,75.0,576.0,281.0,7,0.5124878883361816
78,2OFpjzfgYNo,23,2,5,33.0,76.0,573.0,284.0,2,0.416174054145813
79,2OFpjzfgYNo,23,2,6,0.0,80.0,546.0,283.0,7,0.6798523664474487
80,2OFpjzfgYNo,23,2,7,0.0,72.0,523.0,279.0,7,0.6112304329872131
81,2OFpjzfgYNo,23,2,8,5.0,79.0,559.0,285.0,2,0.5216009020805359
82,2OFpjzfgYNo,23,2,9,5.0,53.0,551.0,266.0,2,0.6491901278495789
83,2OFpjzfgYNo,23,2,9,512.0,46.0,562.0,66.0,2,0.4562870264053345
84,2OFpjzfgYNo,23,2,10,1.0,78.0,544.0,282.0,2,0.6319108605384827
85,2OFpjzfgYNo,23,2,11,0.0,72.0,549.0,272.0,2,0.8315997123718262
86,2OFpjzfgYNo,23,2,11,559.0,65.0,634.0,98.0,2,0.5610862970352173
87,2OFpjzfgYNo,23,2,12,1.0,69.0,587.0,286.0,2,0.5307404398918152
88,2OFpjzfgYNo,23,2,13,6.0,71.0,607.0,286.0,7,0.4467959403991699
89,2OFpjzfgYNo,23,2,13,3.0,69.0,605.0,285.0,2,0.40303266048431396
90,2OFpjzfgYNo,23,2,14,20.0,79.0,622.0,296.0,7,0.4912325441837311
91,2OFpjzfgYNo,23,2,15,12.0,88.0,603.0,295.0,2,0.4645434021949768
92,2OFpjzfgYNo,23,2,16,33.0,70.0,632.0,281.0,2,0.5445030331611633
93,2OFpjzfgYNo,23,2,17,3.0,71.0,599.0,282.0,2,0.5075482130050659
94,2OFpjzfgYNo,23,2,18,36.0,72.0,627.0,290.0,7,0.5417535305023193
95,2OFpjzfgYNo,23,2,18,47.0,73.0,565.0,275.0,2,0.40718910098075867
96,2OFpjzfgYNo,23,2,19,36.0,71.0,580.0,279.0,2,0.4273763597011566
97,2OFpjzfgYNo,23,3,1,106.0,72.0,546.0,288.0,2,0.5020834803581238
98,2OFpjzfgYNo,23,3,2,98.0,74.0,538.0,289.0,2,0.5248629450798035
99,2OFpjzfgYNo,23,3,3,94.0,78.0,538.0,294.0,2,0.7371317744255066
100,2OFpjzfgYNo,23,3,4,113.0,73.0,555.0,286.0,2,0.595614492893219
101,2OFpjzfgYNo,23,3,4,112.0,71.0,556.0,289.0,7,0.45958155393600464
102,2OFpjzfgYNo,23,3,5,121.0,80.0,548.0,291.0,2,0.7558333873748779
103,2OFpjzfgYNo,23,3,6,99.0,82.0,520.0,279.0,2,0.8082567453384399
104,2OFpjzfgYNo,23,3,7,110.0,80.0,519.0,281.0,2,0.7110550403594971
105,2OFpjzfgYNo,23,3,8,133.0,81.0,523.0,278.0,2,0.7518088817596436
106,2OFpjzfgYNo,23,3,9,134.0,80.0,513.0,276.0,2,0.6430094242095947
107,2OFpjzfgYNo,23,3,10,144.0,82.0,516.0,279.0,2,0.6490185856819153
108,2OFpjzfgYNo,23,3,11,139.0,88.0,515.0,289.0,2,0.7388243079185486
109,2OFpjzfgYNo,23,3,12,120.0,90.0,507.0,291.0,2,0.6595255136489868
110,2OFpjzfgYNo,23,3,12,120.0,89.0,503.0,292.0,7,0.41654691100120544
111,2OFpjzfgYNo,23,3,13,131.0,89.0,515.0,295.0,7,0.5741546750068665
112,2OFpjzfgYNo,23,3,13,131.0,89.0,515.0,295.0,2,0.40350207686424255
113,2OFpjzfgYNo,23,3,14,130.0,96.0,506.0,302.0,2,0.6185371279716492
114,2OFpjzfgYNo,23,3,14,134.0,96.0,511.0,302.0,7,0.40428903698921204
115,2OFpjzfgYNo,23,3,15,127.0,94.0,513.0,296.0,7,0.6601440906524658
116,2OFpjzfgYNo,23,3,16,129.0,94.0,506.0,296.0,7,0.5883050560951233
117,2OFpjzfgYNo,23,3,17,111.0,97.0,487.0,297.0,2,0.5056344270706177
118,2OFpjzfgYNo,23,3,17,111.0,96.0,487.0,297.0,7,0.40412095189094543
119,2OFpjzfgYNo,23,3,18,101.0,93.0,481.0,296.0,2,0.728499710559845
120,2OFpjzfgYNo,23,3,19,105.0,90.0,485.0,294.0,2,0.7761262059211731
