,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2TCcpffh2dM,1,0,7,376.0,62.0,397.0,91.0,0,0.5491883158683777
1,2TCcpffh2dM,1,0,9,165.0,80.0,341.0,158.0,14,0.48710697889328003
2,2TCcpffh2dM,1,0,9,91.0,217.0,187.0,358.0,0,0.46473583579063416
3,2TCcpffh2dM,1,0,16,278.0,144.0,304.0,179.0,0,0.54915851354599
4,2TCcpffh2dM,1,1,1,91.0,167.0,209.0,239.0,53,0.6085996031761169
5,2TCcpffh2dM,1,1,2,91.0,166.0,211.0,238.0,53,0.5068249702453613
6,2TCcpffh2dM,1,1,3,73.0,22.0,216.0,129.0,0,0.5093900561332703
7,2TCcpffh2dM,1,1,3,383.0,241.0,411.0,277.0,51,0.4852369427680969
8,2TCcpffh2dM,1,1,5,285.0,65.0,386.0,114.0,2,0.4298008978366852
9,2TCcpffh2dM,1,1,7,0.0,8.0,107.0,116.0,0,0.44853147864341736
10,2TCcpffh2dM,1,2,9,122.0,248.0,204.0,359.0,0,0.706840455532074
11,2TCcpffh2dM,1,2,13,357.0,51.0,379.0,80.0,0,0.5720788240432739
