,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2WTwzNufol8,19,0,1,55.0,62.0,220.0,176.0,15,0.7388438582420349
1,2WTwzNufol8,19,0,2,55.0,61.0,219.0,177.0,15,0.6616536378860474
2,2WTwzNufol8,19,0,3,214.0,3.0,317.0,145.0,0,0.7590276002883911
3,2WTwzNufol8,19,0,3,24.0,127.0,188.0,237.0,16,0.6618654727935791
4,2WTwzNufol8,19,0,3,149.0,89.0,233.0,159.0,16,0.4362648129463196
5,2WTwzNufol8,19,0,4,192.0,0.0,297.0,134.0,0,0.7948005795478821
6,2WTwzNufol8,19,0,4,21.0,119.0,189.0,233.0,16,0.7646922469139099
7,2WTwzNufol8,19,0,4,147.0,87.0,218.0,149.0,16,0.5621535778045654
8,2WTwzNufol8,19,0,5,223.0,64.0,296.0,124.0,16,0.7325883507728577
9,2WTwzNufol8,19,0,6,90.0,79.0,128.0,127.0,16,0.7460232377052307
10,2WTwzNufol8,19,0,6,1.0,125.0,319.0,238.0,66,0.49880021810531616
11,2WTwzNufol8,19,0,7,127.0,74.0,190.0,143.0,16,0.7037849426269531
12,2WTwzNufol8,19,0,8,177.0,74.0,263.0,140.0,16,0.8639105558395386
13,2WTwzNufol8,19,0,8,92.0,88.0,147.0,184.0,16,0.7887772917747498
14,2WTwzNufol8,19,0,10,109.0,41.0,199.0,177.0,16,0.4225977957248688
15,2WTwzNufol8,19,0,13,197.0,1.0,241.0,71.0,16,0.45234644412994385
16,2WTwzNufol8,19,0,13,196.0,1.0,241.0,71.0,14,0.405947744846344
17,2WTwzNufol8,19,0,14,159.0,66.0,275.0,230.0,16,0.731801450252533
18,2WTwzNufol8,19,0,14,50.0,35.0,98.0,118.0,14,0.42490455508232117
19,2WTwzNufol8,19,0,15,14.0,82.0,127.0,218.0,16,0.7001788020133972
20,2WTwzNufol8,19,0,15,183.0,101.0,289.0,204.0,16,0.4189017117023468
21,2WTwzNufol8,19,0,16,260.0,125.0,320.0,194.0,16,0.42909613251686096
22,2WTwzNufol8,19,0,17,127.0,30.0,162.0,64.0,18,0.6781919002532959
23,2WTwzNufol8,19,0,17,156.0,7.0,175.0,34.0,18,0.575090229511261
24,2WTwzNufol8,19,0,18,32.0,56.0,84.0,123.0,16,0.741770327091217
25,2WTwzNufol8,19,0,18,287.0,57.0,319.0,98.0,16,0.6034134030342102
26,2WTwzNufol8,19,0,18,287.0,57.0,319.0,98.0,18,0.4978286623954773
27,2WTwzNufol8,19,0,19,9.0,63.0,141.0,191.0,16,0.4143114984035492
28,2WTwzNufol8,19,1,5,0.0,73.0,157.0,181.0,19,0.4394919276237488
29,2WTwzNufol8,19,1,10,238.0,6.0,289.0,41.0,18,0.6298755407333374
30,2WTwzNufol8,19,1,10,51.0,71.0,226.0,240.0,16,0.47388413548469543
31,2WTwzNufol8,19,1,10,238.0,7.0,264.0,39.0,18,0.46736955642700195
32,2WTwzNufol8,19,1,13,5.0,58.0,203.0,161.0,19,0.5785213112831116
33,2WTwzNufol8,19,1,15,117.0,0.0,175.0,47.0,58,0.5470584630966187
34,2WTwzNufol8,19,1,16,38.0,46.0,226.0,159.0,16,0.6793943643569946
35,2WTwzNufol8,19,1,17,140.0,27.0,238.0,173.0,16,0.6122723817825317
36,2WTwzNufol8,19,1,18,136.0,28.0,303.0,210.0,16,0.6763756275177002
