,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2XCjFf-iVLs,12,0,1,336.0,73.0,962.0,355.0,37,0.6261816024780273
1,2XCjFf-iVLs,12,0,1,835.0,104.0,1279.0,508.0,0,0.4214286804199219
2,2XCjFf-iVLs,12,0,2,337.0,72.0,958.0,357.0,37,0.6436159610748291
3,2XCjFf-iVLs,12,0,2,846.0,41.0,1277.0,471.0,0,0.4368051588535309
4,2XCjFf-iVLs,12,0,3,0.0,0.0,956.0,685.0,0,0.600599467754364
5,2XCjFf-iVLs,12,0,4,864.0,104.0,1278.0,551.0,0,0.5455479025840759
6,2XCjFf-iVLs,12,0,5,903.0,65.0,1280.0,515.0,0,0.4344698190689087
7,2XCjFf-iVLs,12,0,6,847.0,112.0,1278.0,539.0,0,0.41951847076416016
8,2XCjFf-iVLs,12,0,7,228.0,128.0,1018.0,418.0,37,0.48412755131721497
9,2XCjFf-iVLs,12,0,7,847.0,91.0,1280.0,540.0,0,0.4747653007507324
10,2XCjFf-iVLs,12,0,8,841.0,122.0,1280.0,496.0,0,0.6313053965568542
11,2XCjFf-iVLs,12,0,8,229.0,102.0,1240.0,537.0,76,0.40953686833381653
12,2XCjFf-iVLs,12,0,8,272.0,114.0,1037.0,500.0,43,0.4053405225276947
13,2XCjFf-iVLs,12,0,9,780.0,17.0,1280.0,489.0,0,0.46121785044670105
14,2XCjFf-iVLs,12,0,9,578.0,171.0,1112.0,382.0,67,0.4204122722148895
15,2XCjFf-iVLs,12,0,10,822.0,80.0,1278.0,521.0,0,0.6350177526473999
16,2XCjFf-iVLs,12,0,11,814.0,94.0,938.0,266.0,67,0.4713864326477051
17,2XCjFf-iVLs,12,0,11,803.0,5.0,1279.0,687.0,0,0.4028732180595398
18,2XCjFf-iVLs,12,0,12,826.0,117.0,960.0,285.0,67,0.6360746622085571
19,2XCjFf-iVLs,12,0,12,269.0,156.0,937.0,472.0,37,0.47343114018440247
20,2XCjFf-iVLs,12,0,14,819.0,99.0,1280.0,466.0,0,0.5391656756401062
21,2XCjFf-iVLs,12,0,15,814.0,34.0,1280.0,482.0,0,0.4017121493816376
22,2XCjFf-iVLs,12,0,16,336.0,105.0,1131.0,458.0,76,0.6151379942893982
23,2XCjFf-iVLs,12,0,19,809.0,24.0,1278.0,423.0,0,0.423464834690094
24,2XCjFf-iVLs,12,0,20,776.0,12.0,1280.0,491.0,0,0.5330058336257935
25,2XCjFf-iVLs,12,0,21,777.0,53.0,1280.0,468.0,0,0.4438280761241913
26,2XCjFf-iVLs,12,1,1,0.0,3.0,546.0,382.0,0,0.7482780814170837
27,2XCjFf-iVLs,12,1,2,0.0,4.0,547.0,381.0,0,0.7648808360099792
28,2XCjFf-iVLs,12,1,3,565.0,116.0,909.0,392.0,65,0.7253065705299377
29,2XCjFf-iVLs,12,1,3,902.0,3.0,1279.0,475.0,0,0.620174765586853
30,2XCjFf-iVLs,12,1,3,8.0,16.0,684.0,658.0,0,0.454222708940506
31,2XCjFf-iVLs,12,1,4,941.0,4.0,1279.0,492.0,0,0.4750291705131531
32,2XCjFf-iVLs,12,1,5,910.0,6.0,1280.0,548.0,0,0.4796747863292694
33,2XCjFf-iVLs,12,1,6,956.0,0.0,1279.0,689.0,0,0.4267518222332001
34,2XCjFf-iVLs,12,1,8,180.0,247.0,837.0,650.0,67,0.5481681227684021
35,2XCjFf-iVLs,12,1,8,0.0,68.0,629.0,613.0,0,0.4227849841117859
36,2XCjFf-iVLs,12,1,9,0.0,42.0,689.0,619.0,0,0.4492405951023102
37,2XCjFf-iVLs,12,1,10,6.0,94.0,715.0,513.0,0,0.4202921390533447
38,2XCjFf-iVLs,12,1,14,134.0,1.0,179.0,65.0,0,0.42047426104545593
39,2XCjFf-iVLs,12,1,14,879.0,50.0,1279.0,539.0,0,0.40050172805786133
40,2XCjFf-iVLs,12,1,17,229.0,186.0,1099.0,525.0,4,0.4304962158203125
