,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2ZiAnKPAZoU,18,0,3,4.0,0.0,233.0,311.0,61,0.7699028849601746
1,2ZiAnKPAZoU,18,0,4,94.0,1.0,313.0,308.0,61,0.8820860385894775
2,2ZiAnKPAZoU,18,0,5,119.0,3.0,327.0,318.0,61,0.8297960162162781
3,2ZiAnKPAZoU,18,0,7,1.0,2.0,138.0,311.0,61,0.7582457065582275
4,2ZiAnKPAZoU,18,0,12,146.0,84.0,275.0,297.0,0,0.49191030859947205
5,2ZiAnKPAZoU,18,0,13,146.0,122.0,280.0,318.0,0,0.8878976106643677
6,2ZiAnKPAZoU,18,0,13,205.0,161.0,244.0,196.0,67,0.5783034563064575
7,2ZiAnKPAZoU,18,0,14,154.0,107.0,296.0,318.0,0,0.8856085538864136
8,2ZiAnKPAZoU,18,0,14,243.0,156.0,258.0,190.0,67,0.6146469712257385
9,2ZiAnKPAZoU,18,0,14,220.0,167.0,247.0,192.0,67,0.4137687385082245
10,2ZiAnKPAZoU,18,0,17,356.0,34.0,402.0,118.0,16,0.5584731101989746
11,2ZiAnKPAZoU,18,0,17,132.0,124.0,175.0,144.0,13,0.47206616401672363
