,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2bB5U9F75_c,13,0,3,3.0,86.0,632.0,293.0,4,0.6376196146011353
1,2bB5U9F75_c,13,0,4,2.0,74.0,640.0,335.0,4,0.5750337839126587
2,2bB5U9F75_c,13,0,5,0.0,99.0,639.0,310.0,4,0.5460314750671387
3,2bB5U9F75_c,13,0,6,8.0,81.0,640.0,333.0,4,0.5277954339981079
4,2bB5U9F75_c,13,0,7,5.0,78.0,640.0,338.0,4,0.5971195101737976
5,2bB5U9F75_c,13,0,8,7.0,77.0,640.0,341.0,4,0.47868022322654724
6,2bB5U9F75_c,13,0,9,1.0,67.0,640.0,342.0,4,0.5781992673873901
7,2bB5U9F75_c,13,0,10,4.0,75.0,640.0,327.0,4,0.4809427857398987
8,2bB5U9F75_c,13,0,11,0.0,78.0,640.0,322.0,4,0.6499924063682556
9,2bB5U9F75_c,13,0,12,10.0,97.0,634.0,355.0,4,0.4207526445388794
10,2bB5U9F75_c,13,0,15,178.0,189.0,262.0,282.0,0,0.49924036860466003
11,2bB5U9F75_c,13,0,16,7.0,110.0,633.0,302.0,4,0.6434614062309265
12,2bB5U9F75_c,13,0,17,0.0,78.0,636.0,320.0,4,0.6214007139205933
