,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2fkK3tJYIbs,14,0,1,576.0,22.0,873.0,680.0,0,0.8740898370742798
1,2fkK3tJYIbs,14,0,1,214.0,347.0,268.0,513.0,0,0.7882093191146851
2,2fkK3tJYIbs,14,0,1,79.0,375.0,132.0,501.0,0,0.6868199706077576
3,2fkK3tJYIbs,14,0,1,659.0,641.0,878.0,710.0,36,0.45167481899261475
4,2fkK3tJYIbs,14,0,1,217.0,501.0,262.0,520.0,36,0.42539405822753906
5,2fkK3tJYIbs,14,0,2,575.0,23.0,875.0,678.0,0,0.8613482713699341
6,2fkK3tJYIbs,14,0,2,214.0,349.0,267.0,511.0,0,0.7845087647438049
7,2fkK3tJYIbs,14,0,2,78.0,379.0,133.0,501.0,0,0.7155295014381409
8,2fkK3tJYIbs,14,0,2,656.0,638.0,876.0,710.0,36,0.546029269695282
9,2fkK3tJYIbs,14,0,2,0.0,312.0,39.0,494.0,0,0.45089441537857056
10,2fkK3tJYIbs,14,0,2,713.0,661.0,875.0,711.0,36,0.4328227639198303
11,2fkK3tJYIbs,14,0,2,217.0,502.0,262.0,520.0,36,0.4022371768951416
12,2fkK3tJYIbs,14,0,3,528.0,103.0,897.0,563.0,0,0.8868723511695862
13,2fkK3tJYIbs,14,0,3,70.0,308.0,137.0,454.0,0,0.8026815056800842
14,2fkK3tJYIbs,14,0,3,593.0,539.0,752.0,607.0,36,0.7773587107658386
15,2fkK3tJYIbs,14,0,4,529.0,14.0,893.0,450.0,0,0.8737526535987854
16,2fkK3tJYIbs,14,0,4,56.0,305.0,126.0,471.0,0,0.7884653210639954
17,2fkK3tJYIbs,14,0,4,604.0,418.0,759.0,477.0,36,0.6316113471984863
18,2fkK3tJYIbs,14,0,5,616.0,92.0,792.0,522.0,0,0.8788741230964661
19,2fkK3tJYIbs,14,0,5,36.0,174.0,130.0,443.0,0,0.8356731534004211
20,2fkK3tJYIbs,14,0,5,615.0,490.0,765.0,541.0,36,0.8117440342903137
21,2fkK3tJYIbs,14,0,5,167.0,282.0,265.0,458.0,0,0.7265588045120239
22,2fkK3tJYIbs,14,0,6,498.0,87.0,669.0,544.0,0,0.9152748584747314
23,2fkK3tJYIbs,14,0,6,102.0,283.0,200.0,496.0,0,0.8039370775222778
24,2fkK3tJYIbs,14,0,6,518.0,513.0,649.0,568.0,36,0.6626647710800171
25,2fkK3tJYIbs,14,0,6,0.0,145.0,63.0,476.0,0,0.6108333468437195
26,2fkK3tJYIbs,14,0,6,99.0,292.0,199.0,351.0,25,0.5041834115982056
27,2fkK3tJYIbs,14,0,7,459.0,69.0,618.0,531.0,0,0.9039840698242188
28,2fkK3tJYIbs,14,0,7,119.0,133.0,244.0,505.0,0,0.8947350382804871
29,2fkK3tJYIbs,14,0,7,477.0,500.0,608.0,548.0,36,0.7841005921363831
30,2fkK3tJYIbs,14,0,7,0.0,74.0,69.0,476.0,0,0.7615886330604553
31,2fkK3tJYIbs,14,0,8,0.0,11.0,201.0,542.0,0,0.9036348462104797
32,2fkK3tJYIbs,14,0,8,371.0,33.0,596.0,478.0,0,0.9025447964668274
33,2fkK3tJYIbs,14,0,8,375.0,449.0,576.0,500.0,36,0.7545426487922668
34,2fkK3tJYIbs,14,0,9,100.0,416.0,360.0,558.0,2,0.763403058052063
35,2fkK3tJYIbs,14,0,10,647.0,468.0,812.0,569.0,36,0.7693009376525879
36,2fkK3tJYIbs,14,0,10,641.0,16.0,971.0,516.0,0,0.7571122050285339
37,2fkK3tJYIbs,14,0,11,727.0,8.0,962.0,564.0,0,0.8698843717575073
38,2fkK3tJYIbs,14,0,11,780.0,547.0,909.0,606.0,36,0.7248839735984802
39,2fkK3tJYIbs,14,0,11,1003.0,413.0,1084.0,459.0,2,0.5195685029029846
40,2fkK3tJYIbs,14,0,11,1216.0,438.0,1280.0,481.0,2,0.483371376991272
41,2fkK3tJYIbs,14,0,12,603.0,20.0,896.0,499.0,0,0.9174585938453674
42,2fkK3tJYIbs,14,0,12,636.0,485.0,753.0,532.0,36,0.7584133148193359
43,2fkK3tJYIbs,14,0,12,963.0,370.0,1055.0,413.0,2,0.7465981841087341
44,2fkK3tJYIbs,14,0,12,1231.0,385.0,1280.0,424.0,2,0.6179319024085999
45,2fkK3tJYIbs,14,0,12,350.0,413.0,689.0,536.0,13,0.47101345658302307
46,2fkK3tJYIbs,14,0,13,595.0,394.0,774.0,439.0,36,0.7963656783103943
47,2fkK3tJYIbs,14,0,13,1096.0,380.0,1208.0,425.0,2,0.7715370059013367
48,2fkK3tJYIbs,14,0,13,617.0,12.0,793.0,416.0,0,0.7625591158866882
49,2fkK3tJYIbs,14,0,13,806.0,367.0,895.0,412.0,2,0.600301206111908
50,2fkK3tJYIbs,14,0,14,597.0,10.0,840.0,499.0,0,0.8562783002853394
51,2fkK3tJYIbs,14,0,14,705.0,486.0,835.0,556.0,36,0.7579030990600586
52,2fkK3tJYIbs,14,0,14,518.0,329.0,615.0,378.0,2,0.64180988073349
53,2fkK3tJYIbs,14,0,14,818.0,358.0,940.0,405.0,2,0.6130205392837524
54,2fkK3tJYIbs,14,0,14,977.0,386.0,1023.0,413.0,2,0.6000890731811523
55,2fkK3tJYIbs,14,0,15,514.0,19.0,798.0,562.0,0,0.8961213231086731
56,2fkK3tJYIbs,14,0,15,565.0,526.0,677.0,584.0,36,0.7773844599723816
57,2fkK3tJYIbs,14,0,15,255.0,349.0,353.0,397.0,2,0.7001355886459351
58,2fkK3tJYIbs,14,0,15,731.0,389.0,789.0,419.0,2,0.6457509994506836
59,2fkK3tJYIbs,14,0,17,103.0,620.0,373.0,714.0,2,0.5150639414787292
