,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2jQAtrzI5so,18,0,1,39.0,233.0,129.0,291.0,71,0.7104649543762207
1,2jQAtrzI5so,18,0,1,83.0,80.0,122.0,201.0,0,0.5614082217216492
2,2jQAtrzI5so,18,0,1,42.0,232.0,128.0,291.0,45,0.45216190814971924
3,2jQAtrzI5so,18,0,2,39.0,232.0,129.0,290.0,71,0.7426872253417969
4,2jQAtrzI5so,18,0,2,83.0,80.0,122.0,201.0,0,0.6254911422729492
5,2jQAtrzI5so,18,0,2,40.0,232.0,126.0,291.0,45,0.48510658740997314
6,2jQAtrzI5so,18,0,4,364.0,244.0,454.0,355.0,61,0.6070384979248047
7,2jQAtrzI5so,18,0,7,342.0,208.0,446.0,279.0,71,0.8375953435897827
8,2jQAtrzI5so,18,0,7,143.0,34.0,204.0,234.0,0,0.8311131000518799
9,2jQAtrzI5so,18,0,7,0.0,251.0,60.0,358.0,61,0.6107086539268494
10,2jQAtrzI5so,18,0,8,402.0,278.0,480.0,356.0,71,0.7633045315742493
11,2jQAtrzI5so,18,0,8,392.0,252.0,407.0,291.0,39,0.40800100564956665
12,2jQAtrzI5so,18,0,9,0.0,224.0,153.0,357.0,61,0.696819007396698
13,2jQAtrzI5so,18,0,9,416.0,202.0,480.0,286.0,71,0.6868272423744202
14,2jQAtrzI5so,18,0,10,313.0,84.0,389.0,351.0,0,0.8418334126472473
15,2jQAtrzI5so,18,0,12,0.0,198.0,182.0,356.0,61,0.5956743955612183
16,2jQAtrzI5so,18,0,13,359.0,105.0,478.0,176.0,45,0.5187628269195557
17,2jQAtrzI5so,18,0,13,359.0,104.0,479.0,177.0,71,0.44732922315597534
18,2jQAtrzI5so,18,0,14,208.0,67.0,249.0,192.0,0,0.7974915504455566
19,2jQAtrzI5so,18,0,14,209.0,224.0,307.0,289.0,45,0.6587494611740112
20,2jQAtrzI5so,18,0,15,200.0,151.0,238.0,284.0,0,0.8372126221656799
21,2jQAtrzI5so,18,0,15,196.0,315.0,291.0,359.0,71,0.7266189455986023
22,2jQAtrzI5so,18,0,15,292.0,279.0,328.0,342.0,75,0.5266821980476379
23,2jQAtrzI5so,18,0,16,367.0,0.0,420.0,110.0,0,0.7386301755905151
24,2jQAtrzI5so,18,0,16,343.0,152.0,464.0,229.0,71,0.6103931665420532
25,2jQAtrzI5so,18,0,16,344.0,152.0,464.0,230.0,45,0.465899258852005
26,2jQAtrzI5so,18,0,17,162.0,83.0,289.0,357.0,0,0.7116181254386902
