,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2olPOge9JrI,18,0,1,39.0,163.0,176.0,355.0,61,0.6650500893592834
1,2olPOge9JrI,18,0,2,39.0,163.0,176.0,355.0,61,0.6650500893592834
2,2olPOge9JrI,18,0,3,317.0,120.0,452.0,348.0,61,0.8068154454231262
3,2olPOge9JrI,18,0,3,122.0,116.0,253.0,159.0,71,0.61061692237854
4,2olPOge9JrI,18,0,3,95.0,108.0,118.0,175.0,39,0.5193120241165161
5,2olPOge9JrI,18,0,4,257.0,121.0,395.0,351.0,61,0.8517637252807617
6,2olPOge9JrI,18,0,4,66.0,127.0,196.0,174.0,71,0.5315955281257629
7,2olPOge9JrI,18,0,4,39.0,124.0,62.0,193.0,39,0.5071915984153748
8,2olPOge9JrI,18,0,4,28.0,108.0,255.0,234.0,71,0.5002999901771545
9,2olPOge9JrI,18,0,5,313.0,97.0,451.0,335.0,61,0.8207659125328064
10,2olPOge9JrI,18,0,5,125.0,101.0,259.0,143.0,71,0.5397659540176392
11,2olPOge9JrI,18,0,5,98.0,82.0,120.0,156.0,39,0.4756433665752411
12,2olPOge9JrI,18,0,6,292.0,111.0,425.0,331.0,61,0.8377546072006226
13,2olPOge9JrI,18,0,6,101.0,108.0,227.0,149.0,71,0.4958633482456207
14,2olPOge9JrI,18,0,6,75.0,101.0,97.0,168.0,39,0.4277975559234619
15,2olPOge9JrI,18,0,7,209.0,123.0,353.0,333.0,61,0.8332613706588745
16,2olPOge9JrI,18,0,7,29.0,121.0,212.0,225.0,71,0.646018922328949
17,2olPOge9JrI,18,0,8,207.0,211.0,343.0,358.0,61,0.7695561051368713
18,2olPOge9JrI,18,0,8,21.0,205.0,206.0,309.0,71,0.45060843229293823
19,2olPOge9JrI,18,0,8,23.0,220.0,142.0,262.0,71,0.4265836477279663
20,2olPOge9JrI,18,0,8,158.0,199.0,174.0,239.0,39,0.4059540033340454
21,2olPOge9JrI,18,0,9,37.0,300.0,177.0,346.0,71,0.4629756808280945
22,2olPOge9JrI,18,0,10,261.0,240.0,387.0,359.0,61,0.72432941198349
23,2olPOge9JrI,18,0,10,87.0,244.0,229.0,284.0,71,0.4711487293243408
24,2olPOge9JrI,18,0,10,218.0,225.0,232.0,264.0,39,0.43574878573417664
25,2olPOge9JrI,18,0,11,259.0,139.0,396.0,351.0,61,0.8598328232765198
