,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2qxWMHVxK_w,19,0,4,172.0,45.0,218.0,146.0,16,0.7330420613288879
1,2qxWMHVxK_w,19,0,8,205.0,32.0,320.0,90.0,25,0.6047701239585876
2,2qxWMHVxK_w,19,0,8,0.0,86.0,172.0,211.0,53,0.47360020875930786
3,2qxWMHVxK_w,19,0,9,0.0,73.0,167.0,219.0,53,0.43703967332839966
4,2qxWMHVxK_w,19,1,1,82.0,1.0,192.0,46.0,62,0.7213456034660339
5,2qxWMHVxK_w,19,1,1,1.0,12.0,154.0,156.0,15,0.5425465703010559
6,2qxWMHVxK_w,19,1,1,0.0,148.0,168.0,237.0,53,0.4896796643733978
7,2qxWMHVxK_w,19,1,2,80.0,1.0,194.0,47.0,62,0.6896970272064209
8,2qxWMHVxK_w,19,1,2,1.0,12.0,152.0,155.0,15,0.6818687915802002
9,2qxWMHVxK_w,19,1,3,10.0,35.0,202.0,165.0,16,0.5781956315040588
10,2qxWMHVxK_w,19,1,3,155.0,51.0,320.0,238.0,59,0.41323524713516235
11,2qxWMHVxK_w,19,1,4,62.0,38.0,234.0,161.0,16,0.6811599731445312
12,2qxWMHVxK_w,19,1,4,153.0,92.0,320.0,237.0,59,0.4213142395019531
13,2qxWMHVxK_w,19,1,4,16.0,34.0,25.0,64.0,73,0.40790635347366333
14,2qxWMHVxK_w,19,1,5,71.0,37.0,198.0,154.0,15,0.6195245385169983
15,2qxWMHVxK_w,19,1,5,82.0,1.0,177.0,54.0,62,0.555459201335907
16,2qxWMHVxK_w,19,1,6,96.0,49.0,178.0,182.0,16,0.6571682691574097
17,2qxWMHVxK_w,19,1,6,77.0,0.0,181.0,63.0,62,0.6083849668502808
18,2qxWMHVxK_w,19,1,6,166.0,88.0,320.0,238.0,59,0.47438862919807434
19,2qxWMHVxK_w,19,1,7,79.0,0.0,187.0,65.0,62,0.744041383266449
20,2qxWMHVxK_w,19,1,7,120.0,34.0,226.0,183.0,16,0.5635230541229248
21,2qxWMHVxK_w,19,1,7,30.0,33.0,42.0,62.0,73,0.40242859721183777
22,2qxWMHVxK_w,19,1,8,62.0,0.0,196.0,72.0,62,0.7147653698921204
23,2qxWMHVxK_w,19,1,8,119.0,103.0,223.0,193.0,16,0.4025249183177948
24,2qxWMHVxK_w,19,1,9,69.0,0.0,187.0,69.0,62,0.8128874897956848
25,2qxWMHVxK_w,19,1,9,122.0,103.0,268.0,191.0,16,0.45824605226516724
26,2qxWMHVxK_w,19,1,10,71.0,0.0,194.0,71.0,62,0.7640787959098816
27,2qxWMHVxK_w,19,1,11,71.0,0.0,193.0,70.0,62,0.8178132772445679
28,2qxWMHVxK_w,19,1,11,113.0,101.0,212.0,188.0,16,0.6427047252655029
29,2qxWMHVxK_w,19,1,12,71.0,0.0,192.0,71.0,62,0.7876191735267639
30,2qxWMHVxK_w,19,1,12,112.0,99.0,223.0,178.0,16,0.5823983550071716
31,2qxWMHVxK_w,19,1,13,72.0,0.0,193.0,71.0,62,0.7942363619804382
32,2qxWMHVxK_w,19,1,13,112.0,97.0,239.0,184.0,16,0.5250477194786072
33,2qxWMHVxK_w,19,1,14,73.0,0.0,193.0,69.0,62,0.8577735424041748
34,2qxWMHVxK_w,19,1,15,76.0,0.0,191.0,68.0,62,0.856330931186676
35,2qxWMHVxK_w,19,1,15,24.0,28.0,35.0,57.0,73,0.41147199273109436
36,2qxWMHVxK_w,19,1,16,70.0,0.0,189.0,69.0,62,0.7563203573226929
37,2qxWMHVxK_w,19,1,17,71.0,0.0,182.0,66.0,62,0.8168128728866577
38,2qxWMHVxK_w,19,1,17,21.0,25.0,35.0,56.0,73,0.41945064067840576
39,2qxWMHVxK_w,19,1,18,60.0,0.0,181.0,69.0,62,0.8545812368392944
40,2qxWMHVxK_w,19,1,18,14.0,26.0,27.0,57.0,73,0.4224085509777069
41,2qxWMHVxK_w,19,1,19,66.0,0.0,181.0,67.0,62,0.8641301989555359
42,2qxWMHVxK_w,19,1,19,99.0,102.0,251.0,175.0,16,0.47408273816108704
