,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,2xBPcthHc6g,11,0,1,78.0,0.0,114.0,27.0,1,0.5348698496818542
1,2xBPcthHc6g,11,0,1,56.0,57.0,134.0,200.0,3,0.45399272441864014
2,2xBPcthHc6g,11,0,2,81.0,0.0,114.0,28.0,3,0.4647916257381439
3,2xBPcthHc6g,11,0,11,174.0,3.0,233.0,78.0,3,0.528164267539978
4,2xBPcthHc6g,11,0,13,230.0,43.0,263.0,103.0,3,0.7354029417037964
5,2xBPcthHc6g,11,0,13,281.0,20.0,303.0,58.0,2,0.7274066209793091
6,2xBPcthHc6g,11,0,13,238.0,21.0,265.0,67.0,0,0.6190040707588196
7,2xBPcthHc6g,11,0,14,182.0,78.0,246.0,162.0,3,0.7780252695083618
8,2xBPcthHc6g,11,0,14,208.0,40.0,244.0,123.0,0,0.5334054827690125
9,2xBPcthHc6g,11,0,14,257.0,38.0,306.0,94.0,7,0.4422793686389923
10,2xBPcthHc6g,11,0,16,13.0,10.0,244.0,235.0,0,0.624439001083374
11,2xBPcthHc6g,11,0,16,213.0,47.0,274.0,203.0,0,0.6154058575630188
12,2xBPcthHc6g,11,0,17,39.0,2.0,260.0,235.0,0,0.645917534828186
13,2xBPcthHc6g,11,0,17,58.0,105.0,78.0,146.0,0,0.60849928855896
14,2xBPcthHc6g,11,0,18,2.0,0.0,203.0,237.0,0,0.6763824224472046
15,2xBPcthHc6g,11,0,18,273.0,59.0,320.0,157.0,3,0.5194257497787476
16,2xBPcthHc6g,11,0,19,259.0,134.0,307.0,174.0,2,0.5830006003379822
17,2xBPcthHc6g,11,0,19,290.0,145.0,320.0,197.0,2,0.530741810798645
