,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,31V9LC9ZBZY,21,0,1,204.0,54.0,361.0,169.0,25,0.822217583656311
1,31V9LC9ZBZY,21,0,1,1.0,156.0,119.0,357.0,0,0.7941468358039856
2,31V9LC9ZBZY,21,0,1,260.0,134.0,328.0,322.0,0,0.7256225943565369
3,31V9LC9ZBZY,21,0,1,0.0,51.0,133.0,172.0,25,0.5424126386642456
4,31V9LC9ZBZY,21,0,2,204.0,54.0,362.0,172.0,25,0.8690508604049683
5,31V9LC9ZBZY,21,0,2,3.0,160.0,121.0,358.0,0,0.7803425788879395
6,31V9LC9ZBZY,21,0,2,261.0,135.0,327.0,321.0,0,0.6948023438453674
7,31V9LC9ZBZY,21,0,2,0.0,51.0,131.0,183.0,25,0.5376865863800049
8,31V9LC9ZBZY,21,0,3,183.0,160.0,288.0,355.0,0,0.788761556148529
9,31V9LC9ZBZY,21,0,3,116.0,24.0,352.0,178.0,25,0.7651969790458679
10,31V9LC9ZBZY,21,0,3,252.0,134.0,319.0,311.0,0,0.6645607948303223
11,31V9LC9ZBZY,21,0,4,203.0,60.0,343.0,164.0,25,0.7866541147232056
12,31V9LC9ZBZY,21,0,4,308.0,57.0,480.0,209.0,25,0.6238847374916077
13,31V9LC9ZBZY,21,0,5,195.0,60.0,334.0,146.0,25,0.8766939640045166
14,31V9LC9ZBZY,21,0,5,247.0,98.0,331.0,342.0,0,0.8636384010314941
15,31V9LC9ZBZY,21,0,5,359.0,154.0,434.0,354.0,0,0.8512396812438965
16,31V9LC9ZBZY,21,0,5,310.0,63.0,480.0,159.0,25,0.8234900832176208
17,31V9LC9ZBZY,21,0,6,146.0,65.0,289.0,157.0,25,0.8843361139297485
18,31V9LC9ZBZY,21,0,6,185.0,106.0,278.0,323.0,0,0.8746814131736755
19,31V9LC9ZBZY,21,0,6,344.0,159.0,416.0,355.0,0,0.8673182129859924
20,31V9LC9ZBZY,21,0,6,311.0,75.0,480.0,196.0,25,0.8299511671066284
21,31V9LC9ZBZY,21,0,6,0.0,109.0,121.0,218.0,25,0.7077993750572205
22,31V9LC9ZBZY,21,0,6,27.0,204.0,109.0,360.0,16,0.479316383600235
23,31V9LC9ZBZY,21,0,6,27.0,203.0,107.0,359.0,0,0.43825390934944153
24,31V9LC9ZBZY,21,0,7,361.0,166.0,424.0,356.0,0,0.8755285739898682
25,31V9LC9ZBZY,21,0,7,195.0,95.0,272.0,342.0,0,0.8725904822349548
26,31V9LC9ZBZY,21,0,7,1.0,99.0,166.0,229.0,25,0.8087207674980164
27,31V9LC9ZBZY,21,0,7,333.0,85.0,480.0,206.0,25,0.7513535618782043
28,31V9LC9ZBZY,21,0,7,63.0,186.0,133.0,354.0,0,0.7171135544776917
29,31V9LC9ZBZY,21,0,7,144.0,60.0,306.0,169.0,25,0.6592773199081421
30,31V9LC9ZBZY,21,0,8,319.0,85.0,480.0,212.0,25,0.861524760723114
31,31V9LC9ZBZY,21,0,8,350.0,166.0,418.0,359.0,0,0.8171162605285645
32,31V9LC9ZBZY,21,0,8,178.0,71.0,324.0,154.0,25,0.7930585741996765
33,31V9LC9ZBZY,21,0,8,82.0,104.0,286.0,257.0,25,0.6095877289772034
34,31V9LC9ZBZY,21,0,8,88.0,124.0,266.0,355.0,0,0.568977415561676
35,31V9LC9ZBZY,21,0,9,293.0,150.0,392.0,354.0,0,0.8836769461631775
36,31V9LC9ZBZY,21,0,9,309.0,79.0,474.0,174.0,25,0.8416206240653992
37,31V9LC9ZBZY,21,0,9,104.0,95.0,322.0,294.0,25,0.6996554732322693
38,31V9LC9ZBZY,21,0,10,298.0,185.0,365.0,356.0,0,0.7955735325813293
39,31V9LC9ZBZY,21,0,10,116.0,111.0,336.0,262.0,25,0.7901322245597839
40,31V9LC9ZBZY,21,0,10,273.0,80.0,441.0,241.0,25,0.6024821996688843
41,31V9LC9ZBZY,21,0,10,161.0,56.0,320.0,128.0,25,0.5492945909500122
42,31V9LC9ZBZY,21,0,10,166.0,255.0,260.0,358.0,0,0.44240090250968933
43,31V9LC9ZBZY,21,0,11,182.0,93.0,338.0,157.0,25,0.7777552604675293
44,31V9LC9ZBZY,21,0,11,121.0,144.0,338.0,301.0,25,0.7651329040527344
45,31V9LC9ZBZY,21,0,11,313.0,194.0,370.0,360.0,0,0.6267160177230835
46,31V9LC9ZBZY,21,0,11,301.0,131.0,446.0,275.0,25,0.6116580367088318
47,31V9LC9ZBZY,21,0,11,174.0,272.0,268.0,358.0,0,0.5231168270111084
48,31V9LC9ZBZY,21,0,12,138.0,112.0,348.0,266.0,25,0.8471672534942627
49,31V9LC9ZBZY,21,0,12,182.0,69.0,339.0,138.0,25,0.7594022154808044
50,31V9LC9ZBZY,21,0,12,293.0,105.0,430.0,229.0,25,0.7445133924484253
51,31V9LC9ZBZY,21,0,12,286.0,188.0,356.0,358.0,0,0.5541353821754456
52,31V9LC9ZBZY,21,0,13,290.0,105.0,425.0,243.0,25,0.8201254606246948
53,31V9LC9ZBZY,21,0,13,134.0,120.0,334.0,265.0,25,0.7818379998207092
54,31V9LC9ZBZY,21,0,13,170.0,66.0,327.0,140.0,25,0.7674816250801086
55,31V9LC9ZBZY,21,0,13,290.0,194.0,347.0,359.0,0,0.526425302028656
