,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,32elwtRhLuM,21,0,1,934.0,216.0,1129.0,714.0,0,0.9208916425704956
1,32elwtRhLuM,21,0,1,765.0,282.0,888.0,661.0,0,0.7625036239624023
2,32elwtRhLuM,21,0,2,934.0,216.0,1129.0,715.0,0,0.9215306043624878
3,32elwtRhLuM,21,0,2,768.0,283.0,888.0,662.0,0,0.7515019774436951
4,32elwtRhLuM,21,0,3,707.0,217.0,921.0,680.0,0,0.8695021867752075
5,32elwtRhLuM,21,0,4,721.0,227.0,860.0,408.0,0,0.8582140803337097
6,32elwtRhLuM,21,0,4,340.0,192.0,566.0,652.0,0,0.8069503903388977
7,32elwtRhLuM,21,0,4,373.0,342.0,419.0,451.0,38,0.4549190104007721
8,32elwtRhLuM,21,0,5,161.0,191.0,318.0,634.0,0,0.8979268074035645
9,32elwtRhLuM,21,0,5,440.0,166.0,894.0,561.0,25,0.8443036079406738
10,32elwtRhLuM,21,0,6,366.0,91.0,798.0,564.0,25,0.920670211315155
11,32elwtRhLuM,21,0,6,89.0,210.0,302.0,615.0,0,0.9098403453826904
12,32elwtRhLuM,21,0,7,157.0,107.0,894.0,710.0,25,0.8597226738929749
13,32elwtRhLuM,21,0,8,175.0,0.0,996.0,567.0,25,0.7453088760375977
14,32elwtRhLuM,21,0,9,207.0,0.0,1080.0,540.0,25,0.6512139439582825
15,32elwtRhLuM,21,0,9,423.0,353.0,625.0,535.0,16,0.5218871235847473
16,32elwtRhLuM,21,0,10,211.0,0.0,1141.0,666.0,25,0.5576134920120239
17,32elwtRhLuM,21,0,12,11.0,0.0,930.0,547.0,25,0.7273033261299133
18,32elwtRhLuM,21,0,12,446.0,247.0,680.0,538.0,0,0.6932782530784607
19,32elwtRhLuM,21,0,13,25.0,5.0,946.0,584.0,25,0.5140026807785034
