,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,37ePPqy4BEM,0,0,1,142.0,115.0,328.0,356.0,0,0.5295115113258362
1,37ePPqy4BEM,0,0,2,142.0,111.0,322.0,355.0,0,0.5396880507469177
2,37ePPqy4BEM,0,0,3,351.0,2.0,478.0,195.0,0,0.5024248361587524
3,37ePPqy4BEM,0,0,3,127.0,109.0,298.0,353.0,0,0.4922941327095032
4,37ePPqy4BEM,0,0,4,149.0,115.0,369.0,354.0,0,0.6948558688163757
5,37ePPqy4BEM,0,0,5,140.0,92.0,349.0,352.0,0,0.6641011238098145
6,37ePPqy4BEM,0,0,6,153.0,71.0,371.0,357.0,0,0.5407981872558594
7,37ePPqy4BEM,0,0,7,201.0,88.0,405.0,354.0,0,0.7013269662857056
8,37ePPqy4BEM,0,0,8,258.0,98.0,459.0,352.0,0,0.43554961681365967
9,37ePPqy4BEM,0,0,12,163.0,97.0,333.0,356.0,0,0.6845656633377075
10,37ePPqy4BEM,0,0,12,1.0,6.0,134.0,350.0,0,0.6045370697975159
11,37ePPqy4BEM,0,0,14,159.0,77.0,328.0,353.0,0,0.6926229596138
12,37ePPqy4BEM,0,0,14,0.0,193.0,167.0,355.0,0,0.4022747576236725
13,37ePPqy4BEM,0,0,15,178.0,105.0,335.0,356.0,0,0.7412487864494324
14,37ePPqy4BEM,0,0,16,122.0,86.0,373.0,354.0,0,0.7127264142036438
15,37ePPqy4BEM,0,0,16,14.0,225.0,123.0,329.0,48,0.4389798641204834
16,37ePPqy4BEM,0,0,17,77.0,54.0,423.0,359.0,0,0.5113244652748108
17,37ePPqy4BEM,0,0,18,93.0,45.0,452.0,353.0,0,0.6101470589637756
18,37ePPqy4BEM,0,0,19,73.0,35.0,431.0,352.0,0,0.5791365504264832
