,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3BQRSOcA-K4,23,0,1,73.0,108.0,299.0,225.0,2,0.8166399002075195
1,3BQRSOcA-K4,23,0,1,372.0,72.0,401.0,165.0,0,0.8010578155517578
2,3BQRSOcA-K4,23,0,1,63.0,91.0,132.0,128.0,2,0.7711668610572815
3,3BQRSOcA-K4,23,0,1,351.0,80.0,379.0,165.0,0,0.6033517122268677
4,3BQRSOcA-K4,23,0,2,73.0,108.0,298.0,226.0,2,0.806911289691925
5,3BQRSOcA-K4,23,0,2,372.0,73.0,401.0,166.0,0,0.7926523685455322
6,3BQRSOcA-K4,23,0,2,63.0,90.0,132.0,128.0,2,0.7658953070640564
7,3BQRSOcA-K4,23,0,2,350.0,79.0,378.0,165.0,0,0.6826743483543396
8,3BQRSOcA-K4,23,0,3,310.0,52.0,476.0,135.0,2,0.9116185903549194
9,3BQRSOcA-K4,23,0,6,2.0,57.0,470.0,334.0,5,0.61600661277771
10,3BQRSOcA-K4,23,0,7,35.0,0.0,119.0,225.0,0,0.7238752245903015
11,3BQRSOcA-K4,23,0,7,158.0,40.0,480.0,309.0,2,0.43902623653411865
12,3BQRSOcA-K4,23,0,8,76.0,51.0,468.0,316.0,5,0.5258262753486633
13,3BQRSOcA-K4,23,0,9,40.0,13.0,110.0,242.0,0,0.7601208686828613
14,3BQRSOcA-K4,23,0,9,168.0,73.0,480.0,305.0,2,0.5227253437042236
15,3BQRSOcA-K4,23,0,9,0.0,30.0,21.0,155.0,0,0.43332672119140625
16,3BQRSOcA-K4,23,0,10,350.0,48.0,381.0,84.0,0,0.4913449287414551
17,3BQRSOcA-K4,23,0,10,106.0,72.0,470.0,320.0,5,0.4913428723812103
18,3BQRSOcA-K4,23,0,11,16.0,44.0,54.0,158.0,0,0.5505756139755249
19,3BQRSOcA-K4,23,0,12,11.0,49.0,89.0,280.0,0,0.7764535546302795
20,3BQRSOcA-K4,23,0,14,0.0,41.0,41.0,278.0,0,0.7308911681175232
21,3BQRSOcA-K4,23,0,15,94.0,35.0,465.0,282.0,5,0.40294671058654785
22,3BQRSOcA-K4,23,0,17,333.0,94.0,475.0,165.0,2,0.47532421350479126
23,3BQRSOcA-K4,23,0,18,44.0,77.0,412.0,320.0,5,0.616033673286438
24,3BQRSOcA-K4,23,0,20,38.0,72.0,429.0,322.0,5,0.5721098184585571
