,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3GULyU-IOhA,0,0,1,184.0,149.0,229.0,242.0,0,0.8485868573188782
1,3GULyU-IOhA,0,0,1,256.0,157.0,275.0,219.0,0,0.8104780316352844
2,3GULyU-IOhA,0,0,1,389.0,156.0,421.0,270.0,0,0.7738384008407593
3,3GULyU-IOhA,0,0,1,310.0,162.0,338.0,235.0,0,0.7647840976715088
4,3GULyU-IOhA,0,0,1,228.0,153.0,243.0,204.0,0,0.7560003995895386
5,3GULyU-IOhA,0,0,1,0.0,222.0,100.0,360.0,3,0.6647593975067139
6,3GULyU-IOhA,0,0,1,413.0,175.0,480.0,245.0,3,0.6000807881355286
7,3GULyU-IOhA,0,0,1,85.0,149.0,110.0,213.0,0,0.5868510603904724
8,3GULyU-IOhA,0,0,1,10.0,199.0,116.0,321.0,3,0.5564379692077637
9,3GULyU-IOhA,0,0,1,330.0,187.0,392.0,242.0,1,0.5021432638168335
10,3GULyU-IOhA,0,0,1,107.0,156.0,141.0,216.0,3,0.4312613904476166
11,3GULyU-IOhA,0,0,2,184.0,149.0,229.0,242.0,0,0.8531091213226318
12,3GULyU-IOhA,0,0,2,256.0,157.0,275.0,219.0,0,0.8239701986312866
13,3GULyU-IOhA,0,0,2,311.0,162.0,338.0,236.0,0,0.788145899772644
14,3GULyU-IOhA,0,0,2,227.0,153.0,243.0,204.0,0,0.7441700100898743
15,3GULyU-IOhA,0,0,2,388.0,154.0,421.0,272.0,0,0.7373257875442505
16,3GULyU-IOhA,0,0,2,0.0,220.0,99.0,360.0,3,0.6670897603034973
17,3GULyU-IOhA,0,0,2,85.0,148.0,109.0,211.0,0,0.6395611763000488
18,3GULyU-IOhA,0,0,2,412.0,174.0,480.0,245.0,3,0.6163824200630188
19,3GULyU-IOhA,0,0,2,32.0,197.0,118.0,316.0,3,0.5819273591041565
20,3GULyU-IOhA,0,0,2,330.0,187.0,392.0,243.0,1,0.5352128148078918
21,3GULyU-IOhA,0,0,2,0.0,145.0,38.0,323.0,0,0.47974109649658203
22,3GULyU-IOhA,0,0,2,105.0,158.0,141.0,217.0,3,0.427717924118042
23,3GULyU-IOhA,0,0,3,157.0,158.0,206.0,256.0,0,0.8274552226066589
24,3GULyU-IOhA,0,0,3,284.0,174.0,311.0,246.0,0,0.8071956634521484
25,3GULyU-IOhA,0,0,3,231.0,168.0,248.0,228.0,0,0.7644521594047546
26,3GULyU-IOhA,0,0,3,371.0,168.0,406.0,281.0,0,0.707757294178009
27,3GULyU-IOhA,0,0,3,0.0,209.0,88.0,357.0,3,0.7004932761192322
28,3GULyU-IOhA,0,0,3,199.0,164.0,216.0,216.0,0,0.6936438679695129
29,3GULyU-IOhA,0,0,3,57.0,164.0,82.0,231.0,0,0.6902371644973755
30,3GULyU-IOhA,0,0,3,41.0,164.0,61.0,221.0,0,0.6428762674331665
31,3GULyU-IOhA,0,0,3,425.0,196.0,480.0,293.0,3,0.5730607509613037
32,3GULyU-IOhA,0,0,3,37.0,122.0,48.0,147.0,9,0.4432145953178406
