,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3L7LWpMShiw,14,0,1,167.0,11.0,200.0,89.0,0,0.8527190089225769
1,3L7LWpMShiw,14,0,1,141.0,56.0,151.0,86.0,0,0.7930127382278442
2,3L7LWpMShiw,14,0,1,162.0,85.0,194.0,95.0,36,0.4851047992706299
3,3L7LWpMShiw,14,0,2,168.0,11.0,200.0,89.0,0,0.8620854616165161
4,3L7LWpMShiw,14,0,2,141.0,56.0,152.0,86.0,0,0.7987979650497437
5,3L7LWpMShiw,14,0,2,167.0,85.0,194.0,95.0,36,0.534136950969696
6,3L7LWpMShiw,14,0,3,101.0,12.0,206.0,154.0,0,0.9115324020385742
7,3L7LWpMShiw,14,0,3,115.0,115.0,159.0,155.0,36,0.7216629385948181
8,3L7LWpMShiw,14,0,3,48.0,45.0,64.0,60.0,9,0.40578049421310425
9,3L7LWpMShiw,14,0,5,96.0,15.0,184.0,198.0,0,0.7849659323692322
10,3L7LWpMShiw,14,0,5,6.0,181.0,86.0,238.0,36,0.6311624646186829
11,3L7LWpMShiw,14,0,5,161.0,180.0,204.0,207.0,36,0.6292394399642944
12,3L7LWpMShiw,14,0,5,209.0,149.0,226.0,160.0,2,0.5097569823265076
13,3L7LWpMShiw,14,0,5,196.0,151.0,213.0,160.0,2,0.4086727201938629
14,3L7LWpMShiw,14,0,6,112.0,15.0,232.0,201.0,0,0.7633193731307983
15,3L7LWpMShiw,14,0,7,101.0,35.0,185.0,213.0,0,0.848330557346344
16,3L7LWpMShiw,14,0,7,113.0,188.0,193.0,224.0,36,0.8438757658004761
17,3L7LWpMShiw,14,0,8,120.0,33.0,196.0,192.0,0,0.8664919137954712
18,3L7LWpMShiw,14,0,8,127.0,180.0,247.0,224.0,36,0.7882258296012878
19,3L7LWpMShiw,14,0,9,155.0,60.0,236.0,195.0,0,0.8842625617980957
20,3L7LWpMShiw,14,0,9,168.0,186.0,211.0,209.0,36,0.7557626962661743
21,3L7LWpMShiw,14,0,10,159.0,193.0,212.0,217.0,36,0.761443018913269
22,3L7LWpMShiw,14,0,10,137.0,47.0,224.0,203.0,0,0.6415501832962036
23,3L7LWpMShiw,14,0,11,148.0,129.0,188.0,180.0,10,0.686452329158783
24,3L7LWpMShiw,14,0,12,117.0,159.0,166.0,198.0,36,0.6117351055145264
25,3L7LWpMShiw,14,0,12,9.0,5.0,201.0,198.0,0,0.5009706020355225
26,3L7LWpMShiw,14,0,13,143.0,29.0,177.0,132.0,0,0.7864410877227783
27,3L7LWpMShiw,14,0,13,146.0,123.0,173.0,142.0,36,0.5705095529556274
28,3L7LWpMShiw,14,0,14,194.0,197.0,299.0,225.0,36,0.5631020665168762
29,3L7LWpMShiw,14,0,15,97.0,16.0,164.0,164.0,0,0.4657228887081146
30,3L7LWpMShiw,14,0,16,84.0,20.0,170.0,180.0,0,0.7456938624382019
31,3L7LWpMShiw,14,0,17,246.0,86.0,261.0,124.0,0,0.6655473113059998
32,3L7LWpMShiw,14,0,18,119.0,13.0,237.0,158.0,0,0.9005971550941467
33,3L7LWpMShiw,14,0,19,115.0,95.0,137.0,148.0,0,0.771865963935852
