,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3LxUuC1C4y8,1,0,5,81.0,99.0,102.0,152.0,14,0.4636426866054535
1,3LxUuC1C4y8,1,0,13,143.0,82.0,195.0,133.0,14,0.6067079305648804
2,3LxUuC1C4y8,1,0,14,119.0,69.0,163.0,121.0,25,0.5138867497444153
3,3LxUuC1C4y8,1,1,13,21.0,16.0,119.0,235.0,0,0.6253203749656677
4,3LxUuC1C4y8,1,1,17,128.0,119.0,174.0,174.0,25,0.4581083655357361
5,3LxUuC1C4y8,1,1,19,177.0,35.0,215.0,95.0,14,0.5668361783027649
6,3LxUuC1C4y8,1,2,1,141.0,100.0,183.0,146.0,14,0.4014665186405182
7,3LxUuC1C4y8,1,2,4,141.0,98.0,184.0,156.0,14,0.5280448794364929
8,3LxUuC1C4y8,1,2,7,144.0,84.0,189.0,144.0,14,0.40687382221221924
9,3LxUuC1C4y8,1,2,10,161.0,80.0,196.0,135.0,14,0.7178874611854553
10,3LxUuC1C4y8,1,2,10,118.0,83.0,165.0,146.0,25,0.4406794607639313
11,3LxUuC1C4y8,1,2,11,130.0,108.0,158.0,147.0,75,0.4370254874229431
12,3LxUuC1C4y8,1,2,16,106.0,73.0,153.0,136.0,25,0.4640406370162964
13,3LxUuC1C4y8,1,2,17,102.0,67.0,156.0,127.0,25,0.5460602641105652
14,3LxUuC1C4y8,1,2,17,64.0,49.0,106.0,129.0,25,0.4819813072681427
15,3LxUuC1C4y8,1,2,17,103.0,67.0,154.0,99.0,25,0.40955325961112976
