,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3Q_Pb0CnsP4,7,0,1,190.0,16.0,312.0,236.0,75,0.6894035339355469
1,3Q_Pb0CnsP4,7,0,1,362.0,80.0,399.0,115.0,58,0.5579228401184082
2,3Q_Pb0CnsP4,7,0,1,0.0,224.0,478.0,355.0,59,0.47349053621292114
3,3Q_Pb0CnsP4,7,0,2,178.0,17.0,316.0,239.0,15,0.46836960315704346
4,3Q_Pb0CnsP4,7,0,2,361.0,82.0,398.0,116.0,58,0.4614562690258026
5,3Q_Pb0CnsP4,7,0,2,180.0,16.0,320.0,239.0,75,0.4118120074272156
6,3Q_Pb0CnsP4,7,0,3,372.0,77.0,408.0,112.0,58,0.5614544749259949
7,3Q_Pb0CnsP4,7,0,4,207.0,18.0,375.0,253.0,15,0.5433326959609985
8,3Q_Pb0CnsP4,7,0,4,386.0,76.0,429.0,112.0,58,0.48613378405570984
9,3Q_Pb0CnsP4,7,0,4,0.0,189.0,480.0,354.0,59,0.437502384185791
10,3Q_Pb0CnsP4,7,0,5,206.0,24.0,349.0,245.0,15,0.5857123732566833
11,3Q_Pb0CnsP4,7,0,5,0.0,221.0,475.0,354.0,59,0.4665105938911438
12,3Q_Pb0CnsP4,7,0,5,0.0,5.0,37.0,220.0,75,0.43185585737228394
13,3Q_Pb0CnsP4,7,0,6,227.0,26.0,373.0,253.0,15,0.5552896857261658
14,3Q_Pb0CnsP4,7,0,6,397.0,78.0,444.0,115.0,58,0.5244913101196289
15,3Q_Pb0CnsP4,7,0,6,0.0,197.0,480.0,354.0,59,0.4175197184085846
16,3Q_Pb0CnsP4,7,0,7,399.0,79.0,441.0,114.0,58,0.538373589515686
17,3Q_Pb0CnsP4,7,0,7,224.0,29.0,362.0,230.0,75,0.4599176049232483
18,3Q_Pb0CnsP4,7,0,7,3.0,189.0,480.0,358.0,59,0.42461785674095154
19,3Q_Pb0CnsP4,7,0,8,213.0,29.0,347.0,237.0,15,0.47654762864112854
20,3Q_Pb0CnsP4,7,0,8,390.0,79.0,436.0,114.0,58,0.47233709692955017
21,3Q_Pb0CnsP4,7,0,9,216.0,31.0,437.0,253.0,15,0.4618200361728668
22,3Q_Pb0CnsP4,7,0,9,5.0,221.0,478.0,354.0,59,0.43342894315719604
23,3Q_Pb0CnsP4,7,0,9,392.0,78.0,433.0,115.0,58,0.4094139635562897
24,3Q_Pb0CnsP4,7,0,10,217.0,28.0,358.0,252.0,15,0.5619263648986816
25,3Q_Pb0CnsP4,7,0,10,391.0,82.0,436.0,115.0,58,0.4673916697502136
26,3Q_Pb0CnsP4,7,0,10,0.0,228.0,479.0,354.0,59,0.4268077611923218
27,3Q_Pb0CnsP4,7,0,11,389.0,94.0,428.0,128.0,58,0.5641889572143555
28,3Q_Pb0CnsP4,7,0,11,215.0,48.0,389.0,266.0,15,0.458784818649292
29,3Q_Pb0CnsP4,7,0,12,205.0,53.0,359.0,278.0,15,0.7086987495422363
30,3Q_Pb0CnsP4,7,0,12,385.0,102.0,429.0,138.0,58,0.5322109460830688
31,3Q_Pb0CnsP4,7,0,12,1.0,261.0,477.0,357.0,59,0.42139604687690735
32,3Q_Pb0CnsP4,7,0,13,378.0,105.0,417.0,139.0,58,0.5860854387283325
33,3Q_Pb0CnsP4,7,0,13,196.0,59.0,355.0,279.0,15,0.5782590508460999
34,3Q_Pb0CnsP4,7,0,14,391.0,102.0,446.0,144.0,58,0.5438379645347595
35,3Q_Pb0CnsP4,7,0,15,394.0,113.0,448.0,153.0,58,0.5938557982444763
36,3Q_Pb0CnsP4,7,0,15,183.0,54.0,371.0,342.0,15,0.5623874068260193
37,3Q_Pb0CnsP4,7,0,15,90.0,64.0,159.0,155.0,75,0.44050705432891846
38,3Q_Pb0CnsP4,7,0,16,173.0,31.0,372.0,335.0,15,0.6282111406326294
39,3Q_Pb0CnsP4,7,0,16,389.0,108.0,437.0,151.0,58,0.6011549830436707
40,3Q_Pb0CnsP4,7,0,17,403.0,97.0,451.0,142.0,58,0.6501213908195496
41,3Q_Pb0CnsP4,7,0,17,186.0,14.0,412.0,328.0,15,0.49146437644958496
42,3Q_Pb0CnsP4,7,0,18,421.0,33.0,468.0,79.0,58,0.6121770143508911
43,3Q_Pb0CnsP4,7,0,18,114.0,1.0,184.0,71.0,75,0.45451870560646057
