,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3SG2zKK8d7Y,23,0,1,44.0,16.0,465.0,208.0,7,0.5374525785446167
1,3SG2zKK8d7Y,23,0,1,44.0,16.0,465.0,208.0,2,0.4297490119934082
2,3SG2zKK8d7Y,23,0,2,440.0,36.0,480.0,72.0,2,0.5873528122901917
3,3SG2zKK8d7Y,23,0,2,46.0,20.0,462.0,207.0,2,0.5430270433425903
4,3SG2zKK8d7Y,23,0,2,46.0,20.0,462.0,207.0,7,0.43382176756858826
5,3SG2zKK8d7Y,23,0,3,48.0,10.0,465.0,202.0,2,0.6160061359405518
6,3SG2zKK8d7Y,23,0,4,417.0,1.0,480.0,33.0,2,0.6993117928504944
7,3SG2zKK8d7Y,23,0,4,16.0,0.0,454.0,178.0,2,0.6508263945579529
8,3SG2zKK8d7Y,23,0,5,438.0,45.0,480.0,79.0,2,0.6565635800361633
9,3SG2zKK8d7Y,23,0,5,18.0,21.0,453.0,217.0,2,0.5856751799583435
10,3SG2zKK8d7Y,23,0,5,268.0,11.0,451.0,73.0,7,0.404636025428772
11,3SG2zKK8d7Y,23,0,6,431.0,70.0,480.0,104.0,2,0.7955983877182007
12,3SG2zKK8d7Y,23,0,6,275.0,34.0,443.0,95.0,7,0.44515088200569153
13,3SG2zKK8d7Y,23,0,6,23.0,51.0,450.0,231.0,2,0.40230560302734375
14,3SG2zKK8d7Y,23,0,7,23.0,66.0,473.0,252.0,2,0.523472249507904
15,3SG2zKK8d7Y,23,0,8,327.0,73.0,480.0,146.0,2,0.42311006784439087
16,3SG2zKK8d7Y,23,0,8,86.0,92.0,472.0,277.0,2,0.4133736789226532
17,3SG2zKK8d7Y,23,0,9,41.0,63.0,479.0,275.0,2,0.5641648173332214
18,3SG2zKK8d7Y,23,0,10,15.0,34.0,475.0,259.0,2,0.5905482172966003
19,3SG2zKK8d7Y,23,0,11,0.0,38.0,414.0,257.0,2,0.7757641077041626
20,3SG2zKK8d7Y,23,0,11,392.0,58.0,457.0,94.0,2,0.5713140964508057
21,3SG2zKK8d7Y,23,0,12,184.0,5.0,366.0,77.0,7,0.7500991821289062
22,3SG2zKK8d7Y,23,0,12,0.0,13.0,348.0,277.0,2,0.7243984937667847
23,3SG2zKK8d7Y,23,0,13,2.0,6.0,253.0,286.0,2,0.45607104897499084
24,3SG2zKK8d7Y,23,0,14,73.0,6.0,295.0,100.0,7,0.574521005153656
25,3SG2zKK8d7Y,23,0,14,0.0,11.0,230.0,296.0,2,0.48459628224372864
26,3SG2zKK8d7Y,23,0,14,256.0,51.0,328.0,88.0,2,0.48403695225715637
27,3SG2zKK8d7Y,23,0,15,275.0,50.0,352.0,92.0,2,0.7416581511497498
28,3SG2zKK8d7Y,23,0,15,73.0,8.0,293.0,106.0,7,0.7175583839416504
29,3SG2zKK8d7Y,23,0,15,1.0,56.0,204.0,336.0,2,0.43088090419769287
30,3SG2zKK8d7Y,23,0,16,30.0,8.0,258.0,109.0,7,0.7005059123039246
31,3SG2zKK8d7Y,23,0,16,242.0,47.0,322.0,92.0,2,0.5164618492126465
32,3SG2zKK8d7Y,23,0,17,353.0,10.0,449.0,64.0,2,0.5157455205917358
33,3SG2zKK8d7Y,23,0,17,131.0,1.0,375.0,79.0,7,0.4770808517932892
34,3SG2zKK8d7Y,23,0,17,0.0,44.0,84.0,308.0,0,0.42967405915260315
35,3SG2zKK8d7Y,23,1,1,0.0,10.0,146.0,146.0,2,0.8266750574111938
36,3SG2zKK8d7Y,23,1,1,184.0,33.0,434.0,211.0,2,0.552438497543335
37,3SG2zKK8d7Y,23,1,2,0.0,10.0,146.0,148.0,2,0.8473672866821289
38,3SG2zKK8d7Y,23,1,2,184.0,33.0,439.0,214.0,2,0.5006418824195862
39,3SG2zKK8d7Y,23,1,3,1.0,19.0,110.0,141.0,2,0.83253413438797
40,3SG2zKK8d7Y,23,1,3,119.0,16.0,384.0,198.0,2,0.6628120541572571
41,3SG2zKK8d7Y,23,1,4,0.0,19.0,195.0,155.0,2,0.8506835699081421
