,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3gKPpXkPzFA,7,0,1,192.0,49.0,352.0,203.0,15,0.655925989151001
1,3gKPpXkPzFA,7,0,1,1.0,41.0,156.0,259.0,0,0.636778712272644
2,3gKPpXkPzFA,7,0,1,265.0,0.0,352.0,68.0,69,0.418546199798584
3,3gKPpXkPzFA,7,0,2,191.0,54.0,352.0,208.0,15,0.782223105430603
4,3gKPpXkPzFA,7,0,2,1.0,34.0,162.0,259.0,0,0.6646931767463684
5,3gKPpXkPzFA,7,0,3,194.0,26.0,352.0,189.0,15,0.8071897029876709
6,3gKPpXkPzFA,7,0,3,2.0,16.0,195.0,264.0,0,0.40373218059539795
7,3gKPpXkPzFA,7,0,4,209.0,68.0,331.0,196.0,16,0.7452987432479858
8,3gKPpXkPzFA,7,0,4,254.0,2.0,349.0,96.0,69,0.6942631006240845
9,3gKPpXkPzFA,7,0,4,1.0,12.0,184.0,258.0,0,0.5115857720375061
10,3gKPpXkPzFA,7,0,5,200.0,95.0,335.0,195.0,15,0.7933233380317688
11,3gKPpXkPzFA,7,0,5,250.0,2.0,340.0,96.0,69,0.7610945701599121
12,3gKPpXkPzFA,7,0,5,3.0,11.0,197.0,260.0,0,0.5192429423332214
13,3gKPpXkPzFA,7,0,6,240.0,1.0,329.0,106.0,69,0.8063808679580688
14,3gKPpXkPzFA,7,0,6,1.0,14.0,194.0,261.0,0,0.7790966629981995
15,3gKPpXkPzFA,7,0,6,187.0,125.0,336.0,207.0,16,0.6554292440414429
16,3gKPpXkPzFA,7,0,7,243.0,1.0,335.0,107.0,69,0.8172589540481567
17,3gKPpXkPzFA,7,0,7,1.0,9.0,197.0,264.0,0,0.7961280345916748
18,3gKPpXkPzFA,7,0,7,184.0,128.0,300.0,211.0,15,0.5677217841148376
19,3gKPpXkPzFA,7,0,8,232.0,2.0,325.0,100.0,69,0.8433759808540344
20,3gKPpXkPzFA,7,0,8,177.0,122.0,330.0,200.0,15,0.7348895072937012
21,3gKPpXkPzFA,7,0,8,0.0,15.0,185.0,264.0,0,0.5443570017814636
22,3gKPpXkPzFA,7,0,9,181.0,122.0,337.0,200.0,15,0.8382465243339539
23,3gKPpXkPzFA,7,0,9,239.0,2.0,333.0,100.0,69,0.8330055475234985
24,3gKPpXkPzFA,7,0,9,0.0,0.0,133.0,229.0,0,0.5488442778587341
25,3gKPpXkPzFA,7,0,10,239.0,1.0,329.0,101.0,69,0.8292587995529175
26,3gKPpXkPzFA,7,0,10,194.0,106.0,338.0,200.0,15,0.7675709128379822
27,3gKPpXkPzFA,7,0,10,0.0,8.0,118.0,264.0,0,0.4952201843261719
28,3gKPpXkPzFA,7,0,11,238.0,1.0,328.0,103.0,69,0.8164212703704834
29,3gKPpXkPzFA,7,0,11,193.0,101.0,335.0,202.0,15,0.6669781804084778
30,3gKPpXkPzFA,7,0,11,1.0,4.0,162.0,240.0,0,0.48407238721847534
31,3gKPpXkPzFA,7,0,12,162.0,15.0,352.0,240.0,16,0.4683113694190979
32,3gKPpXkPzFA,7,0,13,170.0,86.0,348.0,251.0,15,0.8591806292533875
33,3gKPpXkPzFA,7,0,13,250.0,0.0,352.0,92.0,69,0.7324901223182678
34,3gKPpXkPzFA,7,0,13,0.0,85.0,160.0,262.0,0,0.6523779034614563
35,3gKPpXkPzFA,7,0,14,246.0,1.0,352.0,100.0,69,0.8061560988426208
36,3gKPpXkPzFA,7,0,14,0.0,2.0,150.0,248.0,0,0.5987914800643921
37,3gKPpXkPzFA,7,0,14,159.0,122.0,352.0,231.0,16,0.5832539200782776
38,3gKPpXkPzFA,7,0,15,244.0,1.0,352.0,100.0,69,0.8418287038803101
39,3gKPpXkPzFA,7,0,15,165.0,128.0,352.0,228.0,15,0.7478392124176025
40,3gKPpXkPzFA,7,0,15,1.0,0.0,97.0,255.0,0,0.5571450591087341
41,3gKPpXkPzFA,7,0,16,241.0,1.0,352.0,102.0,69,0.8404315114021301
42,3gKPpXkPzFA,7,0,16,166.0,131.0,315.0,229.0,15,0.6101074814796448
43,3gKPpXkPzFA,7,0,16,0.0,4.0,80.0,260.0,0,0.5220671892166138
44,3gKPpXkPzFA,7,0,17,244.0,1.0,352.0,103.0,69,0.8365523219108582
45,3gKPpXkPzFA,7,0,17,9.0,90.0,176.0,258.0,0,0.4961482286453247
46,3gKPpXkPzFA,7,0,17,168.0,133.0,352.0,229.0,15,0.46832555532455444
