,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3l66qZqVj2w,1,0,1,187.0,129.0,209.0,163.0,33,0.6789738535881042
1,3l66qZqVj2w,1,0,1,37.0,209.0,55.0,253.0,33,0.635823667049408
2,3l66qZqVj2w,1,0,1,153.0,155.0,168.0,176.0,33,0.6096014976501465
3,3l66qZqVj2w,1,0,1,87.0,134.0,104.0,157.0,33,0.5376271605491638
4,3l66qZqVj2w,1,0,2,188.0,129.0,210.0,164.0,33,0.6814343929290771
5,3l66qZqVj2w,1,0,2,37.0,208.0,55.0,253.0,33,0.6411746144294739
6,3l66qZqVj2w,1,0,2,154.0,155.0,168.0,176.0,33,0.5816086530685425
7,3l66qZqVj2w,1,0,2,87.0,134.0,104.0,158.0,33,0.5181604623794556
8,3l66qZqVj2w,1,0,3,59.0,80.0,79.0,129.0,33,0.6620590090751648
9,3l66qZqVj2w,1,0,3,24.0,288.0,32.0,314.0,33,0.40648749470710754
10,3l66qZqVj2w,1,0,4,129.0,12.0,144.0,47.0,33,0.581476092338562
11,3l66qZqVj2w,1,0,4,53.0,75.0,93.0,104.0,33,0.5354382991790771
12,3l66qZqVj2w,1,0,4,198.0,101.0,211.0,119.0,33,0.44138026237487793
13,3l66qZqVj2w,1,0,5,81.0,151.0,119.0,177.0,14,0.7387442588806152
14,3l66qZqVj2w,1,0,5,267.0,75.0,283.0,86.0,33,0.5312776565551758
15,3l66qZqVj2w,1,0,5,351.0,108.0,368.0,137.0,33,0.515436589717865
16,3l66qZqVj2w,1,0,5,155.0,212.0,176.0,227.0,33,0.4346041679382324
17,3l66qZqVj2w,1,0,6,109.0,280.0,169.0,329.0,33,0.5072464346885681
18,3l66qZqVj2w,1,0,6,182.0,250.0,195.0,260.0,14,0.4783323109149933
19,3l66qZqVj2w,1,0,6,109.0,280.0,169.0,329.0,14,0.4279623329639435
20,3l66qZqVj2w,1,0,6,267.0,123.0,279.0,131.0,33,0.4089389443397522
21,3l66qZqVj2w,1,0,6,104.0,75.0,118.0,90.0,33,0.4082852005958557
22,3l66qZqVj2w,1,0,7,116.0,2.0,134.0,42.0,33,0.666762113571167
23,3l66qZqVj2w,1,0,7,43.0,1.0,67.0,29.0,33,0.5997182726860046
24,3l66qZqVj2w,1,0,7,205.0,55.0,217.0,80.0,33,0.5620492696762085
25,3l66qZqVj2w,1,0,9,392.0,48.0,408.0,107.0,33,0.6305137872695923
26,3l66qZqVj2w,1,0,10,407.0,0.0,447.0,17.0,33,0.6371691226959229
27,3l66qZqVj2w,1,0,11,418.0,141.0,427.0,157.0,33,0.48998233675956726
28,3l66qZqVj2w,1,0,11,375.0,178.0,396.0,235.0,33,0.48199236392974854
29,3l66qZqVj2w,1,0,12,34.0,1.0,50.0,30.0,33,0.5723379850387573
30,3l66qZqVj2w,1,0,13,52.0,5.0,73.0,56.0,33,0.6424302458763123
31,3l66qZqVj2w,1,0,13,441.0,95.0,457.0,123.0,33,0.6256104707717896
32,3l66qZqVj2w,1,0,15,278.0,7.0,291.0,37.0,33,0.59401535987854
33,3l66qZqVj2w,1,0,15,371.0,114.0,394.0,126.0,14,0.48780521750450134
34,3l66qZqVj2w,1,0,17,323.0,40.0,345.0,99.0,14,0.6493052244186401
