,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3mSpzN60upM,5,0,6,245.0,27.0,640.0,348.0,21,0.4122774004936218
1,3mSpzN60upM,5,0,10,194.0,245.0,244.0,314.0,75,0.4155046045780182
2,3mSpzN60upM,5,0,16,170.0,54.0,636.0,344.0,21,0.41297733783721924
3,3mSpzN60upM,7,0,1,0.0,0.0,410.0,359.0,15,0.4135870039463043
4,3mSpzN60upM,7,0,2,0.0,2.0,407.0,360.0,15,0.435612291097641
5,3mSpzN60upM,7,0,5,49.0,93.0,411.0,360.0,15,0.6139599084854126
6,3mSpzN60upM,7,0,5,416.0,3.0,639.0,357.0,0,0.46329542994499207
7,3mSpzN60upM,7,0,6,130.0,122.0,436.0,360.0,15,0.5282729268074036
8,3mSpzN60upM,7,0,6,422.0,3.0,640.0,360.0,0,0.5004522800445557
9,3mSpzN60upM,7,0,7,81.0,113.0,397.0,360.0,15,0.6370288729667664
10,3mSpzN60upM,7,0,10,6.0,62.0,378.0,358.0,15,0.520390510559082
11,3mSpzN60upM,7,0,10,371.0,0.0,640.0,317.0,0,0.442851185798645
12,3mSpzN60upM,7,0,11,366.0,3.0,640.0,346.0,0,0.6769691705703735
13,3mSpzN60upM,7,0,12,430.0,4.0,640.0,313.0,0,0.43151500821113586
14,3mSpzN60upM,7,0,14,220.0,44.0,639.0,357.0,19,0.6061021685600281
15,3mSpzN60upM,7,0,15,579.0,35.0,640.0,107.0,50,0.4340219497680664
16,3mSpzN60upM,7,0,16,241.0,75.0,640.0,359.0,21,0.5911545157432556
17,3mSpzN60upM,7,0,17,245.0,80.0,640.0,360.0,21,0.4070911109447479
18,3mSpzN60upM,7,0,19,294.0,78.0,640.0,354.0,21,0.5734413266181946
