,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3nbim5nlANI,10,0,1,25.0,53.0,112.0,252.0,0,0.8577082753181458
1,3nbim5nlANI,10,0,1,368.0,154.0,480.0,315.0,0,0.5195940732955933
2,3nbim5nlANI,10,0,1,145.0,93.0,324.0,288.0,0,0.47033900022506714
3,3nbim5nlANI,10,0,2,25.0,55.0,109.0,249.0,0,0.8695789575576782
4,3nbim5nlANI,10,0,2,145.0,91.0,322.0,291.0,0,0.5434607267379761
5,3nbim5nlANI,10,0,2,368.0,152.0,480.0,314.0,0,0.4974563717842102
6,3nbim5nlANI,10,0,3,116.0,133.0,160.0,212.0,0,0.46119508147239685
7,3nbim5nlANI,10,0,4,69.0,122.0,121.0,224.0,0,0.6123605370521545
8,3nbim5nlANI,10,0,6,92.0,124.0,138.0,225.0,0,0.5604779124259949
9,3nbim5nlANI,10,0,7,7.0,105.0,87.0,286.0,0,0.7980367541313171
10,3nbim5nlANI,10,0,7,79.0,102.0,125.0,239.0,0,0.4892353117465973
11,3nbim5nlANI,10,0,7,0.0,107.0,38.0,270.0,0,0.4767933189868927
12,3nbim5nlANI,10,0,7,102.0,130.0,126.0,186.0,24,0.4307838976383209
13,3nbim5nlANI,10,0,8,279.0,127.0,385.0,320.0,0,0.892258882522583
14,3nbim5nlANI,10,0,8,105.0,139.0,173.0,296.0,0,0.8527329564094543
15,3nbim5nlANI,10,0,8,191.0,110.0,295.0,320.0,17,0.8471914529800415
16,3nbim5nlANI,10,0,8,4.0,120.0,111.0,300.0,17,0.7193140983581543
17,3nbim5nlANI,10,0,9,286.0,129.0,400.0,313.0,0,0.881428599357605
18,3nbim5nlANI,10,0,9,32.0,128.0,112.0,302.0,0,0.7658358812332153
19,3nbim5nlANI,10,0,9,184.0,91.0,305.0,318.0,17,0.6970111727714539
20,3nbim5nlANI,10,0,9,0.0,107.0,39.0,304.0,17,0.40027931332588196
21,3nbim5nlANI,10,0,10,1.0,121.0,70.0,297.0,0,0.8582724928855896
22,3nbim5nlANI,10,0,10,300.0,119.0,417.0,318.0,0,0.8294070363044739
23,3nbim5nlANI,10,0,10,383.0,86.0,450.0,320.0,0,0.6959983110427856
24,3nbim5nlANI,10,0,11,0.0,102.0,43.0,266.0,0,0.8697924017906189
25,3nbim5nlANI,10,0,11,164.0,69.0,330.0,317.0,17,0.8345795273780823
26,3nbim5nlANI,10,0,11,296.0,90.0,403.0,317.0,0,0.5913419127464294
27,3nbim5nlANI,10,0,11,387.0,75.0,447.0,156.0,0,0.45308035612106323
28,3nbim5nlANI,10,0,12,383.0,113.0,432.0,289.0,0,0.7809314727783203
29,3nbim5nlANI,10,0,12,232.0,111.0,322.0,319.0,0,0.6872921586036682
30,3nbim5nlANI,10,0,12,5.0,57.0,300.0,320.0,17,0.6751326322555542
31,3nbim5nlANI,10,0,12,80.0,102.0,99.0,117.0,0,0.43043839931488037
32,3nbim5nlANI,10,0,13,286.0,105.0,416.0,317.0,0,0.6582196950912476
33,3nbim5nlANI,10,0,13,0.0,112.0,47.0,292.0,0,0.6247305870056152
34,3nbim5nlANI,10,0,13,77.0,17.0,363.0,317.0,17,0.4634634256362915
35,3nbim5nlANI,10,0,13,352.0,50.0,479.0,316.0,0,0.45288053154945374
36,3nbim5nlANI,10,0,14,80.0,117.0,104.0,194.0,0,0.741645097732544
37,3nbim5nlANI,10,0,14,151.0,74.0,370.0,310.0,17,0.7138509750366211
38,3nbim5nlANI,10,0,14,32.0,112.0,58.0,190.0,0,0.605053186416626
39,3nbim5nlANI,10,0,14,104.0,110.0,128.0,144.0,0,0.6036157608032227
40,3nbim5nlANI,10,0,15,44.0,59.0,365.0,297.0,17,0.4059334993362427
41,3nbim5nlANI,10,0,18,232.0,128.0,368.0,317.0,0,0.7715051174163818
42,3nbim5nlANI,10,0,18,373.0,84.0,422.0,232.0,0,0.7557691335678101
43,3nbim5nlANI,10,0,18,122.0,59.0,237.0,314.0,17,0.6468811631202698
44,3nbim5nlANI,10,0,18,87.0,101.0,127.0,154.0,0,0.5226653814315796
45,3nbim5nlANI,10,0,18,15.0,95.0,55.0,152.0,0,0.45194876194000244
46,3nbim5nlANI,10,0,19,155.0,57.0,284.0,244.0,17,0.7400501370429993
47,3nbim5nlANI,10,0,19,290.0,80.0,320.0,169.0,0,0.7286157608032227
48,3nbim5nlANI,10,0,19,316.0,77.0,353.0,186.0,0,0.6792201995849609
49,3nbim5nlANI,10,0,19,376.0,93.0,424.0,191.0,0,0.45867225527763367
50,3nbim5nlANI,10,1,3,109.0,49.0,158.0,102.0,0,0.49535420536994934
51,3nbim5nlANI,10,1,3,5.0,85.0,108.0,223.0,0,0.471524178981781
52,3nbim5nlANI,10,1,9,164.0,139.0,250.0,213.0,19,0.6605718731880188
53,3nbim5nlANI,10,1,13,141.0,115.0,375.0,257.0,17,0.8023702502250671
54,3nbim5nlANI,10,1,13,206.0,82.0,258.0,196.0,0,0.7884564399719238
55,3nbim5nlANI,10,1,14,171.0,73.0,254.0,129.0,14,0.40272238850593567
56,3nbim5nlANI,10,1,15,112.0,92.0,357.0,232.0,17,0.8153795003890991
57,3nbim5nlANI,10,1,15,156.0,64.0,247.0,169.0,0,0.4701990485191345
58,3nbim5nlANI,10,1,16,108.0,95.0,351.0,261.0,17,0.6557481288909912
59,3nbim5nlANI,10,1,16,301.0,25.0,346.0,60.0,8,0.44729679822921753
60,3nbim5nlANI,10,1,17,212.0,98.0,282.0,232.0,0,0.7165960669517517
61,3nbim5nlANI,10,1,18,108.0,124.0,338.0,290.0,17,0.8007745146751404
62,3nbim5nlANI,10,1,18,31.0,230.0,88.0,317.0,0,0.6507167816162109
63,3nbim5nlANI,10,1,18,186.0,88.0,250.0,225.0,0,0.5928567051887512
64,3nbim5nlANI,10,1,19,30.0,225.0,107.0,320.0,0,0.8331878185272217
65,3nbim5nlANI,10,1,19,83.0,225.0,134.0,318.0,0,0.7528067827224731
66,3nbim5nlANI,10,1,19,147.0,232.0,212.0,319.0,0,0.716905951499939
67,3nbim5nlANI,10,1,19,154.0,90.0,216.0,226.0,0,0.6496369242668152
68,3nbim5nlANI,10,1,19,79.0,137.0,314.0,297.0,17,0.45733878016471863
