,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3s_c8qgBmSM,6,0,1,156.0,109.0,238.0,168.0,19,0.45714905858039856
1,3s_c8qgBmSM,6,0,1,285.0,95.0,320.0,112.0,2,0.40881413221359253
2,3s_c8qgBmSM,6,0,2,156.0,108.0,239.0,168.0,19,0.5971629023551941
3,3s_c8qgBmSM,6,0,2,135.0,106.0,155.0,132.0,0,0.4588894844055176
4,3s_c8qgBmSM,6,0,3,145.0,114.0,258.0,187.0,19,0.5873758792877197
5,3s_c8qgBmSM,6,0,3,117.0,110.0,152.0,173.0,0,0.47211405634880066
6,3s_c8qgBmSM,6,0,4,109.0,101.0,153.0,179.0,0,0.7885240912437439
7,3s_c8qgBmSM,6,0,4,145.0,95.0,280.0,202.0,19,0.5941122770309448
8,3s_c8qgBmSM,6,0,4,276.0,104.0,320.0,164.0,19,0.40269735455513
9,3s_c8qgBmSM,6,0,5,96.0,95.0,142.0,188.0,0,0.6757767200469971
10,3s_c8qgBmSM,6,0,5,140.0,81.0,298.0,202.0,19,0.5865154266357422
11,3s_c8qgBmSM,6,0,6,65.0,83.0,111.0,189.0,0,0.8612694144248962
12,3s_c8qgBmSM,6,0,6,119.0,67.0,306.0,195.0,19,0.6381300091743469
13,3s_c8qgBmSM,6,0,7,57.0,86.0,100.0,194.0,0,0.8348482251167297
14,3s_c8qgBmSM,6,0,7,125.0,70.0,274.0,195.0,19,0.5859478116035461
15,3s_c8qgBmSM,6,0,7,230.0,69.0,320.0,187.0,19,0.4447086453437805
16,3s_c8qgBmSM,6,0,8,46.0,77.0,102.0,192.0,0,0.8921681046485901
17,3s_c8qgBmSM,6,0,8,127.0,66.0,317.0,199.0,19,0.6607927680015564
18,3s_c8qgBmSM,6,0,9,43.0,86.0,104.0,181.0,0,0.8161216378211975
19,3s_c8qgBmSM,6,0,9,132.0,54.0,315.0,195.0,19,0.596730649471283
20,3s_c8qgBmSM,6,0,10,56.0,98.0,104.0,194.0,0,0.8268699645996094
21,3s_c8qgBmSM,6,0,10,139.0,76.0,290.0,189.0,19,0.709002673625946
22,3s_c8qgBmSM,6,0,11,153.0,89.0,272.0,175.0,19,0.6910262107849121
23,3s_c8qgBmSM,6,0,11,72.0,99.0,118.0,177.0,0,0.5735813975334167
24,3s_c8qgBmSM,6,0,12,164.0,84.0,294.0,177.0,19,0.7883282899856567
25,3s_c8qgBmSM,6,0,12,105.0,95.0,146.0,179.0,0,0.7480269074440002
26,3s_c8qgBmSM,6,0,13,98.0,99.0,135.0,181.0,0,0.7574025988578796
27,3s_c8qgBmSM,6,0,13,156.0,93.0,274.0,173.0,19,0.7441216111183167
28,3s_c8qgBmSM,6,0,14,161.0,82.0,279.0,170.0,19,0.8494759798049927
29,3s_c8qgBmSM,6,0,14,110.0,95.0,141.0,175.0,0,0.7471291422843933
30,3s_c8qgBmSM,6,0,15,97.0,76.0,134.0,171.0,0,0.8538937568664551
31,3s_c8qgBmSM,6,0,15,145.0,79.0,243.0,156.0,19,0.7377777695655823
32,3s_c8qgBmSM,6,0,15,235.0,87.0,264.0,118.0,19,0.5107285976409912
33,3s_c8qgBmSM,6,0,15,0.0,92.0,88.0,136.0,8,0.42494311928749084
34,3s_c8qgBmSM,6,0,16,111.0,81.0,150.0,170.0,0,0.8630927205085754
35,3s_c8qgBmSM,6,0,16,144.0,78.0,250.0,148.0,19,0.7987381815910339
36,3s_c8qgBmSM,6,0,17,131.0,78.0,165.0,153.0,0,0.8571922183036804
37,3s_c8qgBmSM,6,0,17,189.0,72.0,270.0,139.0,19,0.8304309248924255
38,3s_c8qgBmSM,6,0,17,169.0,79.0,202.0,121.0,19,0.5258849859237671
39,3s_c8qgBmSM,6,0,18,145.0,76.0,173.0,149.0,0,0.8122443556785583
40,3s_c8qgBmSM,6,0,18,187.0,75.0,268.0,142.0,19,0.7569427490234375
41,3s_c8qgBmSM,6,0,19,147.0,81.0,174.0,150.0,0,0.8379024863243103
42,3s_c8qgBmSM,6,0,19,178.0,82.0,257.0,143.0,19,0.7606136798858643
