,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3tdZEmu9Urk,3,0,1,211.0,140.0,220.0,155.0,0,0.5815480351448059
1,3tdZEmu9Urk,3,0,1,188.0,144.0,201.0,159.0,0,0.5016044974327087
2,3tdZEmu9Urk,3,0,1,177.0,152.0,248.0,164.0,8,0.4048314392566681
3,3tdZEmu9Urk,3,0,2,211.0,140.0,220.0,154.0,0,0.6033713817596436
4,3tdZEmu9Urk,3,0,2,190.0,144.0,200.0,157.0,0,0.4435620903968811
5,3tdZEmu9Urk,3,0,2,178.0,148.0,247.0,163.0,8,0.44241446256637573
6,3tdZEmu9Urk,3,0,3,221.0,135.0,230.0,144.0,0,0.541616678237915
7,3tdZEmu9Urk,3,0,3,240.0,132.0,249.0,147.0,0,0.47533997893333435
8,3tdZEmu9Urk,3,0,4,192.0,134.0,249.0,156.0,8,0.6304068565368652
9,3tdZEmu9Urk,3,0,4,218.0,133.0,228.0,149.0,0,0.5047418475151062
10,3tdZEmu9Urk,3,0,4,202.0,137.0,210.0,150.0,0,0.49808740615844727
11,3tdZEmu9Urk,3,0,5,216.0,136.0,270.0,158.0,8,0.5210967659950256
12,3tdZEmu9Urk,3,0,5,243.0,134.0,252.0,149.0,0,0.5039300918579102
13,3tdZEmu9Urk,3,0,6,227.0,128.0,266.0,153.0,8,0.5107963681221008
14,3tdZEmu9Urk,3,0,6,231.0,129.0,253.0,148.0,0,0.4355217516422272
15,3tdZEmu9Urk,3,0,6,241.0,129.0,253.0,143.0,0,0.4167555570602417
16,3tdZEmu9Urk,3,0,8,237.0,116.0,281.0,145.0,8,0.701968252658844
17,3tdZEmu9Urk,3,0,9,253.0,116.0,340.0,144.0,8,0.6623326539993286
18,3tdZEmu9Urk,3,0,9,274.0,112.0,284.0,126.0,0,0.4203387498855591
19,3tdZEmu9Urk,3,0,10,253.0,114.0,267.0,132.0,0,0.664896547794342
20,3tdZEmu9Urk,3,0,10,231.0,129.0,308.0,148.0,8,0.6450387835502625
21,3tdZEmu9Urk,3,0,10,264.0,119.0,280.0,133.0,0,0.40544041991233826
22,3tdZEmu9Urk,3,0,11,191.0,113.0,293.0,139.0,8,0.7322585582733154
23,3tdZEmu9Urk,3,0,11,227.0,101.0,243.0,117.0,0,0.6687660813331604
24,3tdZEmu9Urk,3,0,11,247.0,106.0,257.0,118.0,0,0.4266378879547119
25,3tdZEmu9Urk,3,0,12,255.0,118.0,271.0,137.0,0,0.775949239730835
26,3tdZEmu9Urk,3,0,12,279.0,122.0,300.0,141.0,0,0.7188114523887634
27,3tdZEmu9Urk,3,0,12,213.0,135.0,322.0,158.0,8,0.6719059944152832
28,3tdZEmu9Urk,3,0,13,253.0,116.0,271.0,140.0,0,0.8471564650535583
29,3tdZEmu9Urk,3,0,13,274.0,119.0,302.0,142.0,0,0.7928034663200378
30,3tdZEmu9Urk,3,0,13,208.0,138.0,325.0,159.0,8,0.6699486374855042
31,3tdZEmu9Urk,3,0,14,220.0,113.0,240.0,140.0,0,0.7274273633956909
32,3tdZEmu9Urk,3,0,14,240.0,112.0,264.0,139.0,0,0.7181547284126282
33,3tdZEmu9Urk,3,0,14,189.0,136.0,288.0,158.0,8,0.680448055267334
34,3tdZEmu9Urk,3,0,15,139.0,137.0,200.0,162.0,8,0.5188087821006775
35,3tdZEmu9Urk,3,0,16,184.0,115.0,206.0,138.0,0,0.8184152245521545
36,3tdZEmu9Urk,3,0,16,118.0,133.0,245.0,165.0,8,0.6849861741065979
37,3tdZEmu9Urk,3,0,16,145.0,117.0,167.0,141.0,0,0.6638789176940918
38,3tdZEmu9Urk,3,0,16,155.0,118.0,167.0,140.0,0,0.4621398150920868
39,3tdZEmu9Urk,3,0,17,138.0,83.0,168.0,117.0,0,0.7678766846656799
40,3tdZEmu9Urk,3,0,17,88.0,96.0,114.0,128.0,0,0.7135461568832397
41,3tdZEmu9Urk,3,1,1,193.0,137.0,200.0,149.0,0,0.5705772042274475
42,3tdZEmu9Urk,3,1,1,174.0,140.0,183.0,150.0,0,0.43647053837776184
43,3tdZEmu9Urk,3,1,2,192.0,137.0,200.0,149.0,0,0.5442585945129395
44,3tdZEmu9Urk,3,1,2,146.0,139.0,226.0,160.0,8,0.41251233220100403
45,3tdZEmu9Urk,3,1,2,174.0,140.0,183.0,149.0,0,0.40042391419410706
46,3tdZEmu9Urk,3,1,3,180.0,128.0,189.0,143.0,0,0.6504823565483093
47,3tdZEmu9Urk,3,1,3,158.0,133.0,171.0,148.0,0,0.5938299298286438
48,3tdZEmu9Urk,3,1,4,200.0,120.0,209.0,134.0,0,0.5172885060310364
49,3tdZEmu9Urk,3,1,4,183.0,124.0,192.0,137.0,0,0.5033252835273743
50,3tdZEmu9Urk,3,1,5,201.0,122.0,214.0,136.0,0,0.4559345841407776
51,3tdZEmu9Urk,3,1,5,192.0,122.0,251.0,143.0,8,0.4155345857143402
52,3tdZEmu9Urk,3,1,6,205.0,129.0,214.0,143.0,0,0.5415770411491394
53,3tdZEmu9Urk,3,1,6,190.0,131.0,201.0,144.0,0,0.5210858583450317
54,3tdZEmu9Urk,3,1,6,181.0,131.0,234.0,153.0,8,0.5134904980659485
55,3tdZEmu9Urk,3,1,7,180.0,125.0,230.0,151.0,8,0.5189681053161621
56,3tdZEmu9Urk,3,1,7,192.0,128.0,202.0,142.0,0,0.4523024559020996
57,3tdZEmu9Urk,3,1,8,171.0,143.0,217.0,169.0,8,0.5145480632781982
58,3tdZEmu9Urk,3,1,8,177.0,144.0,189.0,161.0,0,0.4427945613861084
59,3tdZEmu9Urk,3,1,8,189.0,141.0,199.0,157.0,0,0.4391520321369171
60,3tdZEmu9Urk,3,1,9,221.0,137.0,239.0,155.0,0,0.5900256037712097
61,3tdZEmu9Urk,3,1,9,210.0,150.0,260.0,170.0,8,0.49056100845336914
62,3tdZEmu9Urk,3,1,10,241.0,135.0,329.0,160.0,8,0.6679501533508301
63,3tdZEmu9Urk,3,1,10,267.0,126.0,279.0,140.0,0,0.4296211898326874
64,3tdZEmu9Urk,3,1,11,277.0,133.0,295.0,148.0,0,0.6254510879516602
65,3tdZEmu9Urk,3,1,11,244.0,131.0,263.0,149.0,0,0.6144959926605225
66,3tdZEmu9Urk,3,1,11,194.0,146.0,320.0,171.0,8,0.4644899070262909
67,3tdZEmu9Urk,3,1,12,257.0,123.0,276.0,146.0,0,0.8202090859413147
68,3tdZEmu9Urk,3,1,12,299.0,125.0,320.0,147.0,0,0.7530180215835571
69,3tdZEmu9Urk,3,1,12,204.0,146.0,336.0,169.0,8,0.5726606845855713
70,3tdZEmu9Urk,3,1,13,245.0,124.0,269.0,153.0,0,0.7246665954589844
71,3tdZEmu9Urk,3,1,13,198.0,149.0,339.0,171.0,8,0.5974807739257812
72,3tdZEmu9Urk,3,1,13,290.0,128.0,309.0,152.0,0,0.5864761471748352
73,3tdZEmu9Urk,3,1,14,232.0,122.0,251.0,151.0,0,0.7730200886726379
74,3tdZEmu9Urk,3,1,14,265.0,129.0,278.0,150.0,0,0.7192493081092834
75,3tdZEmu9Urk,3,1,14,189.0,140.0,306.0,167.0,8,0.5809646844863892
76,3tdZEmu9Urk,3,1,14,259.0,125.0,277.0,150.0,0,0.5393684506416321
77,3tdZEmu9Urk,3,1,15,190.0,123.0,224.0,151.0,0,0.6954864263534546
78,3tdZEmu9Urk,3,1,16,199.0,105.0,219.0,123.0,0,0.8021620512008667
79,3tdZEmu9Urk,3,1,16,158.0,107.0,182.0,130.0,0,0.7316126227378845
80,3tdZEmu9Urk,3,1,16,134.0,120.0,268.0,154.0,8,0.7311379909515381
81,3tdZEmu9Urk,3,1,17,201.0,105.0,224.0,135.0,0,0.8463919758796692
82,3tdZEmu9Urk,3,1,17,161.0,117.0,192.0,143.0,0,0.6291519999504089
83,3tdZEmu9Urk,3,1,17,136.0,119.0,287.0,162.0,8,0.6281485557556152
84,3tdZEmu9Urk,3,1,18,232.0,91.0,257.0,124.0,0,0.8277063965797424
85,3tdZEmu9Urk,3,1,18,157.0,103.0,307.0,154.0,8,0.6532353162765503
86,3tdZEmu9Urk,3,1,18,206.0,100.0,232.0,130.0,0,0.5492281317710876
87,3tdZEmu9Urk,3,1,18,196.0,111.0,221.0,136.0,0,0.48744019865989685
88,3tdZEmu9Urk,3,1,19,275.0,101.0,302.0,132.0,0,0.7394558787345886
89,3tdZEmu9Urk,3,1,19,212.0,118.0,345.0,160.0,8,0.6952378153800964
90,3tdZEmu9Urk,3,1,19,249.0,112.0,277.0,141.0,0,0.5559773445129395
