,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,3vWtExu__oM,0,0,3,183.0,50.0,260.0,106.0,2,0.8925537467002869
1,3vWtExu__oM,0,0,3,16.0,72.0,91.0,109.0,2,0.8664299845695496
2,3vWtExu__oM,0,0,3,0.0,67.0,36.0,109.0,2,0.6739115715026855
3,3vWtExu__oM,0,0,3,176.0,69.0,314.0,237.0,0,0.527976393699646
4,3vWtExu__oM,0,0,3,126.0,73.0,147.0,90.0,2,0.4870850145816803
5,3vWtExu__oM,0,0,3,171.0,70.0,186.0,87.0,2,0.4819270074367523
6,3vWtExu__oM,0,0,4,37.0,31.0,118.0,87.0,2,0.8838757872581482
7,3vWtExu__oM,0,0,4,267.0,33.0,289.0,45.0,2,0.6469019651412964
8,3vWtExu__oM,0,0,4,192.0,33.0,208.0,45.0,2,0.5427838563919067
9,3vWtExu__oM,0,0,4,225.0,32.0,246.0,46.0,2,0.47766152024269104
10,3vWtExu__oM,0,0,4,168.0,67.0,299.0,236.0,16,0.46858203411102295
11,3vWtExu__oM,0,0,5,246.0,10.0,320.0,46.0,2,0.8160064220428467
12,3vWtExu__oM,0,0,5,90.0,33.0,278.0,237.0,0,0.6591580510139465
13,3vWtExu__oM,0,0,5,92.0,5.0,121.0,18.0,2,0.6133036613464355
14,3vWtExu__oM,0,0,5,19.0,5.0,35.0,19.0,2,0.5307475924491882
15,3vWtExu__oM,0,0,5,54.0,5.0,77.0,18.0,2,0.46722128987312317
16,3vWtExu__oM,0,0,5,0.0,4.0,16.0,19.0,2,0.4636310040950775
17,3vWtExu__oM,0,0,6,22.0,8.0,307.0,236.0,0,0.5439193844795227
18,3vWtExu__oM,0,0,10,270.0,31.0,320.0,69.0,2,0.7095828652381897
19,3vWtExu__oM,0,0,10,210.0,8.0,293.0,54.0,2,0.5496920943260193
20,3vWtExu__oM,0,0,10,211.0,8.0,293.0,54.0,7,0.44287723302841187
21,3vWtExu__oM,0,0,12,95.0,128.0,211.0,182.0,2,0.5890139937400818
22,3vWtExu__oM,0,0,12,287.0,0.0,315.0,23.0,11,0.5776330828666687
23,3vWtExu__oM,0,0,12,51.0,139.0,65.0,149.0,2,0.4712517261505127
24,3vWtExu__oM,0,0,12,25.0,154.0,32.0,169.0,0,0.4295428991317749
25,3vWtExu__oM,0,0,13,21.0,120.0,110.0,160.0,2,0.5313792824745178
26,3vWtExu__oM,0,0,13,164.0,110.0,219.0,139.0,2,0.46215224266052246
27,3vWtExu__oM,0,0,13,210.0,6.0,235.0,34.0,11,0.45481014251708984
28,3vWtExu__oM,0,0,13,289.0,112.0,320.0,152.0,2,0.4504421353340149
29,3vWtExu__oM,0,0,14,0.0,87.0,43.0,138.0,2,0.5740192532539368
30,3vWtExu__oM,0,0,14,298.0,84.0,320.0,133.0,7,0.5167118906974792
31,3vWtExu__oM,0,0,14,227.0,82.0,300.0,123.0,7,0.487859308719635
32,3vWtExu__oM,0,0,14,100.0,78.0,147.0,107.0,2,0.46993112564086914
33,3vWtExu__oM,0,0,14,84.0,86.0,98.0,97.0,2,0.4453605115413666
34,3vWtExu__oM,0,0,15,176.0,160.0,253.0,202.0,2,0.8116350173950195
35,3vWtExu__oM,0,0,15,101.0,35.0,114.0,45.0,33,0.5416487455368042
36,3vWtExu__oM,0,0,15,106.0,154.0,188.0,204.0,2,0.5276319980621338
37,3vWtExu__oM,0,0,15,106.0,154.0,187.0,204.0,7,0.4630759656429291
38,3vWtExu__oM,0,0,15,34.0,161.0,109.0,202.0,7,0.4610358774662018
39,3vWtExu__oM,0,0,15,270.0,164.0,289.0,182.0,2,0.4226774275302887
40,3vWtExu__oM,0,0,16,11.0,0.0,320.0,240.0,0,0.4133906662464142
41,3vWtExu__oM,0,0,17,69.0,202.0,128.0,239.0,2,0.7965061068534851
42,3vWtExu__oM,0,0,17,61.0,75.0,310.0,238.0,0,0.597325325012207
43,3vWtExu__oM,0,0,18,43.0,176.0,115.0,218.0,7,0.5771426558494568
44,3vWtExu__oM,0,0,18,89.0,59.0,287.0,235.0,0,0.4492388665676117
45,3vWtExu__oM,0,0,19,47.0,184.0,116.0,227.0,2,0.7624828219413757
46,3vWtExu__oM,0,0,19,61.0,22.0,314.0,234.0,0,0.6328061819076538
47,3vWtExu__oM,0,0,19,112.0,186.0,152.0,215.0,2,0.6163700819015503
