,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,413UTVmLAKc,10,0,1,185.0,173.0,278.0,329.0,17,0.761624276638031
1,413UTVmLAKc,10,0,1,380.0,172.0,490.0,355.0,17,0.7301113605499268
2,413UTVmLAKc,10,0,1,216.0,115.0,261.0,235.0,0,0.7050448656082153
3,413UTVmLAKc,10,0,1,141.0,165.0,185.0,295.0,17,0.6832524538040161
4,413UTVmLAKc,10,0,1,0.0,197.0,44.0,279.0,17,0.6487191915512085
5,413UTVmLAKc,10,0,1,287.0,151.0,360.0,330.0,17,0.6463252902030945
6,413UTVmLAKc,10,0,1,114.0,138.0,144.0,238.0,0,0.6100162863731384
7,413UTVmLAKc,10,0,1,41.0,191.0,77.0,276.0,17,0.5939573049545288
8,413UTVmLAKc,10,0,1,103.0,165.0,174.0,295.0,17,0.5885744690895081
9,413UTVmLAKc,10,0,1,70.0,188.0,113.0,283.0,17,0.5530745387077332
10,413UTVmLAKc,10,0,1,325.0,170.0,403.0,328.0,17,0.519460141658783
11,413UTVmLAKc,10,0,1,285.0,126.0,325.0,202.0,0,0.4502328336238861
12,413UTVmLAKc,10,0,1,247.0,146.0,310.0,325.0,17,0.40390077233314514
13,413UTVmLAKc,10,0,2,379.0,172.0,489.0,354.0,17,0.8172223567962646
14,413UTVmLAKc,10,0,2,217.0,110.0,261.0,234.0,0,0.7244494557380676
15,413UTVmLAKc,10,0,2,140.0,164.0,184.0,295.0,17,0.7151713371276855
16,413UTVmLAKc,10,0,2,187.0,174.0,269.0,329.0,17,0.7013940811157227
17,413UTVmLAKc,10,0,2,0.0,196.0,42.0,279.0,17,0.655540406703949
18,413UTVmLAKc,10,0,2,326.0,174.0,401.0,327.0,17,0.5712616443634033
19,413UTVmLAKc,10,0,2,42.0,192.0,74.0,274.0,17,0.56792151927948
20,413UTVmLAKc,10,0,2,115.0,138.0,144.0,240.0,0,0.5668075680732727
21,413UTVmLAKc,10,0,2,335.0,109.0,379.0,237.0,0,0.5461837649345398
22,413UTVmLAKc,10,0,2,64.0,187.0,114.0,282.0,17,0.5140751600265503
23,413UTVmLAKc,10,0,2,285.0,123.0,328.0,208.0,0,0.46392667293548584
24,413UTVmLAKc,10,0,2,251.0,141.0,359.0,329.0,17,0.4541454017162323
25,413UTVmLAKc,10,0,2,102.0,169.0,166.0,294.0,17,0.41940614581108093
26,413UTVmLAKc,10,0,3,151.0,169.0,211.0,310.0,17,0.7457016110420227
27,413UTVmLAKc,10,0,3,371.0,151.0,487.0,351.0,17,0.728121817111969
28,413UTVmLAKc,10,0,3,272.0,103.0,319.0,250.0,0,0.6637218594551086
29,413UTVmLAKc,10,0,3,218.0,205.0,236.0,255.0,0,0.6594657897949219
30,413UTVmLAKc,10,0,3,224.0,175.0,353.0,355.0,17,0.5872406363487244
31,413UTVmLAKc,10,0,3,137.0,138.0,171.0,250.0,0,0.5304787158966064
