,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,43MAOGgtFwk,0,0,2,6.0,195.0,141.0,355.0,0,0.5333423614501953
1,43MAOGgtFwk,0,0,5,17.0,21.0,480.0,353.0,0,0.5878158807754517
2,43MAOGgtFwk,0,0,6,18.0,75.0,476.0,354.0,0,0.5805457234382629
3,43MAOGgtFwk,0,0,6,47.0,173.0,153.0,306.0,0,0.5044710636138916
4,43MAOGgtFwk,0,0,7,19.0,170.0,201.0,357.0,0,0.5786853432655334
5,43MAOGgtFwk,0,0,7,20.0,9.0,477.0,354.0,0,0.564928412437439
6,43MAOGgtFwk,0,0,11,339.0,193.0,397.0,292.0,0,0.7261597514152527
7,43MAOGgtFwk,0,0,11,150.0,52.0,273.0,357.0,0,0.5206355452537537
8,43MAOGgtFwk,0,0,11,41.0,143.0,180.0,356.0,0,0.5096561312675476
9,43MAOGgtFwk,0,0,11,380.0,167.0,474.0,300.0,0,0.4095532298088074
10,43MAOGgtFwk,0,0,12,333.0,177.0,383.0,227.0,0,0.536660373210907
11,43MAOGgtFwk,0,0,12,74.0,68.0,372.0,358.0,0,0.5229883193969727
12,43MAOGgtFwk,0,0,12,309.0,168.0,344.0,218.0,0,0.44851672649383545
13,43MAOGgtFwk,0,0,13,147.0,99.0,266.0,358.0,0,0.7490698099136353
14,43MAOGgtFwk,0,0,13,317.0,172.0,367.0,318.0,0,0.5639812350273132
15,43MAOGgtFwk,0,0,13,77.0,186.0,120.0,286.0,0,0.4914838671684265
16,43MAOGgtFwk,0,0,14,105.0,89.0,330.0,356.0,0,0.648491621017456
17,43MAOGgtFwk,0,0,14,322.0,69.0,471.0,353.0,0,0.5857678055763245
18,43MAOGgtFwk,0,0,14,3.0,88.0,80.0,360.0,0,0.5289780497550964
19,43MAOGgtFwk,0,0,15,5.0,80.0,120.0,351.0,0,0.9008190035820007
20,43MAOGgtFwk,0,0,15,173.0,99.0,282.0,359.0,0,0.8707801699638367
21,43MAOGgtFwk,0,0,15,286.0,100.0,418.0,357.0,0,0.5718657374382019
22,43MAOGgtFwk,0,0,15,393.0,157.0,432.0,255.0,0,0.4636715054512024
