,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,43wwmVt86aA,4,0,1,21.0,154.0,99.0,214.0,2,0.7874550819396973
1,43wwmVt86aA,4,0,2,22.0,154.0,99.0,214.0,2,0.8177999258041382
2,43wwmVt86aA,4,0,3,0.0,155.0,57.0,213.0,2,0.816743016242981
3,43wwmVt86aA,4,0,3,119.0,109.0,239.0,210.0,5,0.6296778917312622
4,43wwmVt86aA,4,0,4,0.0,136.0,51.0,197.0,2,0.7448851466178894
5,43wwmVt86aA,4,0,4,113.0,83.0,255.0,195.0,5,0.6500734686851501
6,43wwmVt86aA,4,0,4,60.0,100.0,118.0,169.0,5,0.5288742780685425
7,43wwmVt86aA,4,0,5,98.0,95.0,268.0,212.0,5,0.7069722414016724
8,43wwmVt86aA,4,0,5,55.0,118.0,103.0,189.0,5,0.5675784945487976
9,43wwmVt86aA,4,0,6,87.0,73.0,266.0,196.0,5,0.6825645565986633
10,43wwmVt86aA,4,0,6,249.0,143.0,300.0,174.0,2,0.43902698159217834
11,43wwmVt86aA,4,0,7,86.0,77.0,264.0,197.0,5,0.7247750163078308
12,43wwmVt86aA,4,0,7,108.0,179.0,127.0,198.0,0,0.45292171835899353
13,43wwmVt86aA,4,0,8,73.0,79.0,260.0,200.0,5,0.7215337157249451
14,43wwmVt86aA,4,0,9,67.0,79.0,252.0,209.0,5,0.6470766067504883
15,43wwmVt86aA,4,0,10,69.0,77.0,256.0,206.0,5,0.5685963034629822
16,43wwmVt86aA,4,0,10,440.0,147.0,463.0,166.0,2,0.5098364949226379
17,43wwmVt86aA,4,0,11,80.0,78.0,282.0,203.0,5,0.44216954708099365
18,43wwmVt86aA,4,0,12,49.0,153.0,70.0,171.0,2,0.6397923231124878
19,43wwmVt86aA,4,0,12,82.0,75.0,275.0,207.0,5,0.5790669322013855
20,43wwmVt86aA,4,0,13,63.0,79.0,300.0,220.0,7,0.49298426508903503
21,43wwmVt86aA,4,0,13,0.0,154.0,64.0,199.0,2,0.4378756284713745
22,43wwmVt86aA,4,1,1,262.0,172.0,323.0,205.0,2,0.5114120244979858
