,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,44hlNbUHL2c,0,0,1,294.0,143.0,380.0,194.0,17,0.5894176959991455
1,44hlNbUHL2c,0,0,2,294.0,143.0,380.0,194.0,17,0.5886029005050659
2,44hlNbUHL2c,0,0,3,310.0,112.0,328.0,153.0,0,0.6482586860656738
3,44hlNbUHL2c,0,0,3,277.0,128.0,352.0,184.0,17,0.6019933223724365
4,44hlNbUHL2c,0,0,5,273.0,81.0,289.0,112.0,0,0.5799395442008972
5,44hlNbUHL2c,0,0,6,218.0,123.0,288.0,191.0,17,0.7741981148719788
6,44hlNbUHL2c,0,0,6,249.0,99.0,275.0,160.0,0,0.7414940595626831
7,44hlNbUHL2c,0,0,7,233.0,102.0,258.0,138.0,0,0.6295540928840637
8,44hlNbUHL2c,0,0,8,162.0,111.0,261.0,216.0,17,0.847286581993103
9,44hlNbUHL2c,0,0,8,200.0,86.0,234.0,166.0,0,0.7701369524002075
10,44hlNbUHL2c,0,0,9,118.0,107.0,247.0,218.0,17,0.8779352307319641
11,44hlNbUHL2c,0,0,9,169.0,81.0,206.0,161.0,0,0.8205862045288086
12,44hlNbUHL2c,0,0,10,174.0,67.0,220.0,172.0,0,0.8316239714622498
13,44hlNbUHL2c,0,0,10,97.0,114.0,275.0,232.0,17,0.8270540833473206
14,44hlNbUHL2c,0,0,11,55.0,84.0,271.0,214.0,17,0.9019578695297241
15,44hlNbUHL2c,0,0,11,155.0,49.0,212.0,160.0,0,0.866369903087616
16,44hlNbUHL2c,0,0,12,177.0,43.0,229.0,154.0,0,0.8276354074478149
17,44hlNbUHL2c,0,0,12,84.0,76.0,290.0,227.0,17,0.827309787273407
18,44hlNbUHL2c,0,0,13,174.0,98.0,337.0,215.0,17,0.8589887619018555
19,44hlNbUHL2c,0,0,13,249.0,55.0,294.0,158.0,0,0.8132437467575073
20,44hlNbUHL2c,0,0,14,439.0,100.0,480.0,276.0,0,0.8417404890060425
21,44hlNbUHL2c,0,0,14,244.0,96.0,363.0,175.0,20,0.5886977910995483
22,44hlNbUHL2c,0,0,14,296.0,67.0,335.0,106.0,0,0.5842826962471008
23,44hlNbUHL2c,0,0,15,352.0,98.0,425.0,277.0,0,0.8891596794128418
24,44hlNbUHL2c,0,0,15,241.0,90.0,337.0,190.0,17,0.7975177764892578
25,44hlNbUHL2c,0,0,15,280.0,66.0,315.0,147.0,0,0.7533473968505859
26,44hlNbUHL2c,0,0,16,280.0,104.0,368.0,356.0,0,0.8902375102043152
27,44hlNbUHL2c,0,0,16,175.0,104.0,252.0,184.0,17,0.7898432612419128
28,44hlNbUHL2c,0,0,16,208.0,76.0,235.0,140.0,0,0.757463812828064
29,44hlNbUHL2c,0,0,17,336.0,114.0,440.0,356.0,0,0.9120133519172668
30,44hlNbUHL2c,0,0,17,250.0,126.0,320.0,191.0,17,0.7132963538169861
31,44hlNbUHL2c,0,0,17,279.0,105.0,305.0,157.0,0,0.6502773761749268
32,44hlNbUHL2c,0,0,17,463.0,116.0,480.0,209.0,0,0.4504093527793884
33,44hlNbUHL2c,10,0,1,254.0,124.0,366.0,212.0,17,0.8661397099494934
34,44hlNbUHL2c,10,0,1,283.0,92.0,310.0,163.0,0,0.728234052658081
35,44hlNbUHL2c,10,0,2,254.0,124.0,369.0,212.0,17,0.8476483225822449
36,44hlNbUHL2c,10,0,2,285.0,92.0,311.0,162.0,0,0.7087867856025696
37,44hlNbUHL2c,10,0,3,258.0,110.0,320.0,179.0,17,0.7987877130508423
38,44hlNbUHL2c,10,0,3,268.0,86.0,293.0,145.0,0,0.6866725087165833
39,44hlNbUHL2c,10,0,4,303.0,145.0,336.0,192.0,17,0.5014172196388245
40,44hlNbUHL2c,10,0,5,285.0,133.0,319.0,179.0,17,0.5077199935913086
41,44hlNbUHL2c,10,0,5,288.0,120.0,305.0,150.0,0,0.44578635692596436
42,44hlNbUHL2c,10,0,6,293.0,142.0,326.0,178.0,17,0.6403170228004456
43,44hlNbUHL2c,10,0,6,296.0,123.0,310.0,156.0,0,0.6008104681968689
