,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4570BWuHCBQ,14,0,1,179.0,65.0,200.0,118.0,0,0.8098775148391724
1,4570BWuHCBQ,14,0,1,207.0,64.0,222.0,114.0,0,0.7723042368888855
2,4570BWuHCBQ,14,0,1,297.0,77.0,324.0,144.0,0,0.7390266060829163
3,4570BWuHCBQ,14,0,1,256.0,70.0,273.0,123.0,0,0.7171890735626221
4,4570BWuHCBQ,14,0,2,179.0,64.0,199.0,118.0,0,0.784927487373352
5,4570BWuHCBQ,14,0,2,207.0,64.0,222.0,114.0,0,0.7785294055938721
6,4570BWuHCBQ,14,0,2,254.0,70.0,273.0,125.0,0,0.7482893466949463
7,4570BWuHCBQ,14,0,2,296.0,76.0,324.0,144.0,0,0.7367995381355286
8,4570BWuHCBQ,14,0,2,301.0,138.0,329.0,147.0,36,0.46120405197143555
9,4570BWuHCBQ,14,0,3,181.0,73.0,209.0,152.0,0,0.883245587348938
10,4570BWuHCBQ,14,0,3,299.0,80.0,318.0,143.0,0,0.7965582609176636
11,4570BWuHCBQ,14,0,3,396.0,91.0,429.0,161.0,0,0.7686711549758911
12,4570BWuHCBQ,14,0,3,225.0,73.0,244.0,124.0,0,0.7335414290428162
13,4570BWuHCBQ,14,0,4,291.0,79.0,326.0,144.0,0,0.8298043012619019
14,4570BWuHCBQ,14,0,4,264.0,73.0,283.0,131.0,0,0.8167142271995544
15,4570BWuHCBQ,14,0,4,169.0,50.0,213.0,179.0,0,0.8144673109054565
16,4570BWuHCBQ,14,0,4,438.0,95.0,465.0,156.0,0,0.7573595643043518
17,4570BWuHCBQ,14,0,5,303.0,70.0,334.0,164.0,0,0.7945800423622131
18,4570BWuHCBQ,14,0,5,326.0,76.0,346.0,159.0,0,0.5366399884223938
19,4570BWuHCBQ,14,0,6,108.0,63.0,192.0,163.0,0,0.9122816324234009
20,4570BWuHCBQ,14,0,6,249.0,79.0,283.0,182.0,0,0.8809622526168823
21,4570BWuHCBQ,14,0,6,319.0,112.0,346.0,159.0,0,0.7171280384063721
22,4570BWuHCBQ,14,0,6,129.0,155.0,155.0,175.0,36,0.5367615818977356
23,4570BWuHCBQ,14,0,7,162.0,55.0,228.0,226.0,0,0.8797171115875244
24,4570BWuHCBQ,14,0,8,64.0,4.0,159.0,262.0,0,0.9138000011444092
25,4570BWuHCBQ,14,0,9,138.0,3.0,282.0,211.0,0,0.8999127149581909
26,4570BWuHCBQ,14,0,10,178.0,80.0,265.0,237.0,0,0.8822822570800781
27,4570BWuHCBQ,14,0,10,24.0,104.0,118.0,158.0,1,0.6867191791534424
28,4570BWuHCBQ,14,0,10,51.0,69.0,77.0,150.0,0,0.6368100643157959
29,4570BWuHCBQ,14,0,11,367.0,141.0,432.0,214.0,0,0.7200987339019775
30,4570BWuHCBQ,14,0,11,75.0,90.0,160.0,138.0,1,0.7178236842155457
31,4570BWuHCBQ,14,0,11,95.0,47.0,124.0,134.0,0,0.6626351475715637
32,4570BWuHCBQ,14,0,11,187.0,48.0,210.0,110.0,0,0.5552220940589905
33,4570BWuHCBQ,14,0,11,139.0,57.0,165.0,132.0,0,0.4860142767429352
34,4570BWuHCBQ,14,0,12,342.0,77.0,427.0,124.0,1,0.7337242364883423
35,4570BWuHCBQ,14,0,12,366.0,40.0,396.0,118.0,0,0.4878597855567932
36,4570BWuHCBQ,14,0,13,371.0,32.0,402.0,117.0,0,0.7851592898368835
37,4570BWuHCBQ,14,0,13,459.0,21.0,475.0,44.0,0,0.5338796377182007
38,4570BWuHCBQ,14,0,14,374.0,21.0,409.0,113.0,0,0.8593868613243103
39,4570BWuHCBQ,14,0,14,417.0,27.0,432.0,63.0,0,0.5572331547737122
40,4570BWuHCBQ,14,0,14,335.0,46.0,354.0,55.0,2,0.47634652256965637
41,4570BWuHCBQ,14,0,14,191.0,115.0,327.0,158.0,0,0.4635758399963379
42,4570BWuHCBQ,14,0,16,241.0,1.0,278.0,56.0,0,0.5844998955726624
43,4570BWuHCBQ,14,0,16,117.0,59.0,281.0,116.0,0,0.42221516370773315
44,4570BWuHCBQ,14,0,17,77.0,31.0,262.0,154.0,0,0.6956582069396973
45,4570BWuHCBQ,14,0,17,420.0,1.0,475.0,78.0,0,0.6044864058494568
46,4570BWuHCBQ,14,0,17,171.0,1.0,224.0,70.0,0,0.5875935554504395
