,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4ACLdmx5SjA,0,0,1,322.0,51.0,382.0,104.0,62,0.7240188717842102
1,4ACLdmx5SjA,0,0,1,236.0,38.0,325.0,270.0,0,0.5694326758384705
2,4ACLdmx5SjA,0,0,2,321.0,51.0,382.0,105.0,62,0.6790476441383362
3,4ACLdmx5SjA,0,0,2,237.0,19.0,324.0,276.0,0,0.6605470180511475
4,4ACLdmx5SjA,0,0,3,157.0,44.0,287.0,244.0,0,0.6691431999206543
5,4ACLdmx5SjA,0,0,3,162.0,226.0,272.0,253.0,36,0.650479793548584
6,4ACLdmx5SjA,0,0,5,119.0,188.0,217.0,215.0,36,0.7075692415237427
7,4ACLdmx5SjA,0,0,5,132.0,3.0,208.0,204.0,0,0.6328603029251099
8,4ACLdmx5SjA,0,0,6,193.0,149.0,292.0,183.0,36,0.7688772678375244
9,4ACLdmx5SjA,0,0,6,195.0,2.0,291.0,176.0,0,0.6699272990226746
10,4ACLdmx5SjA,0,0,7,73.0,207.0,205.0,248.0,36,0.8207374811172485
11,4ACLdmx5SjA,0,0,7,91.0,12.0,203.0,223.0,0,0.7870657444000244
12,4ACLdmx5SjA,0,0,7,72.0,107.0,95.0,143.0,0,0.5100411176681519
13,4ACLdmx5SjA,0,0,7,51.0,109.0,68.0,150.0,0,0.47304630279541016
14,4ACLdmx5SjA,0,0,8,101.0,220.0,191.0,265.0,36,0.7250099778175354
15,4ACLdmx5SjA,0,0,8,117.0,17.0,201.0,246.0,0,0.6437816023826599
16,4ACLdmx5SjA,0,0,9,163.0,216.0,256.0,249.0,36,0.760945737361908
17,4ACLdmx5SjA,0,0,10,151.0,261.0,243.0,293.0,36,0.6917101144790649
18,4ACLdmx5SjA,0,0,10,133.0,44.0,243.0,287.0,0,0.6256306171417236
19,4ACLdmx5SjA,0,0,13,229.0,191.0,368.0,239.0,36,0.7106650471687317
20,4ACLdmx5SjA,0,0,13,241.0,0.0,356.0,211.0,0,0.4946363866329193
21,4ACLdmx5SjA,0,0,14,184.0,77.0,308.0,239.0,0,0.7802409529685974
22,4ACLdmx5SjA,0,0,14,166.0,222.0,275.0,253.0,36,0.7599430680274963
23,4ACLdmx5SjA,0,0,15,139.0,76.0,243.0,268.0,0,0.8468594551086426
24,4ACLdmx5SjA,0,0,16,105.0,97.0,221.0,321.0,0,0.7549289464950562
25,4ACLdmx5SjA,0,0,16,107.0,303.0,188.0,327.0,36,0.49471357464790344
26,4ACLdmx5SjA,0,0,17,0.0,55.0,101.0,328.0,0,0.5159602761268616
27,4ACLdmx5SjA,14,0,1,322.0,51.0,382.0,104.0,62,0.7240188717842102
28,4ACLdmx5SjA,14,0,1,236.0,38.0,325.0,270.0,0,0.5694326758384705
29,4ACLdmx5SjA,14,0,2,321.0,51.0,382.0,105.0,62,0.6790476441383362
30,4ACLdmx5SjA,14,0,2,237.0,19.0,324.0,276.0,0,0.6605470180511475
31,4ACLdmx5SjA,14,0,3,157.0,44.0,287.0,244.0,0,0.6691431999206543
32,4ACLdmx5SjA,14,0,3,162.0,226.0,272.0,253.0,36,0.650479793548584
33,4ACLdmx5SjA,14,0,5,119.0,188.0,217.0,215.0,36,0.7075692415237427
34,4ACLdmx5SjA,14,0,5,132.0,3.0,208.0,204.0,0,0.6328603029251099
35,4ACLdmx5SjA,14,0,6,193.0,149.0,292.0,183.0,36,0.7688772678375244
36,4ACLdmx5SjA,14,0,6,195.0,2.0,291.0,176.0,0,0.6699272990226746
37,4ACLdmx5SjA,14,0,7,73.0,207.0,205.0,248.0,36,0.8207374811172485
38,4ACLdmx5SjA,14,0,7,91.0,12.0,203.0,223.0,0,0.7870657444000244
39,4ACLdmx5SjA,14,0,7,72.0,107.0,95.0,143.0,0,0.5100411176681519
40,4ACLdmx5SjA,14,0,7,51.0,109.0,68.0,150.0,0,0.47304630279541016
41,4ACLdmx5SjA,14,0,8,101.0,220.0,191.0,265.0,36,0.7250099778175354
42,4ACLdmx5SjA,14,0,8,117.0,17.0,201.0,246.0,0,0.6437816023826599
43,4ACLdmx5SjA,14,0,9,163.0,216.0,256.0,249.0,36,0.760945737361908
44,4ACLdmx5SjA,14,0,10,151.0,261.0,243.0,293.0,36,0.6917101144790649
45,4ACLdmx5SjA,14,0,10,133.0,44.0,243.0,287.0,0,0.6256306171417236
46,4ACLdmx5SjA,14,0,13,229.0,191.0,368.0,239.0,36,0.7106650471687317
47,4ACLdmx5SjA,14,0,13,241.0,0.0,356.0,211.0,0,0.4946363866329193
48,4ACLdmx5SjA,14,0,14,184.0,77.0,308.0,239.0,0,0.7802409529685974
49,4ACLdmx5SjA,14,0,14,166.0,222.0,275.0,253.0,36,0.7599430680274963
50,4ACLdmx5SjA,14,0,15,139.0,76.0,243.0,268.0,0,0.8468594551086426
51,4ACLdmx5SjA,14,0,16,105.0,97.0,221.0,321.0,0,0.7549289464950562
52,4ACLdmx5SjA,14,0,16,107.0,303.0,188.0,327.0,36,0.49471357464790344
53,4ACLdmx5SjA,14,0,17,0.0,55.0,101.0,328.0,0,0.5159602761268616
54,4ACLdmx5SjA,14,1,3,0.0,93.0,88.0,159.0,2,0.83428555727005
55,4ACLdmx5SjA,14,1,3,317.0,77.0,468.0,165.0,2,0.6943814754486084
56,4ACLdmx5SjA,14,1,3,287.0,81.0,356.0,160.0,2,0.5457309484481812
57,4ACLdmx5SjA,14,1,3,75.0,72.0,170.0,154.0,2,0.4932172894477844
58,4ACLdmx5SjA,14,1,4,28.0,112.0,109.0,165.0,2,0.8248924016952515
59,4ACLdmx5SjA,14,1,4,147.0,91.0,199.0,229.0,0,0.8228975534439087
60,4ACLdmx5SjA,14,1,4,0.0,110.0,41.0,164.0,2,0.8065203428268433
61,4ACLdmx5SjA,14,1,4,307.0,97.0,430.0,170.0,2,0.7812966704368591
62,4ACLdmx5SjA,14,1,4,243.0,84.0,341.0,162.0,2,0.6680907011032104
63,4ACLdmx5SjA,14,1,4,136.0,214.0,198.0,235.0,36,0.5906322598457336
64,4ACLdmx5SjA,14,1,4,108.0,93.0,191.0,162.0,2,0.40086519718170166
65,4ACLdmx5SjA,14,1,5,108.0,7.0,170.0,154.0,0,0.7963160276412964
66,4ACLdmx5SjA,14,1,5,102.0,137.0,166.0,164.0,36,0.7777196764945984
67,4ACLdmx5SjA,14,1,5,20.0,20.0,100.0,70.0,2,0.6956967115402222
68,4ACLdmx5SjA,14,1,5,312.0,1.0,435.0,63.0,2,0.690780520439148
69,4ACLdmx5SjA,14,1,5,292.0,1.0,351.0,61.0,2,0.5200231671333313
70,4ACLdmx5SjA,14,1,5,250.0,1.0,304.0,60.0,2,0.517004668712616
71,4ACLdmx5SjA,14,1,5,0.0,7.0,34.0,70.0,2,0.4563581049442291
72,4ACLdmx5SjA,14,1,5,422.0,1.0,480.0,43.0,2,0.4048777222633362
73,4ACLdmx5SjA,14,1,6,81.0,1.0,157.0,150.0,0,0.7928599119186401
74,4ACLdmx5SjA,14,1,6,103.0,143.0,151.0,162.0,36,0.5542961955070496
75,4ACLdmx5SjA,14,1,8,264.0,69.0,321.0,123.0,74,0.7153511643409729
76,4ACLdmx5SjA,14,1,8,173.0,197.0,244.0,240.0,36,0.6811798810958862
77,4ACLdmx5SjA,14,1,9,72.0,65.0,184.0,355.0,0,0.907622754573822
78,4ACLdmx5SjA,14,1,9,157.0,48.0,264.0,222.0,0,0.6574700474739075
79,4ACLdmx5SjA,14,1,10,100.0,52.0,259.0,352.0,0,0.8069294691085815
80,4ACLdmx5SjA,14,1,10,214.0,157.0,245.0,182.0,67,0.5158756971359253
81,4ACLdmx5SjA,14,1,11,129.0,5.0,330.0,350.0,0,0.4059677720069885
82,4ACLdmx5SjA,14,1,13,337.0,285.0,478.0,355.0,66,0.44114741683006287
83,4ACLdmx5SjA,14,1,14,178.0,183.0,236.0,207.0,36,0.7360624074935913
84,4ACLdmx5SjA,14,1,14,332.0,78.0,449.0,117.0,2,0.6963636875152588
85,4ACLdmx5SjA,14,1,14,173.0,6.0,251.0,195.0,0,0.6251484155654907
86,4ACLdmx5SjA,14,1,15,185.0,0.0,311.0,188.0,0,0.6061474084854126
87,4ACLdmx5SjA,14,1,15,206.0,165.0,257.0,189.0,36,0.47302109003067017
88,4ACLdmx5SjA,14,1,16,208.0,2.0,298.0,149.0,0,0.6067038774490356
89,4ACLdmx5SjA,14,1,17,213.0,6.0,307.0,239.0,0,0.8253560066223145
