,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4BjF5t8xBd8,0,0,1,13.0,68.0,325.0,268.0,0,0.47751155495643616
1,4BjF5t8xBd8,0,0,2,16.0,70.0,326.0,268.0,0,0.4150066673755646
2,4BjF5t8xBd8,0,0,3,112.0,71.0,312.0,269.0,0,0.7401660680770874
3,4BjF5t8xBd8,0,0,4,117.0,67.0,312.0,268.0,0,0.822906494140625
4,4BjF5t8xBd8,0,0,5,113.0,60.0,306.0,266.0,0,0.7410329580307007
5,4BjF5t8xBd8,0,0,6,117.0,60.0,309.0,267.0,0,0.7724819779396057
6,4BjF5t8xBd8,0,0,7,112.0,59.0,315.0,268.0,0,0.7639596462249756
7,4BjF5t8xBd8,0,0,8,113.0,59.0,314.0,266.0,0,0.7549026012420654
8,4BjF5t8xBd8,0,0,9,115.0,54.0,315.0,266.0,0,0.6122263669967651
9,4BjF5t8xBd8,0,0,10,16.0,56.0,324.0,271.0,0,0.49968671798706055
10,4BjF5t8xBd8,0,0,11,131.0,66.0,327.0,270.0,0,0.8086411952972412
11,4BjF5t8xBd8,0,0,11,7.0,110.0,36.0,160.0,39,0.5902520418167114
12,4BjF5t8xBd8,0,0,12,130.0,70.0,326.0,269.0,0,0.7805577516555786
13,4BjF5t8xBd8,0,0,12,6.0,111.0,33.0,160.0,39,0.48246434330940247
14,4BjF5t8xBd8,0,0,13,128.0,66.0,324.0,269.0,0,0.8637208938598633
15,4BjF5t8xBd8,0,0,14,128.0,71.0,323.0,269.0,0,0.8519479036331177
16,4BjF5t8xBd8,0,0,15,128.0,70.0,322.0,269.0,0,0.7651975154876709
17,4BjF5t8xBd8,0,0,15,4.0,113.0,31.0,161.0,39,0.4905815124511719
18,4BjF5t8xBd8,0,0,16,127.0,72.0,321.0,268.0,0,0.7892537117004395
19,4BjF5t8xBd8,0,0,17,3.0,113.0,31.0,162.0,39,0.5370066165924072
20,4BjF5t8xBd8,0,0,17,126.0,71.0,322.0,270.0,0,0.5162447690963745
21,4BjF5t8xBd8,0,0,18,128.0,68.0,322.0,269.0,0,0.7128129005432129
