,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4EWioC-KlHQ,0,0,2,51.0,87.0,98.0,135.0,33,0.5096349120140076
1,4EWioC-KlHQ,0,0,4,210.0,108.0,259.0,205.0,0,0.9027175903320312
2,4EWioC-KlHQ,0,0,5,212.0,109.0,259.0,205.0,0,0.9068390130996704
3,4EWioC-KlHQ,0,0,6,214.0,108.0,257.0,207.0,0,0.5387152433395386
4,4EWioC-KlHQ,0,0,7,216.0,97.0,255.0,203.0,0,0.8719320297241211
5,4EWioC-KlHQ,0,0,7,257.0,149.0,307.0,182.0,2,0.4579966962337494
6,4EWioC-KlHQ,0,0,8,226.0,159.0,260.0,201.0,75,0.49626845121383667
7,4EWioC-KlHQ,0,0,9,207.0,61.0,266.0,203.0,0,0.8828715682029724
8,4EWioC-KlHQ,0,0,11,151.0,76.0,207.0,195.0,0,0.8225023150444031
9,4EWioC-KlHQ,0,0,13,0.0,88.0,47.0,190.0,75,0.615423321723938
10,4EWioC-KlHQ,0,0,15,102.0,13.0,244.0,147.0,62,0.7057468295097351
11,4EWioC-KlHQ,0,0,16,110.0,46.0,183.0,184.0,0,0.5857619047164917
