,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4EjM2L9mq3I,23,0,1,100.0,110.0,132.0,200.0,0,0.7406770586967468
1,4EjM2L9mq3I,23,0,1,72.0,115.0,86.0,157.0,0,0.6108792424201965
2,4EjM2L9mq3I,23,0,1,333.0,132.0,365.0,184.0,0,0.5935953855514526
3,4EjM2L9mq3I,23,0,1,379.0,138.0,407.0,186.0,0,0.581143856048584
4,4EjM2L9mq3I,23,0,1,243.0,115.0,267.0,145.0,0,0.5138301849365234
5,4EjM2L9mq3I,23,0,1,38.0,118.0,60.0,173.0,0,0.4749402403831482
6,4EjM2L9mq3I,23,0,2,100.0,109.0,133.0,202.0,0,0.7594268321990967
7,4EjM2L9mq3I,23,0,2,72.0,115.0,87.0,157.0,0,0.7317575216293335
8,4EjM2L9mq3I,23,0,2,378.0,138.0,411.0,187.0,0,0.6875943541526794
9,4EjM2L9mq3I,23,0,2,332.0,132.0,368.0,184.0,0,0.6436800956726074
10,4EjM2L9mq3I,23,0,2,243.0,115.0,267.0,145.0,0,0.6012949347496033
11,4EjM2L9mq3I,23,0,2,37.0,116.0,61.0,174.0,0,0.5957447290420532
12,4EjM2L9mq3I,23,0,2,138.0,109.0,157.0,165.0,0,0.47412726283073425
13,4EjM2L9mq3I,23,0,3,47.0,113.0,77.0,176.0,0,0.7732399702072144
14,4EjM2L9mq3I,23,0,3,79.0,117.0,92.0,153.0,0,0.7004902362823486
15,4EjM2L9mq3I,23,0,3,341.0,131.0,371.0,181.0,0,0.6915929913520813
16,4EjM2L9mq3I,23,0,3,386.0,137.0,419.0,186.0,0,0.6841064691543579
17,4EjM2L9mq3I,23,0,3,104.0,108.0,143.0,202.0,0,0.6616422533988953
18,4EjM2L9mq3I,23,0,3,249.0,115.0,273.0,144.0,0,0.6568281650543213
19,4EjM2L9mq3I,23,0,4,74.0,113.0,108.0,199.0,0,0.760141134262085
20,4EjM2L9mq3I,23,0,4,361.0,138.0,393.0,189.0,0,0.7349660396575928
21,4EjM2L9mq3I,23,0,4,21.0,116.0,51.0,183.0,0,0.7139530181884766
22,4EjM2L9mq3I,23,0,4,317.0,131.0,345.0,175.0,0,0.6888168454170227
23,4EjM2L9mq3I,23,0,4,49.0,117.0,62.0,153.0,0,0.5027323961257935
24,4EjM2L9mq3I,23,0,5,47.0,116.0,87.0,157.0,0,0.6832799911499023
25,4EjM2L9mq3I,23,0,5,366.0,103.0,387.0,163.0,0,0.6353842616081238
26,4EjM2L9mq3I,23,0,5,414.0,111.0,477.0,182.0,2,0.5863690376281738
27,4EjM2L9mq3I,23,0,5,157.0,121.0,261.0,183.0,2,0.45686212182044983
28,4EjM2L9mq3I,23,0,5,0.0,72.0,476.0,353.0,2,0.40426719188690186
29,4EjM2L9mq3I,23,0,6,307.0,111.0,371.0,160.0,2,0.8551734089851379
30,4EjM2L9mq3I,23,0,6,49.0,154.0,100.0,197.0,0,0.8440601825714111
31,4EjM2L9mq3I,23,0,6,0.0,149.0,41.0,206.0,0,0.49798691272735596
32,4EjM2L9mq3I,23,0,7,263.0,116.0,314.0,146.0,2,0.6567831635475159
33,4EjM2L9mq3I,23,0,9,58.0,62.0,123.0,199.0,0,0.7403643131256104
34,4EjM2L9mq3I,23,0,10,15.0,52.0,101.0,198.0,0,0.7035645246505737
