,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4ExA1FWRfMM,19,0,1,160.0,144.0,333.0,250.0,16,0.5126809477806091
1,4ExA1FWRfMM,19,0,2,160.0,141.0,327.0,252.0,19,0.531097412109375
2,4ExA1FWRfMM,19,0,5,210.0,116.0,259.0,181.0,21,0.7281646728515625
3,4ExA1FWRfMM,19,0,6,164.0,143.0,281.0,240.0,14,0.69569993019104
4,4ExA1FWRfMM,19,0,7,185.0,113.0,338.0,230.0,16,0.8343276381492615
5,4ExA1FWRfMM,19,0,8,177.0,142.0,289.0,245.0,16,0.45621922612190247
6,4ExA1FWRfMM,19,0,9,7.0,128.0,221.0,289.0,16,0.5092624425888062
7,4ExA1FWRfMM,19,0,9,5.0,133.0,220.0,289.0,19,0.45423805713653564
8,4ExA1FWRfMM,19,0,10,29.0,137.0,117.0,257.0,16,0.5907941460609436
9,4ExA1FWRfMM,19,0,12,161.0,110.0,294.0,218.0,16,0.601191520690918
10,4ExA1FWRfMM,19,0,13,183.0,101.0,288.0,199.0,18,0.4320642054080963
11,4ExA1FWRfMM,19,0,14,128.0,120.0,269.0,208.0,19,0.7324820756912231
12,4ExA1FWRfMM,19,0,15,126.0,132.0,273.0,220.0,16,0.5074489712715149
13,4ExA1FWRfMM,19,0,15,125.0,133.0,274.0,220.0,19,0.462464839220047
14,4ExA1FWRfMM,19,0,16,132.0,141.0,226.0,234.0,21,0.6356468796730042
15,4ExA1FWRfMM,19,0,17,158.0,150.0,215.0,232.0,19,0.5066523551940918
16,4ExA1FWRfMM,19,0,18,119.0,121.0,237.0,201.0,16,0.42868539690971375
17,4ExA1FWRfMM,19,0,19,16.0,99.0,74.0,209.0,14,0.5265467762947083
