,youtube_id,class_id,object_id,image_nb,xmin,xmax,ymin,ymax,found_id,found_prec
0,4FeYJ1FkaFw,15,0,1,0.0,12.0,480.0,341.0,6,0.4850463271141052
1,4FeYJ1FkaFw,15,0,2,0.0,12.0,480.0,343.0,6,0.45765385031700134
2,4FeYJ1FkaFw,15,0,2,310.0,71.0,364.0,149.0,0,0.4035789370536804
3,4FeYJ1FkaFw,15,0,3,310.0,79.0,359.0,155.0,0,0.5440341830253601
4,4FeYJ1FkaFw,15,0,4,314.0,79.0,359.0,155.0,0,0.49867308139801025
5,4FeYJ1FkaFw,15,0,5,3.0,0.0,480.0,350.0,5,0.49386295676231384
6,4FeYJ1FkaFw,15,0,5,315.0,78.0,359.0,155.0,0,0.4086467921733856
7,4FeYJ1FkaFw,15,0,6,295.0,80.0,362.0,156.0,0,0.5212936401367188
8,4FeYJ1FkaFw,15,0,7,296.0,79.0,362.0,156.0,0,0.537656843662262
9,4FeYJ1FkaFw,15,0,8,304.0,80.0,367.0,155.0,0,0.42264217138290405
10,4FeYJ1FkaFw,15,0,9,309.0,80.0,359.0,154.0,0,0.4967564344406128
11,4FeYJ1FkaFw,15,0,9,0.0,0.0,474.0,356.0,5,0.41788262128829956
12,4FeYJ1FkaFw,15,0,10,301.0,79.0,360.0,155.0,0,0.5488550662994385
13,4FeYJ1FkaFw,15,0,11,303.0,80.0,358.0,154.0,0,0.6041883826255798
14,4FeYJ1FkaFw,15,0,11,5.0,5.0,471.0,344.0,5,0.5487262010574341
15,4FeYJ1FkaFw,15,0,12,307.0,80.0,358.0,157.0,0,0.6178249716758728
16,4FeYJ1FkaFw,15,0,12,1.0,9.0,480.0,344.0,5,0.5977657437324524
17,4FeYJ1FkaFw,15,0,13,333.0,95.0,382.0,153.0,0,0.5783831477165222
18,4FeYJ1FkaFw,15,0,13,320.0,113.0,340.0,148.0,0,0.40376555919647217
19,4FeYJ1FkaFw,15,0,14,155.0,95.0,208.0,176.0,0,0.53078293800354
20,4FeYJ1FkaFw,15,0,14,415.0,122.0,434.0,153.0,0,0.47881874442100525
21,4FeYJ1FkaFw,15,0,14,8.0,7.0,477.0,350.0,6,0.4435628056526184
22,4FeYJ1FkaFw,15,0,15,0.0,122.0,27.0,157.0,0,0.49493643641471863
23,4FeYJ1FkaFw,15,0,15,25.0,126.0,57.0,156.0,0,0.4778507649898529
24,4FeYJ1FkaFw,15,0,16,337.0,87.0,412.0,217.0,0,0.5390119552612305
25,4FeYJ1FkaFw,15,0,16,232.0,98.0,284.0,208.0,0,0.5055485963821411
